rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,1,19,"297866"
2,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,2,14,"258786"
3,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,3,22,"209338"
4,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",3,4,22,"199777"
5,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,5,22,"171187"
6,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",4,6,22,"158097"
7,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",7,7,22,"143295"
8,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",8,11,7,"138407"
9,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",2,8,22,"134418"
10,"spotify:track:7dSZ6zGTQx66c2GF91xCrb","KAROL G","PROVENZA","UMLE - Latino",1,9,24,"132783"
11,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",7,10,10,"124063"
12,"spotify:track:79HZAZNnOE97rb2hnI0XQr","Rauw Alejandro, Lyanno, Brray","LOKERA","Sony Music Latin/Duars Entertainment",12,12,10,"118636"
13,"spotify:track:6i1g5ZRmJZAkDwBaUZ3f2i","Luar La L","Caile","La Mafia Urbana Corp.",11,13,9,"103074"
14,"spotify:track:7gwT3HGL84vF7bgtwL1N88","Lasso","Ojos Marrones","Universal Music Mexico",9,14,16,"102504"
15,"spotify:track:5fhcuVxuBWfgNXGuyAtLmr","Piso 21, Manuel Turizo","Los Cachos","WM Mexico",14,16,13,"101842"
16,"spotify:track:1ga4PztXOIw1yBbdUt2X8v","KAROL G, Maldy","GATÚBELA","UMLE - Latino",14,15,6,"99494"
17,"spotify:track:0kTMK4gNFfLXaTb62w1UaJ","Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","BZR Music",17,37,3,"97404"
18,"spotify:track:2rurDawMfoKP4uHyb2kJBt","Shakira, Rauw Alejandro","Te Felicito","Sony Music Latin",4,17,24,"93514"
19,"spotify:track:41oY4WCTj5kccfesTVFnvN","Bad Bunny, Jhay Cortez","Tarot","Rimas Entertainment LLC",8,18,22,"91749"
20,"spotify:track:3PpWCS95gDUDRPko3u1MZ9","Feid","Prohibidox","UMLE - Latino",20,27,3,"89324"
21,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,23,171,"87350"
22,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",21,21,27,"86145"
23,"spotify:track:7FlQk2gJ6TBrHHiidvdR2O","Becky G, KAROL G","MAMIII","Kemosabe Records/RCA Records",1,25,34,"84775"
24,"spotify:track:4tYFy8ALRjIZvnvSLw5lxN","Bad Bunny, Rauw Alejandro","Party","Rimas Entertainment LLC",5,19,22,"84336"
25,"spotify:track:1797zYiX4cKosMH836X9Gt","Bad Bunny, Tony Dize","La Corriente","Rimas Entertainment LLC",14,24,22,"83784"
