rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,1,2,"84635"
2,"spotify:track:1Oxshg4204lRdcogzvdP4x","Emilia, Galin","Alcohol","Emilia",2,2,3,"58568"
3,"spotify:track:56dILgPraSNLKcd89hxXaq","Molec","7 Dni","Independent",1,3,27,"45688"
4,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",4,12,8,"40411"
5,"spotify:track:5qX0V96jKJ6zC8UImlXKmO","V:RGO, EMIL TRF, FYRE, 2bona","PARALIA","SAUCEKIDSGANG",1,4,18,"40396"
6,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",5,5,6,"34979"
7,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",3,6,13,"33798"
8,"spotify:track:6eOG7lOgVEWKqhWFRL2O4j","V:RGO, Sami Issa, Trey Stellar","RIDE OR DIE","SAUCEKIDSGANG",4,7,18,"31571"
9,"spotify:track:6UyMkM4523bYKwHIIrfuJu","Djordan, Tsvetelina Yaneva","Krasiv geroy","Payner",7,8,10,"26982"
10,"spotify:track:4B4f0Jno4VnQA2a7R1kWgX","V:RGO, Mishell","VSE EDNO","SAUCEKIDSGANG",5,9,18,"26449"
11,"spotify:track:23HAp6WM0phD5RqDyxtr6b","FYRE","DJIGIT DRILL","Team 02",8,13,20,"25700"
12,"spotify:track:4NQK5RwcwoQCjsMONIiXEo","V:RGO, Atanas Kolev","NEIZBEJNO POLOJENIE","SAUCEKIDSGANG",3,16,18,"24103"
13,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",13,14,16,"23748"
14,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",4,10,18,"23317"
15,"spotify:track:6kN80cMcK1Gu1rJ82Xr6vt","Molec","Euphoria","Independent",14,19,13,"22958"
16,"spotify:track:3bEbRxixvEVlEVIgvepXcg","Medi, Azis","Пистолет","MEDI",4,17,11,"22860"
17,"spotify:track:04zqsdXIs6fCpvKgl0AYY7","Galena, DJ Damyan, Costi","Welcome to Bulgaria","Galena",1,15,12,"22802"
18,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",13,20,15,"22626"
19,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,21,27,"22272"
20,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",16,24,110,"22174"
21,"spotify:track:4sO11a54gXayms6GDyqKep","Galena","Euphoria","Galena",1,22,18,"21412"
22,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",4,23,28,"20659"
23,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",11,11,2,"20578"
24,"spotify:track:16rryuFZpdvWzKllkUw0ri","Preslava, Konstantin","Sladkoto zlo","Payner",1,25,23,"19531"
25,"spotify:track:5yXmtupoVp0GSM1ENKciOX","Molec","Случки","Independent",10,26,4,"19389"
26,"spotify:track:1fTNb11PK6Ode6hx4bC8pl","Galin, Lidia, Dessita, SIMONA, Adam, Costi","Нашата","Alpha Music",3,27,13,"19037"
27,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",4,18,3,"18912"
28,"spotify:track:0zbZVkNiZfelBLVrdJvuiX","Itzo Hazarta","Депутата Христо","Facing The Sun",28,42,3,"18568"
29,"spotify:track:7a8GawTVgHZvBLQOh46he7","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",13,30,61,"18309"
30,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",30,37,2,"17989"
31,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",31,36,18,"17742"
32,"spotify:track:4AOUyrWRXMuSRG3eTWxizo","Mom4eto, FYRE","TOPA NA BANKETA","MOMO RECORDS",15,31,13,"17101"
33,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",31,35,22,"16982"
34,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,29,206,"16936"
35,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",8,38,11,"16758"
36,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",22,39,79,"16715"
37,"spotify:track:4z7cTjQGpdJzzKy4wEdAEX","V:RGO","LOTUS","SAUCEKIDSGANG",4,33,18,"16662"
38,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",38,79,98,"16417"
39,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",11,32,21,"16410"
40,"spotify:track:13GRVUH2tL94b9yHCkLHRm","Rizziatta","BVHT!","15 RECORDS",40,40,4,"16204"
41,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",8,43,72,"15662"
42,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",3,34,7,"15537"
43,"spotify:track:4cLi9bZRMvDITlmKdo6D2l","Mom4eto, Gyoky","Без теб","MOMO RECORDS",25,58,26,"15028"
44,"spotify:track:3AXZZgreuwWgYX2IL3oGkA","V:RGO, SHIZO","MAYBACH","SAUCEKIDSGANG",14,49,18,"14892"
45,"spotify:track:09mEdoA6zrmBPgTEN5qXmN","The Weeknd","Call Out My Name","Universal Republic Records",1,44,93,"14853"
46,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",2,50,47,"14417"
47,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",46,46,40,"14296"
48,"spotify:track:5Sk39LuvdwuvL84jD01Dum","MUPP, Sadfriendd","vendetta!","Sadfriendd x MUPP",32,48,18,"14238"
49,"spotify:track:6kl1QzJtnTgToGGxZWeTJw","Yung Mici","DROGA","BANDATA NA OKEANA",3,28,6,"14228"
50,"spotify:track:3rq5w4bQGigXOfdN30ATJt","Arctic Monkeys","Do I Wanna Know?","Domino Recording Co",9,54,235,"14168"
51,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,47,90,"14002"
52,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",5,52,16,"13992"
53,"spotify:track:4woTEX1wYOTGDqNXuavlRC","Eminem, Dina Rae","Superman","Aftermath",53,68,12,"13502"
54,"spotify:track:3Ya6AUGGni7HPC5P9gh2bj","Emilia, DENIS TEOFIKOV","Пак ще се броиш","Emilia",1,59,30,"13424"
55,"spotify:track:2tqDS3gLLAPh66bSm8I32D","DJAANY","GRRT","KARTELA RECORDS",28,45,5,"13368"
56,"spotify:track:5bYyQzaUSXpGGrJuGZfafd","Galena, Azis","А+Г=ВНЛ","Galena",1,56,43,"13255"
57,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",22,51,26,"13123"
58,"spotify:track:4JFBEg1MNSuzGgsJNgoyYG","Desi Slava, Azis","Брутален","New Music",41,41,2,"13117"
59,"spotify:track:3EafBu8bBdhrkLe84OgnNZ","Papi Hans","Мр. Перфектен","Facing The Sun",23,55,19,"13065"
60,"spotify:track:4Nkgkvf4AKvt6a3VXlyM0O","Molec","Med","Independent",46,64,11,"12935"
61,"spotify:track:2FBlCQ6UYQu1KHMBnruVul","Torino, Pashata, Kamelia","Plan B","Kings Records",1,60,22,"12731"
62,"spotify:track:0JK0UF0VcZTNRkx5HhmQOV","Medi","Maria","MEDI",6,61,25,"12593"
63,"spotify:track:5JwxdYpoZPJasiOjpmeeB0","Lidia","Alpha Doll","Alpha Music",48,53,8,"12334"
64,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",9,63,40,"12266"
65,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Negative Gain Productions",44,70,49,"12255"
66,"spotify:track:48q0vSHcJdhK3IiXH8C5WJ","Arctic Monkeys","Why'd You Only Call Me When You're High?","Domino Recording Co",13,75,99,"12135"
67,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",66,66,4,"12081"
68,"spotify:track:772ARvmnEjryug7ce0lRAF","Tsvetelina Yaneva, Medi","Филм за нас","Tsvetelina Yaneva",2,73,41,"12035"
69,"spotify:track:7kDgO7iBtdBhrx0X0esUrB","V:RGO, Boro Purvi","SAUCE","SAUCEKIDSGANG",8,67,18,"12013"
70,"spotify:track:18y7QMqWhkkd1akp6FmXgA","DJAANY","Без лед","Kartela Records",25,62,11,"11892"
71,"spotify:track:2WzAAerBvZvvFXgUpSwHZ9","PLAYAMANE, Nateki","MIDNIGHT","PLAYAMANE",54,74,19,"11851"
72,"spotify:track:2vXKRlJBXyOcvZYTdNeckS","Gesaffelstein, The Weeknd","Lost in the Fire (feat. The Weeknd)","Columbia",1,69,74,"11778"
73,"spotify:track:1jmwXsqCLABS1RNUtcz7GC","Emilia, DENIS TEOFIKOV","Единствено","Emilia",2,71,25,"11756"
74,"spotify:track:6I9VzXrHxO9rA9A5euc8Ak","Britney Spears","Toxic","Jive",34,-1,4,"11687"
75,"spotify:track:1Fb8gCHRkmNAaN8vytd5vg","Luciano, Central Cee","West Connect (feat. Central Cee)","URBAN",75,-1,1,"11681"
76,"spotify:track:42sQ9jc3NRDpxRvppjEtmA","Molec","Там ли си?","Independent",59,88,11,"11674"
77,"spotify:track:6tfajS9NU9zqfOZdByVbV1","Nikos Vertis","S' Agapao","THEAMA / Heaven Music",40,65,14,"11666"
78,"spotify:track:7fBv7CLKzipRk6EC6TWHOB","The Weeknd","The Hills","Universal Republic Records",40,72,161,"11637"
79,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",67,80,12,"11526"
80,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,76,149,"11252"
81,"spotify:track:5evJJmNenJJF04OBGEGgZc","FYRE","Бийта като спре","Team 02",32,107,60,"11250"
82,"spotify:track:0u52MS7dNsEFTbAuwcgSKM","Dessita, Emrah","Първият","Alpha Music",14,84,16,"11211"
83,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",77,77,14,"11174"
84,"spotify:track:79s5XnCN4TJKTVMSmOx8Ep","Pop Smoke","Dior","Victor Victor Worldwide/Republic Records",12,93,137,"11115"
85,"spotify:track:5E30LdtzQTGqRvNd7l6kG5","The Neighbourhood","Daddy Issues","Columbia",43,86,108,"11080"
86,"spotify:track:4P5VUXBuMIuTgyR8YuR11T","Yung Mici, Boro Purvi","DROGA - REMIX","BANDATA NA OKEANA",36,57,5,"10930"
87,"spotify:track:0VO8gYVDSwM1Qdd2GsMoYK","Swedish House Mafia, The Weeknd","Moth To A Flame (with The Weeknd)","Republic Records",1,78,50,"10903"
88,"spotify:track:6CanjkbQRS139muYXQEbTm","V:RGO","FAKE","SAUCEKIDSGANG",9,97,18,"10896"
89,"spotify:track:3W9jnJBPYeihwNSXsr65f9","Lil Mabu, DUSTY LOCANE","NO SNITCHING (with Dusty Locane)","Lil Mabu",74,85,4,"10892"
90,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",52,100,58,"10886"
91,"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","XXXTENTACION","Revenge","Bad Vibes Forever / EMPIRE",29,90,47,"10622"
92,"spotify:track:0oO1AbL92F6329z13C2qQH","Yeat","Talk","Field Trip Recordings/Geffen Records",41,82,5,"10601"
93,"spotify:track:5thvwNPeyjFr3iKRGrxPuO","Tsvetelina Yaneva","Черните очи","Tsvetelina Yaneva",62,95,4,"10532"
