rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3D29kjUyWxsT3jUUTtARVQ","Gazo","DIE","BSB PROD",1,1,14,"2997450"
2,"spotify:track:6PrB4KpvuoYWtwjPC5a44S","Soolking, Niska","Balader","Universal Music Division Capitol Music France",2,2,19,"1859897"
3,"spotify:track:4ZpIuzx91EAPK3VimONbfB","ZEG P, Hamza, SCH","FADE UP","On Da Trax",1,3,15,"1790497"
4,"spotify:track:6OZwia8loN0aPS0vTvsBjR","Alonzo, Ninho, Naps","TOUT VA BIEN (feat. Ninho & Naps)","ONLY PRO",1,5,20,"1670892"
5,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",5,6,6,"1658747"
6,"spotify:track:0z3bi63SNZ5ylyHOzb81Uq","Gambi","PETETE","Rec. 118",1,7,10,"1519276"
7,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",7,9,17,"1514634"
8,"spotify:track:0H5JKQ7qQ5MBeRSZSieZsM","Lomepal","Mauvais ordre","Pinéale",4,12,3,"1338386"
9,"spotify:track:7IXQrRgmHxWYWitSlyFY7z","Kerchak, Ziak","Peur (feat. Ziak)","Label Blue Sky",4,4,2,"1328075"
10,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",10,31,2,"1286109"
11,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",6,10,11,"1280080"
12,"spotify:track:48BdA5qBxXVoe59xvu0bwc","Gazo","RAPPEL","BSB PROD",4,13,15,"1259445"
13,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,15,27,"1255382"
14,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",14,16,10,"1223474"
15,"spotify:track:3TVUW7bJJWDOonkVCZxfLV","Beendo Z","Pas bête","GUETTE MUSIC / ADA France",9,14,14,"1204167"
16,"spotify:track:4VpmtsVKIRfNlmrtaEnrQi","Lomepal","À peu près","Pinéale",5,11,3,"1178429"
17,"spotify:track:3BsYL1gVsiFpo0bM8oTbi0","Mig, Tiakola","Quand j'y repense","Universal Music Division Virgin Records",17,-1,1,"1167456"
18,"spotify:track:5QQKWOwPjG9vcDBTQ5Hv5Q","PEDRO SAMPAIO, Anitta, Dadju, Mc Pedrinho, Nicky Jam","DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix","WM Brazil",13,17,10,"1143237"
19,"spotify:track:5EWPzyWm0b9McPS5Qyaijp","Pierre de Maere","Un jour je marierai un ange","Wagram Music / Cinq 7",19,28,11,"1105003"
20,"spotify:track:3fgEIHsl6ecyAK1rpAxBIY","Jul","J'ai tout su","D'Or et de Platine",3,19,18,"1032213"
21,"spotify:track:6KHsTu4Ht4XYiWcZOOdwbW","Fresh","Chop (Nouvelle École)","Netflix Music, LLC",1,18,15,"1024186"
22,"spotify:track:6kwmp0U8M1tPvgPHqvbwsr","Tiakola, Rsko","Gasolina (feat. Rsko)","Wati-B",6,22,19,"997962"
23,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",23,41,10,"981259"
24,"spotify:track:4otT81iBBpaf36roGtzT4a","Lomepal","Decrescendo","Pinéale",13,23,3,"977926"
25,"spotify:track:6YWjskKykdPsBuiTBOg1VK","Damso","Δ. Dieu ne ment jamais","Universal Music Division Capitol Music France",8,24,40,"955165"
26,"spotify:track:3sgzxVe4NjuezbZ8CiPlLP","Kalash, Damso","Malpolis","Play Two",8,8,2,"951285"
27,"spotify:track:3BnDvpeuGOj21Ir2aVEtQo","Rema","Calm Down","Mavin Records / Jonzing World",2,26,24,"942333"
28,"spotify:track:0i9RysNKssk6syOrKDX3U2","Gazo, Tiakola","FLEURS (feat. Tiakola)","BSB PROD",12,25,14,"928785"
29,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",29,57,2,"889502"
30,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",29,30,9,"860890"
31,"spotify:track:2wqnUV5B4g6u3somiH9JkX","Lomepal","Tee","Pinéale",10,21,18,"855484"
32,"spotify:track:6V40xLcDlYwZpz3oKIVNhL","Lomepal","Hasarder","Pinéale",6,20,3,"843553"
33,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",27,38,6,"843482"
34,"spotify:track:4UyVCLbNG8yhrqbzeSmdho","Black Eyed Peas, Shakira, David Guetta","DON'T YOU WORRY","Epic",20,29,12,"843297"
35,"spotify:track:3fWhjGSW3jCVL6uLfl6Qlm","Mig","Encore une fois (Maman)","Universal Music Division Virgin Records",35,-1,1,"841862"
36,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",24,40,30,"807933"
37,"spotify:track:6HTJgY7iWWlVLSDHsfHePf","Ninho","Jefe","Rec. 118 / Mal Luné Music",1,33,44,"795715"
38,"spotify:track:2wXS2IXCyBX0WL76LLYT31","Gazo","CELINE 3X","BSB PROD",2,32,22,"786724"
39,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",39,88,4,"736236"
40,"spotify:track:7pZayfJlwlHulmzt0xUN9m","Werenoi, Maes","Selfie","PGP Records",27,27,2,"732188"
41,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",35,54,19,"730579"
42,"spotify:track:5b8HD1dJDuPawgS5FjSC2q","Tiakola, Niska, Gazo","Mode AV (feat. Niska & Gazo)","Wati-B",16,49,19,"717936"
43,"spotify:track:5S12Ds2RswM2ITC0u1J01f","Ninho","VVS","Rec. 118 / Mal Luné Music",2,52,44,"717222"
44,"spotify:track:79MRbiyZFHSPDQkezu3DeM","Dosseh, Tiakola","Plus belle la vie, plus belle la mort","Universal Music Distribution Deal",44,-1,1,"715646"
45,"spotify:track:2GS9AEoOjgbztBfIbCJ2mr","Lucenzo","Baila Pa Mi","Play Two",39,51,14,"715089"
46,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",46,56,62,"713073"
47,"spotify:track:7sA2SKTo1QbTSSYn5YvJC4","Imagine Dragons","Sharks","Kid Ina Korner / Interscope",47,68,12,"711803"
48,"spotify:track:63siBeZzxXVaY0uASns1V2","Bigflo & Oli, Julien Doré","Coup de vieux","Universal Music Division Polydor",48,53,12,"709318"
49,"spotify:track:0Jh6iWjna1wk5le0Ahn7No","Ninho","La vie qu'on mène","Rec. 118 / Mal Luné Music",3,48,185,"699639"
50,"spotify:track:7eb7JIRN6HKpedFSDGd4yI","Timal, Gazo","Filtré","Universal Music Distribution Deal",2,42,34,"698409"
51,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",31,46,14,"696934"
52,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",10,45,31,"680790"
53,"spotify:track:2YGtFjsTpSrsGb2rQy4ARj","Fresh, Niska","Allez dehors","ICB Records",15,47,6,"678053"
54,"spotify:track:5QowMIujytktMDC8pktNXH","Naps, Gazo","Vamos","Ok Many Industrie / 13Eme Art Music",9,35,16,"674116"
55,"spotify:track:0RGpd5zCowfEItCUF7Itpr","Farruko","Nazareno","Sony Music Latin",43,62,12,"663859"
56,"spotify:track:32ujt0CBVLsFyQtAhVk7WN","La petite culotte","La goffa Lolita","Parlophone (France)",27,65,10,"654650"
57,"spotify:track:4WB9OeauHXnGOMUK4s80gM","Lomepal","Trop beau","Pineale Prod - Grand Musique Management",1,60,198,"642003"
58,"spotify:track:2toEys3zZ8rRB242Na7FZh","Disiz, Damso","RENCONTRE","Universal Music Distribution Deal",1,39,29,"642003"
59,"spotify:track:0Fqpx84jq1cK3pDtPvTFyM","Gazo","BECTE","BSB PROD",24,77,13,"639125"
60,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",60,159,7,"634071"
61,"spotify:track:14nd5q1v6c7HsRVwWTAxyN","Mig","A tout à l'heure","Universal Music Division Virgin Records",61,-1,3,"627146"
62,"spotify:track:6KNw3UKRp3QRsO7Cf4ASVE","Gazo","MOLLY - A COLORS SHOW","BSB PROD",6,55,19,"625855"
63,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",14,59,35,"618913"
64,"spotify:track:2cHQh4eyfAasH8AzkiFtJO","Dadju, Ronisia","Toko Toko","Universal Music Division Capitol Music France",30,61,24,"613452"
65,"spotify:track:2ewjMyCbNv2X1dB2qIDCwD","Damso","Θ. Macarena","Universal Music Division Capitol Music France",1,67,190,"611972"
66,"spotify:track:1WkliDsYrTr7UdNcQVDy2Q","Werenoi","La League","PGP Records",66,74,9,"603715"
67,"spotify:track:1nVM3VSyr53sTjrWnwSXWE","Mig, Leto","Dans nos blocks","Universal Music Division Virgin Records",67,-1,1,"596730"
68,"spotify:track:1SlLP2AI4L2oh3VRJfHBpf","Blasterjaxx, Prezioso, LIZOT, Shibui","Hurricane (feat. SHIBUI)","Spinnin' Records",51,92,11,"595481"
69,"spotify:track:6Qe7YCkIOc1iaw9HKqO3qV","Soolking","Suavemente","Universal Music Division Capitol Music France",1,37,32,"594851"
70,"spotify:track:1hlHyt8OJfKU1g8g7rZxxb","Slimane","La recette","Universal Music Division Capitol Music France",64,69,16,"593964"
71,"spotify:track:38g82yE6pxULo8b1S6r4pb","RK, Guy2bezbar, Mig","Indiana","Universal Music Distribution Deal",63,63,3,"591880"
72,"spotify:track:775qtHu1rNoq1N2aKFa4nD","Lomepal","Etna","Pinéale",12,36,3,"586183"
73,"spotify:track:6hzi3AGB39FjxFqcjgbWs7","PNL","Deux frères","QLF Records",2,70,85,"585863"
74,"spotify:track:6aZPMuJetqwKQCPClCNgd3","Yanns","Clic clic pan pan","Prodige music",8,43,39,"584659"
75,"spotify:track:5lXYy0wrrcWrQh1DHa8Uin","Jul","Baïla","D'Or et de Platine",34,34,2,"573224"
