rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,1,2,"6792746"
2,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,2,2,"3704965"
3,"spotify:track:1Fb8gCHRkmNAaN8vytd5vg","Luciano, Central Cee","West Connect (feat. Central Cee)","URBAN",3,-1,1,"3536644"
4,"spotify:track:70Xfh3baxA4xusCiV5B5jg","Jamule, FOURTY","KISSENSCHLACHT","Life Is Pain",4,-1,1,"3481152"
5,"spotify:track:6yeZM8gyykjaf8w0GqRfK4","Nina Chuba","Wildberry Lillet","Jive",1,3,8,"3278459"
6,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,4,6,"3131339"
7,"spotify:track:6Pk9SrYcNROzVANFESonWh","Pashanim","Doppel G","Urban",7,-1,1,"2237424"
8,"spotify:track:0g2leZuI3jD5pRsrRIDvYe","Miksu / Macloud, makko","Nachts wach","FUTURA",1,5,13,"2074916"
9,"spotify:track:5xX2LYdXyx0Boa61rZOjq5","Luciano","Beautiful Girl","URBAN",1,13,23,"1980180"
10,"spotify:track:4tRhRLBxIZ34Iw0eCuiC03","southstar","Miss You","Columbia/B1 Recordings",9,9,12,"1973647"
11,"spotify:track:6ZjuBJah2xFEl4z3X20di3","Miksu / Macloud, makko","Nachts wach (Lila Wolken Bootleg)","FUTURA",5,8,6,"1802765"
12,"spotify:track:1IhwTymQA1QFgQJu4ZjYtW","Pashanim","2019 (justbars rmx)","Urban",12,-1,1,"1767375"
13,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",10,10,11,"1706221"
14,"spotify:track:7dq9QIXx5eIz6w2MNzTan4","Yung Hurn, SW43 L33 D1DO","ALLEINE - SW43 L33 D1DO REMIX","Yung Hurn/WM Germany",3,7,3,"1675057"
15,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",15,15,83,"1649685"
16,"spotify:track:2q7jpVfCtcuRwcur9nQeuC","Liaze","PARADISE (MIT DIR)","VENTURA Records",2,14,19,"1634749"
17,"spotify:track:5IOF2LmEZaGDPOepCRFXTC","Samra","Undercover","Cataleya Edition",17,-1,1,"1628434"
18,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",5,11,20,"1602479"
19,"spotify:track:5ucyKDPjLpYLGadsRO1wSB","DJ Robin, Schürze","Layla","Polydor x Island Records & Kontor New Media & Summerfield Records",1,16,22,"1569436"
20,"spotify:track:6Hh6pxNSScePI9zjKBIUg2","OsTEKKe","Another Love","Sony Music CG",12,12,5,"1547995"
21,"spotify:track:03ClGz3IWepPxLcVlGSC5Q","badmómzjay","Keine Tränen","Vertigo Berlin",6,6,2,"1475321"
22,"spotify:track:038awuS65sn5GQxlpJGkqj","Rosc","Sternzeichen Arrogant","Rosc x VENTURA Records",22,-1,1,"1469250"
23,"spotify:track:49y9ulK2kgYvVw3yBSdDao","01099, Paul, $OHO BANI","Cider","01099/WM Germany",23,-1,1,"1442971"
24,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",10,19,27,"1404674"
25,"spotify:track:0ywXueKGCisfLkyOphGwaZ","twenty4tim","Gönn Dir","Gefaelltmir-Music GmbH",25,-1,1,"1389166"
