rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2wuJWqcn6bJWIJCmb83Yeu","SIDARTA","ERIMO","OffBeat Records",1,1,2,"1005507"
2,"spotify:track:3xo0AJj0gWlp51SqoGaGDv","RICTA","Emmonh","City Center",2,-1,1,"754631"
3,"spotify:track:6XK6R1ir3k0iPkwGbmVIEV","FLY LO, Mike G","Crystal","Minos - EMI SA Distribution Deals",1,2,5,"548239"
4,"spotify:track:5dKi5wRWzTPWHmUxpq96Hf","SIDARTA, Beyond","AKOMI","OffBeat Records",3,3,13,"506895"
5,"spotify:track:1OGTkqFF8EmYZvDLuHAXsw","Rack, Beyond","AMOR","Barcode Entertainment",5,8,12,"447884"
6,"spotify:track:0v4BTk3Vlhmfduww4WFOwA","SIDARTA, Beyond","ADRENALINA","OffBeat Records",5,5,8,"445903"
7,"spotify:track:0OyiXp4CdjqOYDSpzgfEx7","Rack, Oge, MENJU","FAVELA","Barcode Entertainment",1,4,12,"424491"
8,"spotify:track:29kTgA9pGo9RYwhED65ZrS","Light, Fy, Trannos","Obsessed","Capital Music",2,6,14,"382331"
9,"spotify:track:1O4LjNjQxnzqECfTKGkko6","SNIK","Erotas","Minos - EMI SA Distribution Deals",1,7,11,"379362"
10,"spotify:track:29GUBTed1wOd9TGkNYgz1n","SIDARTA, Saske, Beyond","MEDITERRANEAN","OffBeat Records",1,10,18,"374984"
11,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",9,9,2,"363628"
12,"spotify:track:0VfJj7Z3IQjF6lh5DhQYTs","Strat, Ivan Greko, Saxpas","Den Exw Sima","Black Phone Entertainment",11,12,4,"348638"
13,"spotify:track:3N2iBFazoTUIvgcqu2PdDZ","Trannos, Eleni Foureira","Egw & Esy","Panik Records",1,11,8,"304971"
14,"spotify:track:5btENPtD4TAjRGkC4IXafe","Light, Melisses, Skive","Epiloges","Capital Music",1,13,14,"301380"
15,"spotify:track:2QDibAx72jveQXPBXOKjx2","Light, Trannos","24hrs","Capital Music",1,14,17,"261887"
16,"spotify:track:718XWLo3fyDFH5RWp5Q5nN","RICTA, Night Grind","Salonikios","City Center",6,17,12,"251844"
17,"spotify:track:38doLxZXMnFU2rwImjshPY","Sadam, Solid","Gia Sena","Sadam",17,19,8,"222276"
18,"spotify:track:61BaxNqs8df4B4Vtndb9DE","Mad Clip, Light, Skive","Nani","Mad Clip",1,15,23,"221396"
19,"spotify:track:2oAoWaGzQeq8JMywmukQ8J","Hawk, Baghdad","CELINE","Above The Hood",1,16,20,"215929"
20,"spotify:track:7I6fZpYaW9BjlXJEKFL1Su","Rack, BretBeats, Beyond","DEN EIMAI DIKOS SOU","Barcode Entertainment",4,18,12,"212003"
21,"spotify:track:0PUzUn6NlCsVeomsUg9SKx","TOQUEL, SIDARTA, Beyond","Palmous","Minos - EMI SA Distribution Deals",11,20,19,"186676"
22,"spotify:track:2WmQtBy5wG8rdeqYhwljNK","Roi 6/12, TOQUEL","Forema","Minos - EMI SA Distribution Deals",22,-1,1,"181001"
