rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6h8Q07MtQBabHOjObg1a57","ElGrandeToto","Gueule tapée","RCA Group",1,1,9,"124272"
2,"spotify:track:2Vr7Qvt5a9f6W9m6ifke4K","ElGrandeToto, Ayra Starr","Comforter (feat. Ayra Starr)","RCA Group",2,2,13,"108894"
3,"spotify:track:6L1hnXrPSKAoOFmdOA8ANa","kouz1","Magic","SSC Music",1,3,29,"98528"
4,"spotify:track:1PBmigvgEtx36XPYGlCh4Z","Stormy","Badi 7efyan","Austora",4,-1,1,"97403"
5,"spotify:track:7syDtybPIIxoR1jvz6w8nI","MA3IZ","JRO7I","MA3IZ",3,4,16,"88470"
6,"spotify:track:7MahBaXzhvYCL7w9wXF4Wx","Draganov","CHICHI","Draganov",1,6,12,"84126"
7,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",7,8,9,"82529"
8,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",7,7,13,"80970"
9,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",3,5,6,"80543"
10,"spotify:track:7f783hK2ilf4bwfayaNvdB","Mons","Lovini","Othmane sakhi",4,12,30,"74809"
11,"spotify:track:1ThaPy4W188i5SFdjXl64J","Demi Portion, ElGrandeToto","Casablanca","La bulle corporation",2,10,22,"63407"
12,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",12,27,2,"61577"
13,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",6,9,11,"61432"
14,"spotify:track:3D29kjUyWxsT3jUUTtARVQ","Gazo","DIE","BSB PROD",12,14,8,"60021"
15,"spotify:track:0jqUiExctgLt7bcghvD7Kw","Manal","Makhelaw magalou","Bench & Guess Entertainment",2,11,14,"59117"
16,"spotify:track:1EYeZGTMCjV7uVey5fNWXM","CKay, ElGrandeToto","love nwantiti (feat. ElGrande Toto) - North African Remix","WM South Africa",1,13,111,"58477"
17,"spotify:track:4g1AKn1RwrNmCUTzl6pSI3","Tagne, Manal","MAAK","Tana Prod",1,16,34,"54286"
18,"spotify:track:2BJh2IoGeq0UQVsLHUcbrK","ElGrandeToto","Salade Coco","BNJ CITY BLOCK",1,15,43,"51651"
19,"spotify:track:4HLrkVmVOqFkUxMMzIkTZX","Marwa Loud, Moha K","Ghir Ntiya","Universal Music Distribution Deal",1,17,22,"51345"
20,"spotify:track:1d96Lyf6HTHDXTifQSYkqN","Mehdi Mozayine","Lberra7","Mehdi Mozayine",20,20,4,"48015"
21,"spotify:track:3B67oAJr4acToGpR1S33g5","Raste","Hickey","Raste",10,21,31,"47649"
