rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1rrqJ9QkOBYJlsZgqqwxgB","Ayra Starr","Rush","Mavin Records",1,1,3,"266823"
2,"spotify:track:5ycsqezujKrwviU3VFhci1","Asake","Terminator","YBNL Nation / EMPIRE",1,3,7,"264130"
3,"spotify:track:5UwxpuGHkwiojKDaPC5ZNu","Asake","Joha","YBNL Nation / EMPIRE",3,4,5,"262853"
4,"spotify:track:2wgvxtggKVzPkl0smF2UzI","Asake","Organise","YBNL Nation / EMPIRE",1,2,5,"248404"
5,"spotify:track:2qWwuCVeMjF9mUT0S5Iqvl","Fireboy DML, Asake","Bandana","YBNL Nation / EMPIRE",1,6,13,"203481"
6,"spotify:track:6ewsOjbC1jWAZcjAhVxDs0","Asake","Peace Be Unto You (PBUY)","YBNL Nation / EMPIRE",1,5,17,"197939"
7,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",5,11,17,"171314"
8,"spotify:track:6RbOyNeajWax51NtpO6WT8","Victony, Tempoe","Soweto","The Plug Entertainment",8,14,9,"164504"
9,"spotify:track:46gfN72BxmLvACx6Pve4XU","Asake","Dull","YBNL Nation / EMPIRE",4,7,5,"162563"
10,"spotify:track:0VjzaXw81JQJM61pzWwP8b","Asake","Nzaza","YBNL Nation / EMPIRE",6,9,5,"144079"
11,"spotify:track:6McBvfxgkVfREmQPwTKBUn","Pheelz, Davido","Electricity","Warner Records",3,12,7,"143257"
12,"spotify:track:0CUJV0Hh512Ns7U2yGflqt","Asake","Ototo","YBNL Nation / EMPIRE",7,10,5,"142554"
13,"spotify:track:2pUlBBWq8R10ylbBvZJV9j","Wizkid","Bad To Me","Starboy/RCA Records",3,8,4,"140559"
14,"spotify:track:5hVjoL3sHepZROri63wBxP","Burna Boy","It's Plenty","Spaceship/ Bad Habit/Atlantic Records",2,17,13,"136140"
15,"spotify:track:5OTKO93FLT25URfam2hZgP","Bella Shmurda, Omah Lay","Philo","Dangbana Republik",15,16,3,"132652"
16,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",1,15,21,"124296"
17,"spotify:track:4iCUs97QSPyYaFmzDa25Tb","Asake","Dupe","YBNL Nation / EMPIRE",9,13,5,"123527"
18,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",1,24,13,"112824"
19,"spotify:track:4lVEVXrlQlXPdYWMGTwrFe","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx, Boy Spyce","Overloading (OVERDOSE)","Mavin Records",2,22,21,"109791"
20,"spotify:track:4MzOppXoeKvDsVaNMeOK3C","Ruger","Girlfriend","Columbia",5,18,16,"103815"
21,"spotify:track:4k4pdUWX8632g7yByxC3rS","Asake, Burna Boy","Sungba (feat. Burna Boy) - Remix","YBNL Nation / EMPIRE",2,19,28,"97729"
22,"spotify:track:5F4OfeowSReF93KcH2eUcG","Young Jonn","Xtra Cool","Chocolate City Music",22,32,2,"96967"
23,"spotify:track:3Nx9nMHMFgkeF8xpVk1Ev0","Asake","Muse","YBNL Nation / EMPIRE",10,20,5,"93680"
24,"spotify:track:6WavyUNdnJk9SRW7ko9ack","Asake, Russ","Reason (feat. Russ)","YBNL Nation / EMPIRE",11,21,5,"90448"
25,"spotify:track:0rkpKiWmsAs2VApWKJQRuY","Black Sherif","Soja","Blacko Management / EMPIRE",23,23,3,"86458"
26,"spotify:track:65v99AWZyNz3aRmfrT2I7N","Omah Lay","i'm a mess","Sire",10,28,12,"85747"
27,"spotify:track:4A7sSA10D35HQUNrSOl5Zo","JAE5, Dave, BNXN fka Buju","Propeller (feat. Dave & BNXN)","Black Butter",2,26,11,"84000"
28,"spotify:track:6NKuW3yaNXtloGw1RB8WUi","Mayorkun","Certified Loner (No Competition)","SM Entertainment West Africa Limited",6,27,16,"79367"
29,"spotify:track:7tZMF9Hn5uGsfC7zGXbSKM","Crayon","Ijo (Laba Laba)","Mavin Records/Blowtime Ent",15,29,14,"79035"
30,"spotify:track:2wfWK2cmM5DZ4VnT7rDnFO","Zinoleesky","Call of Duty","Marlian Music",4,30,6,"78828"
31,"spotify:track:5TqtBDyIdZiTpfJZL2o10M","Asake","Sunmomi","YBNL Nation / EMPIRE",13,25,5,"75435"
32,"spotify:track:0s5nhb6ts6uCKAVnGg46y6","Burna Boy, Victony","Different Size (feat. Victony)","Spaceship/ Bad Habit/Atlantic Records",3,31,13,"67677"
33,"spotify:track:4Gasn91fsCefnN8zM5GjA8","Pheelz, BNXN fka Buju","Finesse","Warner Records",1,35,32,"67615"
34,"spotify:track:1B5I5yqLpVI5EosZS6bJFs","Chris Brown, Wizkid","Call Me Every Day (feat. Wizkid)","Chris Brown Entertainment/RCA Records",2,38,16,"65633"
35,"spotify:track:7d1aTQlsHMgWmkPywDi7h1","Asake, Olamide","Omo Ope (feat. Olamide)","Asake Music",2,34,34,"65170"
36,"spotify:track:4eZZofkV1OQ9GDqAgHqNpA","Kizz Daniel, Tekno","Buga (Lo Lo Lo)","FlyBoy INC / EMPIRE",1,40,23,"64333"
37,"spotify:track:6lXOGwFzCglrPMtuysPIUo","Victony","kolomental","The Plug Entertainment",3,36,24,"63498"
38,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",26,39,15,"61956"
39,"spotify:track:4fnxxV0RRzHLaMHBAp4FCe","Show Dem Camp, Oxlade","Mine Alone","Show Dem Records / Tems appears courtesy of Since 93/RCA Records / TOBi appears courtesy of Same Plate/RCA Records",39,-1,1,"61215"
40,"spotify:track:1IiNgs5RGEYyGQFLXJvte5","BNXN fka Buju","In My Mind","T.Y.E. / EMPIRE",7,33,7,"60756"
41,"spotify:track:0mb1o4mFhrcPHivtlVNCGD","BNXN fka Buju, Wande Coal","Kenkele","T.Y.E. / EMPIRE",11,42,12,"57994"
42,"spotify:track:2IBrgYf3Hjw16c6oNwkZ9M","Young Jonn, Davido","Dada (feat. Davido) [Remix]","Chocolate City Music",5,46,23,"57792"
43,"spotify:track:6459gZKddpOoPIH8PAcCwS","Fireboy DML","All Of Us (Ashawo)","YBNL Nation / EMPIRE",2,47,9,"57730"
44,"spotify:track:4pKxSb1G8lArMWLqFCSPUz","Show Dem Camp, Tems","Live Life","Show Dem Records / Tems appears courtesy of Since 93/RCA Records / TOBi appears courtesy of Same Plate/RCA Records",44,-1,1,"56974"
45,"spotify:track:6vy5gmpM2yuLAhDRtGOtPw","Ruger","WeWe","Columbia",25,41,16,"55904"
46,"spotify:track:6oOCGD2Sp9UTcDsuDz8Hdu","Omah Lay","understand","Sire",20,54,34,"53392"
47,"spotify:track:0KLY7SCQuVA4Hk1nzk61p4","DJ Tunez, Wizkid, Alpha P, Tay Iwar","Majo (feat. Wizkid, Alpha P & Tay Iwar)","BT Music Worldwide",19,44,7,"53007"
48,"spotify:track:2AKS1HhpLu2rgkojECUm3V","Fireboy DML","Playboy","YBNL Nation / EMPIRE",4,52,29,"52947"
49,"spotify:track:0lWW0X74IvjNlgY5glykvY","BNXN fka Buju, Wizkid","Many Ways (feat. Wizkid)","T.Y.E. / EMPIRE",5,45,7,"51008"
50,"spotify:track:6othjWxN6khdhiLu9GdOtj","Zinoleesky","Loving You","Marlian Music",4,49,21,"50295"
51,"spotify:track:4cukkgbgG9P9PKouQ462aV","Omah Lay","bend you","Sire",23,50,12,"50283"
52,"spotify:track:6hyTI3In7vu6fqFRoypcuz","Burna Boy","Common Person","Spaceship/ Bad Habit/Atlantic Records",7,48,13,"49583"
