rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,1,6,"761238"
2,"spotify:track:47aGU91Mqqjt1ZJ9NgQXqY","Beathoven","PRIMADONNA","WM Norway",2,2,2,"696915"
3,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",3,3,2,"694214"
4,"spotify:track:4v8yhLDEcRQ6BynXcCrGMo","Marstein","Frida Kahlo","Def Jam Recordings Norway",4,7,2,"512726"
5,"spotify:track:2wltzM6xElc7E6Ryn6Tqbo","Ramón","menn som meg","Universal Music AS",5,-1,1,"493316"
6,"spotify:track:5PzratDTUf07VyMKrGGxz3","El Papi","Hjerteløs","Universal Music AS Distributed Labels",2,4,3,"463258"
7,"spotify:track:5hnGrTBaEsdukpDF6aZg8a","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",7,15,5,"452724"
8,"spotify:track:56kyGGwLIVAR30ZFiASn8Q","Ballinciaga, David Mokel","Dans På Bordet","Virgin Music Label And Artist Services",1,5,34,"437140"
9,"spotify:track:6R20ReFHCSjtK3vMUZI3Yv","Brødrene Bausa, Thomskalle, Ginger Joe","Mawbys","WM Norway",6,8,8,"424071"
10,"spotify:track:39sXT0fOvfoXh5x9v5SjE7","Beathoven, Capow x 2G","SØR-AFRIKA","WM Norway",1,10,18,"409419"
11,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",9,12,20,"390031"
12,"spotify:track:6XIOwPaFCpwBApJmQqt7t0","Jon Ranes","Blod","Def Jam Recordings Norway",12,13,2,"382813"
13,"spotify:track:6G1Mz5yMgn0ydOlIvTrZ65","TALK","Run Away to Mars","Range Music/Capitol Records",4,6,8,"380784"
14,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",7,16,16,"342196"
15,"spotify:track:0lJCvh6IJQ7vedN2zgW9ws","Ballinciaga, Kamelen","Fakk Min X","Virgin Music Label And Artist Services",1,14,7,"337809"
16,"spotify:track:3h2IRgTZrU4hSNCePszT23","UNDERGRUNN","Italia","UG Records",3,18,27,"332471"
17,"spotify:track:2coLAzVouJE4BC8lrKbDLk","Karpe, Omar Sheriff","PAF.no","A & K",1,17,36,"328113"
18,"spotify:track:77F3wu9VD3TgxXjHCq8A7W","Kaizers Orchestra","Hjerteknuser","Kaizers Orchestra",2,11,9,"324371"
19,"spotify:track:1IPIgDNQNF9dFHkyOEkojp","Astrid S","Come First","Universal Music AS",9,9,2,"317774"
