rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1aL9518P5G72N92b48tuKw","AP Dhillon","Summer High","RUN-UP RECORDS",1,1,9,"163369"
2,"spotify:track:4VsP4Dm8gsibRxB5I2hEkw","Kaifi Khalil","Kahani Suno 2.0","1944121 Records DK",2,2,11,"134994"
3,"spotify:track:08Isz2ETWSBhvIl8UpKYsp","Shubh","No Love","SHUBH",3,4,22,"117639"
4,"spotify:track:6qrifdo7QINdPQr80IelGi","Rovalio, Abdul Hannan","Iraaday","Rovalio",2,3,22,"117382"
5,"spotify:track:42TMa2hgBNjte4uV7jNCnQ","Shubh, Ikky","Baller","SHUBH",4,5,4,"109262"
6,"spotify:track:4UMIv5jd9gK98a39BQRD9X","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya","Sony Music Entertainment India Pvt. Ltd.",1,6,12,"108595"
7,"spotify:track:0OdztoASgKBBNcAgtErk0X","Abdul Hannan, Rovalio","Bikhra","2636621 Records DK",1,7,22,"106982"
8,"spotify:track:2uThc9fZx2BEL3t6uuRMO1","aleemrk, Umair","Cold Hours","Independent",7,8,8,"86527"
9,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",9,10,6,"79682"
10,"spotify:track:7lvDsmTRXFE3dK4OjvRiWB","Shae Gill, Ali Sethi","Pasoori","Giraffe Pakistan",1,9,22,"79578"
11,"spotify:track:1d5lpW3gUyq537iuyrb9Lf","Aditya Rikhari","Samjho Na","CollabX Productions",11,13,21,"76948"
12,"spotify:track:29m79w9xPMH4YCD6r8JSmV","AP Dhillon, Gurinder Gill, Intense","Excuses","RUN-UP RECORDS",4,11,22,"74493"
13,"spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE","Shubh","We Rollin","SHUBH",11,14,22,"67684"
14,"spotify:track:6PSGzXHJaQogb2G8m8gGZZ","Yashraj, Dropped Out, Talwiinder","Dhundhala","Yashraj",8,12,22,"65061"
15,"spotify:track:7e6mcPDj3sEZ5TQkZjn6Fy","Asim Azhar","Habibi","Universal Music India Pvt Ltd.",2,16,13,"63034"
16,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Kingsclan Records",7,17,22,"61269"
17,"spotify:track:5W7DOVGQLTigu09afW7QMT","Sidhu Moose Wala","295","Sidhu Moose Wala",2,15,22,"60926"
18,"spotify:track:3nlAERKIpn3ffgGwYQs0EB","Mitraz","Akhiyaan","Mitraz Records",6,18,21,"56127"
19,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",17,19,10,"56059"
20,"spotify:track:3UhmuWcFaLS3AO3kI9ynQ2","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","Insane","RUN-UP RECORDS",12,20,22,"55127"
21,"spotify:track:4tkk65MyQNzYOQKgVbLCZ3","Abdul Hannan, BAIG","Siyah","Abdul Hannan",20,21,12,"52813"
22,"spotify:track:3wz2vWhYnnBoFmgMkqtzLy","Chani Nattan, Inderpal Moga","Daku","Kharku Life Records",15,22,12,"51557"
23,"spotify:track:5pcmtf1lwrMqmAWWm248fY","AP Dhillon, Gurinder Gill","DESIRES","RUN-UP RECORDS",10,23,22,"50869"
24,"spotify:track:6KtSNVgCmQEvDgIuHoXAkT","Azaan Sami Khan","Ik Lamha","AZEL RECORDS",6,24,22,"49055"
25,"spotify:track:0zlGnseLGzRIBA0TJcb3Bo","Yohani, Jubin Nautiyal, Tanishk Bagchi, Rashmi Virag, Surya Ragunaathan","Manike (From ""Thank God"")","T-Series",25,47,3,"48715"
26,"spotify:track:0NLkVxf0PyxsXBG3EuZcJf","Anuv Jain","Gul","Anuv Jain",17,25,22,"48269"
27,"spotify:track:2LCvypYL9a21Hln4A4EdWU","Abdul Hannan","Haaray","2636621 Records DK",11,30,22,"45959"
28,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",28,72,2,"44960"
29,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",6,29,15,"44271"
30,"spotify:track:6DefzsWqnwrFrmNVnJxWkS","Asim Azhar","Jo Tu Na Mila","Universal Music India Pvt Ltd.",30,34,22,"43846"
31,"spotify:track:2AilvPt1AQ8PixlCKqkjfj","Shubh","Elevated","SHUBH",24,31,22,"43667"
32,"spotify:track:5ZCHWdMgsdoo78m9prkhOR","Rap Demon, Talha Anjum, Umair","Agency","High Zone Records",19,27,22,"42945"
33,"spotify:track:1yFryDjhXXIIaJA1dKqrab","Hasan Raheem, Natasha Noorani, Talal Qureshi","Faltu Pyar","1698613 Records DK2",6,32,17,"40999"
