rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,1,2,"232708"
2,"spotify:track:4i9Ul89UPf5YPppdOspCH6","Tzanca Uraganu","Havana","Boss Music",1,2,11,"158803"
3,"spotify:track:4JjurgsSCdNejiuOZ98PyQ","Ian, Aerozen, FLORIS, Oscar","Gestu","New World Order",3,3,10,"152230"
4,"spotify:track:47YtkJKWNuemFKKFT3QklE","Oscar","Antetokounmpo","OSKY",1,4,8,"129501"
5,"spotify:track:17AmTJ2vJJGi5cLU3TnccV","RAVA","Regina Nopții","Seek Music",1,5,6,"123220"
6,"spotify:track:1oanM8lNb88L5ZuKkVp9va","Killa Fonic, RAVA","Brasileira - From “TEAMBUILDING” The Movie","Team Building",4,6,9,"122702"
7,"spotify:track:1b8wUmTTj17WAEHlu9UFsl","Iuly Neamtu, Manele Mentolate","Test Drive","Manele Mentolate",7,-1,1,"111605"
8,"spotify:track:5jjPoxrz3NRainOx1DtAPv","Ian","Urgențe","New World Order",3,9,33,"110477"
9,"spotify:track:1YvYEbR7ITXJ0Msk4ORZxY","Ian","Lumea asta","New World Order",2,7,33,"105712"
10,"spotify:track:7q7KhsazHZG8EM8Qt08YmO","RAVA","BULIBA$HA","Seek Music",5,12,41,"103648"
11,"spotify:track:60sy8u1IoawaNCSKG0g7t9","RAVA, Iustin","IN LIPSA TA","Seek Music",1,8,29,"101506"
12,"spotify:track:4XLLdFJdwmvdtkwQuXAFut","Ian","La san","New World Order",11,11,26,"99415"
13,"spotify:track:1C0G4YZEz2eOQlL2HfbyFO","Bogdan DLP, Gheboasă, LilCagula, Beach, Please!","Dacă n-ai bani","BEACH, PLEASE! Festival",4,10,4,"95716"
14,"spotify:track:5mzzRWsQNt3dwS1n4V0W9W","Ian","Gangu pe la bloc - From “TEAMBUILDING” The Movie","Team Building",14,-1,1,"86294"
15,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",12,15,12,"85239"
16,"spotify:track:6VcmY5O2WE00BaF9fomffm","RAVA, NOSFE, YNY Sebi","CUM SE MIȘCĂ","Seek Music",1,13,29,"84733"
17,"spotify:track:5h1Zucrq9PfrPdMBryoTW5","M.G.L.","CONTACT FATAL 2","M.G.L.",3,14,11,"84643"
18,"spotify:track:62pL0bFEaRUwN5hU2JGFrZ","Beach, Please!, Gheboasă, LilCagula","Dacă n-ai bani","BEACH, PLEASE! Festival",6,16,4,"82978"
19,"spotify:track:19sbsJ3EPMs1nQdmMXCFFi","RAVA","$P$ - Studio Session #02","Seek Music",9,17,32,"81864"
20,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",19,19,6,"79272"
21,"spotify:track:5OWc2Do2QpzlrfPASWjbTX","Azteca, Amuly, Rava","A Â","(C) & (P) Azteca 2022",3,20,26,"78337"
22,"spotify:track:4isHNSvb4ZzGGUbSLPCLMD","Oscar","Toxic","OSKY",1,18,8,"73888"
23,"spotify:track:4KoesiedslACxSRFunogFJ","Killa Fonic, Delia","Cum Am Știut","Global Records & Roka Records",4,21,24,"70881"
24,"spotify:track:3rNXwhTLSzp2bclr1BRC29","Alina Eremia, Oscar","Umeri de piatră (cu Oscar)","Global Records",24,-1,1,"70426"
25,"spotify:track:7Enmh2pt5fiYgoNlbzK70K","Ian","60 De Zile II","Ocult Records",17,31,144,"70199"
26,"spotify:track:6KJ9V4Veqlc46xQK5GmyRY","RAVA, Alduts Sherdley","Dungă","Seek Music",1,25,18,"70091"
27,"spotify:track:3uCnYdw2AG9HfWgwNdqmPv","Roxen, RAVA","Niciodata inapoi (from ""TEAMBUILDING The Movie"")","WM Poland/WMI",19,30,3,"68824"
28,"spotify:track:2RKuEYbimyHurRAlqE8Tgf","Beach, Please!, Gheboasă","DĂ-I ȚIGANCA","Global Records",3,22,19,"68768"
29,"spotify:track:5wQYjcX7kA26lF4pIcNVnP","Ian","Veste","New World Order",3,24,28,"68067"
30,"spotify:track:6r2UqgPxaMxZEXwrOnZ7bm","YNY Sebi, Bogdan DLP","Tarabanele","Big UP Music",1,33,23,"67545"
31,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,28,27,"67062"
32,"spotify:track:0nkeV4kaa4xvifptkypzDY","Mario Fresh, Renvto","Necesar","Bear Music",6,23,18,"65738"
33,"spotify:track:09Ylu166NCvXW8ZY4lA39W","Ian","Timeout","Ocult Records",33,42,36,"65633"
34,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",9,29,120,"65486"
35,"spotify:track:23S8qffmiX68DFEoaFXQz6","YNY Sebi","Defectul Meu","Big UP Music",1,37,15,"64688"
36,"spotify:track:3DBLUk2LjwjBak3dN3qvRz","Theo Rose, Ian","Sangele Frate Nu Te Face","Big UP Music",25,27,3,"63237"
37,"spotify:track:2dAmNhVPH2jaM6pnGCc1Kt","Ian, Oscar","Oare","New World Order",9,36,33,"60286"
38,"spotify:track:6EIBhgEms3hJczZMzB7iTX","RAVA","Giulesti Crangasi","Seek Music",14,35,81,"59261"
39,"spotify:track:5GAHQvyhSdzEZf46qV2WIt","Oscar","Recunoaște Măcar","OSKY",3,26,8,"59003"
40,"spotify:track:2Uo05C56sVFgtHWDmVIrp7","LilCagula, NL Moxxie","Biliard 2","LilCagula Records",1,32,12,"58883"
41,"spotify:track:62oHVZYgTX6DqaHQPWVIuU","Beach, Please!, Berechet","112","BEACH, PLEASE! Festival",5,41,23,"58676"
