rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,1,2,"478366"
2,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,2,6,"337785"
3,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",3,3,2,"308356"
4,"spotify:track:1Fb8gCHRkmNAaN8vytd5vg","Luciano, Central Cee","West Connect (feat. Central Cee)","URBAN",4,-1,1,"295330"
5,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",4,6,92,"200642"
6,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",3,5,20,"199647"
7,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",2,4,11,"194530"
8,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,7,27,"181891"
9,"spotify:track:3BnDvpeuGOj21Ir2aVEtQo","Rema","Calm Down","Mavin Records / Jonzing World",6,10,21,"166929"
10,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",8,11,15,"166377"
11,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",1,9,11,"160122"
12,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",3,8,19,"159288"
13,"spotify:track:5xX2LYdXyx0Boa61rZOjq5","Luciano","Beautiful Girl","URBAN",1,16,23,"151203"
14,"spotify:track:6yeZM8gyykjaf8w0GqRfK4","Nina Chuba","Wildberry Lillet","Jive",3,14,8,"136358"
15,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",15,49,78,"131022"
16,"spotify:track:70Xfh3baxA4xusCiV5B5jg","Jamule, FOURTY","KISSENSCHLACHT","Life Is Pain",16,-1,1,"130160"
17,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",12,13,8,"125550"
18,"spotify:track:3D29kjUyWxsT3jUUTtARVQ","Gazo","DIE","BSB PROD",5,12,9,"123864"
19,"spotify:track:2mUsPl9IkHyJfFAIpWWkUv","Don Xhoni, Era Istrefi","Hala","Don Xhoni",19,-1,1,"121522"
20,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,15,95,"120650"
21,"spotify:track:5IOF2LmEZaGDPOepCRFXTC","Samra","Undercover","Cataleya Edition",21,-1,1,"117216"
22,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",17,21,25,"111871"
23,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",14,19,10,"111526"
24,"spotify:track:5hnGrTBaEsdukpDF6aZg8a","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",24,35,5,"111399"
25,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",25,47,4,"110482"
26,"spotify:track:3xWGA8pa0IKFI7IMPri4P0","Ed Sheeran","Shivers","Atlantic Records UK",1,18,56,"109530"
27,"spotify:track:6Pk9SrYcNROzVANFESonWh","Pashanim","Doppel G","Urban",27,-1,1,"108770"
28,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",20,20,12,"108203"
29,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",22,22,2,"107374"
30,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",21,25,30,"105538"
31,"spotify:track:7xTDT7gyIrv0xWpwwXExxU","Ed Sheeran","Celestial","Atlantic Records UK",31,-1,1,"105441"
32,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",3,23,31,"103693"
33,"spotify:track:2XXpLFPZGxgtohTd79DjZO","Luciano","Drill LUV","URBAN",33,-1,1,"100656"
34,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",2,28,62,"98949"
35,"spotify:track:7BaLRoaLSmnOgmMnQzonGq","Luciano, KALIM","Blue Cheese (feat. KALIM)","URBAN",35,-1,1,"97905"
36,"spotify:track:5ucyKDPjLpYLGadsRO1wSB","DJ Robin, Schürze","Layla","Polydor x Island Records & Kontor New Media & Summerfield Records",1,26,18,"97861"
37,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",1,29,63,"94963"
38,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",36,36,10,"91775"
39,"spotify:track:0g2leZuI3jD5pRsrRIDvYe","Miksu / Macloud, makko","Nachts wach","FUTURA",5,27,13,"91272"
40,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",32,32,97,"90794"
41,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",37,37,6,"90570"
42,"spotify:track:1IhwTymQA1QFgQJu4ZjYtW","Pashanim","2019 (justbars rmx)","Urban",42,-1,1,"89492"
43,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",5,30,60,"89243"
44,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",34,44,19,"89024"
45,"spotify:track:5E2JcyolDstvqZ0PNpT3pS","Luciano","SUVs","URBAN",16,151,15,"88328"
46,"spotify:track:7dq9QIXx5eIz6w2MNzTan4","Yung Hurn, SW43 L33 D1DO","ALLEINE - SW43 L33 D1DO REMIX","Yung Hurn/WM Germany",8,17,3,"86233"
47,"spotify:track:2q7jpVfCtcuRwcur9nQeuC","Liaze","PARADISE (MIT DIR)","VENTURA Records",7,34,16,"83154"
48,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",1,33,19,"82187"
49,"spotify:track:6Qe7YCkIOc1iaw9HKqO3qV","Soolking","Suavemente","Universal Music Division Capitol Music France",10,43,31,"82170"
50,"spotify:track:2CewvqbfMOcnvYE3yayAJV","KAMRAD","I Believe","Epic Local",38,42,17,"80882"
51,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",41,41,8,"79917"
52,"spotify:track:6ZjuBJah2xFEl4z3X20di3","Miksu / Macloud, makko","Nachts wach (Lila Wolken Bootleg)","FUTURA",22,48,6,"79706"
53,"spotify:track:6ex1Pz3pntgy4NPtxHXN2V","Ed Sheeran","Bad Habits","Atlantic Records UK",1,38,67,"79701"
54,"spotify:track:7hFw40Ta4n5wwD1Xzdscb5","Luciano","Frozen Tears","URBAN",8,103,10,"77024"
55,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",38,57,172,"76960"
56,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",46,52,22,"76870"
57,"spotify:track:3tclrcMq55RBexbs0hg77O","Luciano, Sophie Hunger","Everywhere (feat. Sophie Hunger)","URBAN",57,-1,1,"75610"
58,"spotify:track:4k6yZRw7M04gZE2uW12Cw6","Makar","Mood","Virgin",10,40,9,"75197"
59,"spotify:track:23EzkJ0gwrAW3mAH1H0vuv","Luciano, RAF Camora","Tattoos (feat. RAF Camora)","URBAN",59,-1,1,"75048"
60,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",12,51,43,"74493"
61,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",7,50,17,"73563"
62,"spotify:track:4tRhRLBxIZ34Iw0eCuiC03","southstar","Miss You","Columbia/B1 Recordings",62,81,9,"73422"
63,"spotify:track:49y9ulK2kgYvVw3yBSdDao","01099, Paul, $OHO BANI","Cider","01099/WM Germany",63,-1,1,"72774"
64,"spotify:track:2EriVX6pX9RcmMsgU8Hsir","Bonez MC, RAF Camora, Gzuz","Taxi","187 Strassenbande",2,31,5,"72627"
65,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",38,55,14,"71549"
66,"spotify:track:5TJEBoTCDbJXiKMdCN9pd3","Elton John, Britney Spears","Hold Me Closer","EMI",37,72,6,"71067"
67,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",55,58,5,"69878"
68,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",8,59,48,"69792"
69,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",38,56,22,"69745"
70,"spotify:track:6xukxpR18uEv9CpNQ0d0ll","Luciano","Magic","URBAN",70,-1,1,"69444"
71,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,62,65,"68911"
72,"spotify:track:75cxFn3oHrwMRDUXsLTvUl","Luciano, Headie One","Life Lessons (feat. Headie One)","URBAN",72,-1,1,"68334"
73,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",64,73,12,"68293"
74,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",27,75,230,"67660"
75,"spotify:track:5r43qanLhUCdBj8HN3fa6B","OneRepublic","Sunshine","Mosley Music/Interscope Records",15,68,41,"67434"
76,"spotify:track:1c2hJSwcCfoPEw1su83Sw0","Lady Gaga","Hold My Hand","Interscope Records",38,82,21,"65245"
77,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",7,66,198,"64994"
78,"spotify:track:5dj7Il9BkdU1gMfIveNrVH","Dhurata Dora, Luciano","Adrenalina","Epic/Ilir Balija",3,74,11,"64852"
79,"spotify:track:1WCEAGGRD066z2Q89ObXTq","David Guetta, Becky Hill, Ella Henderson","Crazy What Love Can Do","Parlophone UK",40,71,26,"64713"
80,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",60,69,8,"63808"
81,"spotify:track:35DkXhxqTMiQB582tfjowU","Ion Miles, SIRA, BHZ","Powerade","Sony Music/BHZ",10,70,24,"63765"
82,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,78,149,"63728"
83,"spotify:track:4ZpIuzx91EAPK3VimONbfB","ZEG P, Hamza, SCH","FADE UP","On Da Trax",10,61,15,"63668"
84,"spotify:track:3eJH2nAjvNXdmPfBkALiPZ","Jason Derulo","Acapulco","Atlantic Records",21,77,57,"62611"
85,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",35,63,8,"62032"
86,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",86,93,7,"61971"
87,"spotify:track:2USlegnFJLrVLpoVfPimKB","Gabry Ponte, LUM!X, Prezioso","Thunder","Spinnin' Records",13,79,71,"61559"
88,"spotify:track:3cZ3YGEdmaC9psgjZrTlAw","L Loko, Drini","WILL NOMEH","Sony Music/Sektion Züri",54,96,16,"61481"
89,"spotify:track:7nhRvNTtuNPWvJuEnmNJYb","Luciano, Gzuz","Voyage Skit (feat. Gzuz)","URBAN",89,-1,1,"60794"
90,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","Atlantic Records",72,89,100,"60730"
91,"spotify:track:5C3J3C5nzBclrE8xuW5UQ7","Leony","Remedy","Casablanca new/Republic Records",26,85,29,"60321"
92,"spotify:track:4UyVCLbNG8yhrqbzeSmdho","Black Eyed Peas, Shakira, David Guetta","DON'T YOU WORRY","Epic",79,91,11,"60153"
93,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",2,-1,140,"60133"
94,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",27,94,64,"59801"
95,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",29,53,3,"59511"
96,"spotify:track:0npHflJzLWZ6svbq5Abnfo","Luciano, Paula Hartmann","Passion (feat. Paula Hartmann)","URBAN",96,-1,1,"59332"
97,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",5,84,16,"59043"
98,"spotify:track:1Fid2jjqsHViMX6xNH70hE","Seafret","Atlantis","Sweet Jane Recordings",80,80,7,"59008"
99,"spotify:track:2wGSgTmgSF3xjRrHkTc25R","The Game, 50 Cent","Hate It Or Love It","Geffen",81,102,15,"58652"
100,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",55,92,22,"58348"
101,"spotify:track:1v7L65Lzy0j0vdpRjJewt1","Eminem","Lose Yourself - From ""8 Mile"" Soundtrack","Aftermath",30,100,200,"58193"
102,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",2,97,71,"57935"
103,"spotify:track:6PrB4KpvuoYWtwjPC5a44S","Soolking, Niska","Balader","Universal Music Division Capitol Music France",77,88,16,"57650"
104,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",83,119,13,"57633"
105,"spotify:track:2hBkoDhuGk2AtSCprEFDFP","Ray Dalton, Alvaro Soler","Manila","Epic Local",23,86,40,"56900"
106,"spotify:track:1FEiijYPJtyswChfcpv3p0","Lana Del Rey","Summertime Sadness","Urban",77,87,11,"56567"
107,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",73,105,52,"56497"
108,"spotify:track:6A3SB2C4U6JtCavQOXLYNN","Benzz","Je M'appelle","Universal-Island Records Ltd.",21,90,23,"55848"
109,"spotify:track:3CIyK1V4JEJkg02E4EJnDl","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",6,99,49,"55655"
110,"spotify:track:3sa06xVNmLLYIxdNNmVQN8","Jax Jones, MNEK","Where Did You Go? (feat. MNEK)","Polydor Records",36,104,26,"55590"
111,"spotify:track:4VpmtsVKIRfNlmrtaEnrQi","Lomepal","À peu près","Pinéale",36,64,3,"54867"
112,"spotify:track:3iYjUEMXpxiXUzKsLFuSNi","Bonez MC, RAF Camora","Diamant","187 Strassenbande",8,54,4,"54200"
113,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,106,51,"53847"
114,"spotify:track:1IwYW1AOGriTuAS52gUm2i","Pashanim","Marseille","Urban",114,-1,1,"53772"
115,"spotify:track:3yfqSUWxFvZELEM4PmlwIR","Eminem","The Real Slim Shady","Interscope",49,117,72,"53742"
116,"spotify:track:0egbORGiUh2Fs9Wg0FANSY","Mozzik","Te dua","Epic/2 Euro Music",46,46,2,"53282"
117,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",117,-1,1,"53276"
118,"spotify:track:7vkq044gRCCrEhThIHvbI7","Pashanim","Tourlife.mp3","Urban",118,-1,1,"53271"
119,"spotify:track:10R2O2G7E42x3l8GKRf4an","Luciano","Majestic","URBAN",6,-1,7,"53226"
120,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",2,108,48,"53210"
121,"spotify:track:0H5JKQ7qQ5MBeRSZSieZsM","Lomepal","Mauvais ordre","Pinéale",28,60,3,"53086"
122,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",9,116,20,"52972"
123,"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Lewis Capaldi","Forget Me","Vertigo Berlin",63,120,4,"52900"
124,"spotify:track:6GomT970rCOkKAyyrwJeZi","Öwnboss, Sevek","Move Your Body","Musical Freedom",61,110,33,"52634"
125,"spotify:track:6OZwia8loN0aPS0vTvsBjR","Alonzo, Ninho, Naps","TOUT VA BIEN (feat. Ninho & Naps)","ONLY PRO",3,98,20,"52433"
126,"spotify:track:6HMtHNpW6YPi1hrw9tgF8P","Lizzo","About Damn Time","Nice Life/Atlantic",15,112,23,"52429"
127,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",119,125,8,"52311"
128,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",128,131,4,"52289"
129,"spotify:track:0ywXueKGCisfLkyOphGwaZ","twenty4tim","Gönn Dir","Gefaelltmir-Music GmbH",129,-1,1,"52112"
130,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",1,118,210,"51951"
131,"spotify:track:0e5UZadoZ5me957hKsxRYh","JVKE","golden hour","JVKE",95,111,6,"51381"
132,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Don Omar, Lucenzo","Danza Kuduro","UMLE - Machete",52,140,74,"51347"
133,"spotify:track:3BsYL1gVsiFpo0bM8oTbi0","Mig, Tiakola","Quand j'y repense","Universal Music Division Virgin Records",133,-1,1,"51122"
134,"spotify:track:1ei3hzQmrgealgRKFxIcWn","Benson Boone","In The Stars","Warner Records",38,107,23,"51111"
135,"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Imagine Dragons","Believer","Kid Ina Korner / Interscope",11,127,254,"51018"
136,"spotify:track:7a8GawTVgHZvBLQOh46he7","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",136,158,3,"50936"
137,"spotify:track:41ZYUGtRGAi3SEx23AZXfB","Bonez MC, RAF Camora","Sommer","187 Strassenbande",1,67,9,"50863"
138,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",124,126,7,"50804"
139,"spotify:track:56MDdzieU2dTT3YLpCdpcA","Pashanim","BMW","Urban",139,-1,1,"50693"
140,"spotify:track:6weT0OACEb3e4KLQJInf4I","Die Zipfelbuben, DJ Cashi","Olivia","Xtreme Sound Recordings",22,109,11,"50607"
141,"spotify:track:4wXJldkJcvxENCYs5ghbNj","Pashanim","Milano","Urban",141,-1,1,"50346"
142,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",3,136,197,"50278"
143,"spotify:track:503OTo2dSqe7qk76rgsbep","Dr. Dre, Snoop Dogg","Still D.R.E.","Aftermath",20,135,85,"50198"
144,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",21,114,31,"50053"
145,"spotify:track:5QM0SsyzmBM0pbFY52Xj1X","Sam Smith","I'm Not The Only One","Capitol",122,123,7,"49837"
146,"spotify:track:0z3bi63SNZ5ylyHOzb81Uq","Gambi","PETETE","Rec. 118",27,124,10,"49228"
147,"spotify:track:75UUG6x5zQe0gCVOiQpa6X","Purple Disco Machine, Sophie and the Giants","In The Dark","Positiva",72,133,24,"49098"
148,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",86,150,83,"49065"
149,"spotify:track:4xkOaSrkexMciUUogZKVTS","Eminem, Nate Dogg","Till I Collapse","Aftermath",61,143,137,"49031"
150,"spotify:track:2KqVUrATmCbFWODOGJji2n","Luciano, Gazo","Moonlight (feat. Gazo)","URBAN",150,-1,1,"49020"
151,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",2,138,94,"48891"
152,"spotify:track:6nghFixNnWi6Rp3Rm6AfP7","Luciano, Yung Hurn","London (feat. Yung Hurn)","URBAN",152,-1,1,"48888"
153,"spotify:track:1CxtymiucDK0AB9vgGZ6q2","PNL","J’comprends pas","Pnl",153,-1,1,"48821"
154,"spotify:track:4G12MzlhcSfGSQc3bEiY0t","Azet, Zuna, Dhurata Dora","OEO","KMN Gang",26,121,9,"48806"
155,"spotify:track:09mEdoA6zrmBPgTEN5qXmN","The Weeknd","Call Out My Name","Universal Republic Records",4,122,25,"48640"
156,"spotify:track:5qrSlOut2rNAWv3ubArkNy","Dean Lewis","Be Alright","Universal Music Australia Pty. Ltd.",10,156,160,"48443"
157,"spotify:track:03ClGz3IWepPxLcVlGSC5Q","badmómzjay","Keine Tränen","Vertigo Berlin",39,39,2,"48435"
158,"spotify:track:7iL6o9tox1zgHpKUfh9vuC","50 Cent","In Da Club","Shady Records",54,139,36,"48414"
159,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",8,128,53,"48410"
160,"spotify:track:1rEdhvoQOUXQTPRAKkYxb9","Luciano","Intro","URBAN",160,-1,1,"48405"
161,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",3,141,63,"48193"
162,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",6,130,50,"48039"
163,"spotify:track:3uYBoF66yINbbi3r1P5qvT","Matthew Schultz","Can't Stop","Matthew Schultz Music",163,-1,1,"48032"
164,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",9,146,55,"47975"
165,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",132,132,6,"47767"
166,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,142,47,"47764"
167,"spotify:track:0ll8uFnc0nANY35E0Lfxvg","Keane","Somewhere Only We Know","Interscope",167,170,2,"47708"
168,"spotify:track:0j1whACQqbHlGzSZaUh6uR","RIN, Schmyt, Miksu / Macloud","Sternenstaub","GOLD LEAGUE/DIVISION",23,101,4,"47685"
169,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",121,137,7,"47359"
170,"spotify:track:1F80MEkZA9yTlpMQp9dhht","Tinlicker, Helsloot","Because You Move Me","Armada Electronic Elements",15,149,68,"47169"
171,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",30,161,21,"46973"
172,"spotify:track:0C3shWEOObGT5IxApC7Mkg","Henry Moodie","you were there for me","Robots & Humans",163,163,5,"46831"
173,"spotify:track:2KnLkZ3z7PO3kgVGHGqDpD","Shawn Mendes","It'll Be Okay","Shawn Mendes LP4-5 PS/ Island",16,147,44,"46350"
174,"spotify:track:3iZuI8q4aTMACYxEoq0TaV","Sido","Versager","Urban",24,24,2,"46265"
