rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:72OVnXDzugvrCU25lMi9au","WeiBird","如果可以 - 電影""月老""主題曲","Sony Music Entertainment",1,3,48,"308905"
2,"spotify:track:7mykoq6R3BArsSpNDjFQTm","Rosa Walton, Hallie Coggins","I Really Want to Stay at Your House","Lakeshore Records",2,5,3,"300559"
3,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,2,7,"294262"
4,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",1,1,3,"291536"
5,"spotify:track:07plVccQ0N6FTTTonk3c2M","EggPlantEgg","閣愛妳一擺","茄子蛋EggPlantEgg",2,4,43,"253031"
6,"spotify:track:6la3Kme7O7D01fJPxgpAS5","詹雯婷","訣愛 (劇集《蒼蘭訣》片頭曲)","AsiaMuse Entertainment Co., Ltd.",6,6,7,"242691"
7,"spotify:track:6jNy9WM3zyvG9E5bdVALl8","告五人","好不容易 (《華燈初上》片尾曲)","Bin Music International Limited",2,8,43,"227381"
8,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",3,7,7,"213636"
9,"spotify:track:6akVETVeqqPVvuBS5e0EB1","Eason Chan","孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲","Universal Music Ltd.",5,11,29,"212973"
10,"spotify:track:4fJlSLYLiu5trFCMZdSQDC","EggPlantEgg","愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲","茄子蛋EggPlantEgg",1,10,82,"211258"
11,"spotify:track:6XBL9naPxZjATbmGAWGJ9V","Ren Ran","飞鸟和蝉","北京千和世纪文化传播有限公司",1,12,110,"206187"
12,"spotify:track:1IVj6CsBbTgOEpo0W6hgwN","张远","嘉宾","华声时代",6,14,57,"192790"
13,"spotify:track:0kqTXMHiQiB7IECD0WwcPq","TWICE","Talk that Talk","Republic Records - TWICE",2,9,6,"189812"
14,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",4,13,19,"186505"
15,"spotify:track:2OR5FUKy3GQ7I9DCbRnfsW","Eric Chou","最後一堂課 - 《媽,別鬧了!》影集片尾曲","M.Star Entertainment Ltd.",3,21,11,"181527"
16,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",10,15,10,"180480"
17,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,16,65,"176515"
18,"spotify:track:1GpbSYjurHKlxhcxCZ1Bqa","小阿七","从前说","一寸光年",5,18,35,"173802"
19,"spotify:track:2VEt42QSQxILgEf9B50xxm","理想混蛋","不是因為天氣晴朗才愛你","何樂音樂有限公司",6,17,154,"173309"
20,"spotify:track:35xilew5nalcetOeytaDFj","Jay Chou","還在流浪","JVR",1,22,12,"171687"
21,"spotify:track:19fp9nI0tq0lcBl7XoCHAb","告五人","唯一 (三立/台視戲劇《戀愛是科學》插曲)","Bin Music International Limited",16,25,90,"167117"
22,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",7,20,27,"163080"
23,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",1,19,15,"162436"
24,"spotify:track:0FfNFvy5KRRyB2snvK39zL","W.M.L, Vicky Chen","I'm Alive","史科特音樂股份有限公司 SKR Co., Ltd.",12,23,34,"160329"
25,"spotify:track:3OC84eKMxRJ4x0Hcwl9i4i","Crowd Lu","刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Team Ear Music",1,30,111,"160132"
26,"spotify:track:4QZMBVrBLAvBryj8ZJIIY2","LBI利比","小城夏天","Cheerful Music 青风音乐",21,24,11,"159270"
27,"spotify:track:53yiHIP3ptxWtT4ambRcgb","TRASH","終究還是因為愛","WM Taiwan",13,31,54,"156350"
28,"spotify:track:69AvckyixY1AIGRYDZ1QnO","Power Station","Love Me True","HIM International Music Inc.",6,28,78,"155868"
29,"spotify:track:4nivAUgvOrWdkv44kjAlxs","G.E.M.","天空沒有極限","WM China",29,52,2,"147008"
30,"spotify:track:3CEkc8f1UDvI7kohz3ARpA","Vicky Chen","炙愛 - 女聲版","史科特音樂股份有限公司 SKR Co., Ltd.",28,39,134,"145714"
31,"spotify:track:4U0bL1ouvksMgvXU2aKq4O","en","间距","长沙听感时代",15,37,53,"145260"
32,"spotify:track:7tgzj2IqzSgUpxUhjmcF5m","告五人","披星戴月的想你","Bin Music International Limited",16,34,200,"144529"
33,"spotify:track:2pIUpMhHL6L9Z5lnKxJJr9","NewJeans","Attention","ADOR",15,27,10,"144300"
34,"spotify:track:5Y47GrCrjQY44qFv8Gt0Gm","Eric Chou","你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲","Sony Music Entertainment",2,40,50,"143064"
35,"spotify:track:3jdy4aOla1dwYIqwp69JJN","NICKTHEREAL","愛上你算我賤","Universal Music Taiwan",6,29,39,"141970"
36,"spotify:track:0l6w3GsvjJWdZHs3eXTjuL","1K","就忘了吧","一寸光年",16,35,24,"141267"
37,"spotify:track:6FSOibqLCbhFrmGdqMbwiZ","Tanya Chua","Letting Go","AsiaMuse",37,50,16,"141011"
38,"spotify:track:6whxKQ0Ocn1FmzpDc7lTHq","Eric Chou","想知道你在想什麼 - 《我吃了那男孩一整年的早餐》電影主題曲","Sony Music Entertainment",3,44,36,"140281"
39,"spotify:track:1hM4pPeGTcH3yJImQPFrXt","LaLa Hsu","行走的魚","AsiaMuse Entertainment Co., Ltd.",39,43,3,"136151"
40,"spotify:track:3SJgTyb8a7z66suw0kBZ0T","艾薇","失重前幸福","Universal Music Taiwan",13,42,95,"136102"
41,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",41,69,2,"135816"
42,"spotify:track:26vo1FuxIs0rINePq3lOx8","Jay Chou","最偉大的作品","JVR",1,38,13,"134923"
43,"spotify:track:7xTDT7gyIrv0xWpwwXExxU","Ed Sheeran","Celestial","Atlantic Records UK",43,-1,1,"134716"
44,"spotify:track:0KWnRv3wxjltYVB3MqjNd2","高爾宣 OSN","Without You","史科特音樂股份有限公司 SKR Co., Ltd.",1,48,183,"133416"
45,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",14,33,52,"133094"
46,"spotify:track:6C734SmqoIYuRWo2qSCnpC","NMIXX","DICE","JYP Entertainment",32,32,3,"132943"
47,"spotify:track:3N0srZgpRLSY2ziJ1FsJh9","高爾宣 OSN, sunkis","Work","龍大謝音樂有限公司",47,77,2,"121407"
48,"spotify:track:28MATCYDctW5EiBa2repxb","Ado","New Genesis","Universal Music LLC",6,36,8,"118552"
49,"spotify:track:27FOde2nUw0pFuj7hlPbaS","告五人","愛人錯過","Bin Music International Limited",27,51,113,"117949"
50,"spotify:track:3NNDJfWMGHuNpvHWTImmlW","Fish Leong","慢冷","Universal Music Taiwan",12,45,177,"117598"
51,"spotify:track:2bLphDJvGyfjPbmxs7V4rX","理想混蛋 雞丁","習慣不習慣","何樂音樂有限公司",42,49,30,"114614"
52,"spotify:track:1oen3GpTcA486fTHaT7neg","Girls' Generation","FOREVER 1","SM Entertainment",4,46,9,"112090"
53,"spotify:track:4LSPhOVHew694KG2IAA6Ap","李浩瑋 Howard Lee","Crush On","Rock Records Co., Ltd.",44,71,126,"111781"
54,"spotify:track:5g3SAbi3NE8YXI0Z9aDFoZ","阿冗","与我无关","網易音樂人",29,57,90,"111694"
55,"spotify:track:3MJhPqL2IgGs7gHEB2M35q","BLACKPINK","Hard to Love","YG Entertainment/Interscope Records",7,26,3,"111174"
56,"spotify:track:1bQHKplf5fkkecalhAgYp0","A-Lin","摯友","Sony Music Entertainment",6,56,22,"110602"
57,"spotify:track:3V2v19gDm4rmRkMwcgS4X2","颜人中","有些","中视鸣达",23,61,66,"109502"
58,"spotify:track:5cU1O9P0EDA0rPkPDykhIm","Eric Chou","怎麼了","Sony Music Entertainment",2,55,195,"108966"
59,"spotify:track:2DwsuwDtMtZykInr8cFo1j","高爾宣 OSN","Somebody Else","龍大謝音樂有限公司",30,67,10,"105928"
60,"spotify:track:1Ytgo9ipdlTsf6wlg6sXf3","告五人","在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲)","Bin Music International Limited",2,53,92,"104941"
61,"spotify:track:3tHqubDUl1OHGgGz87YreF","Sophie Chen","500天","史科特音樂股份有限公司 SKR Co., Ltd.",11,60,33,"103487"
62,"spotify:track:4VY1gqGrmHm1slHOHKOdU5","G.E.M.","你不是第一個離開的人","WM China",41,58,7,"100435"
63,"spotify:track:3xWGA8pa0IKFI7IMPri4P0","Ed Sheeran","Shivers","Atlantic Records UK",4,65,56,"100400"
64,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",9,54,27,"100069"
65,"spotify:track:1J707Wskr4x6JO9QwhiCm4","守夜人","我睡不著","何樂音樂有限公司",65,164,49,"99607"
66,"spotify:track:4FhJ7YSRxATHnaRg4nGs6t","Sodagreen","小情歌","F67林暐哲音樂社",62,80,155,"98990"
67,"spotify:track:296nXCOv97WJNRWzIBQnoj","LE SSERAFIM","FEARLESS","SOURCE MUSIC",7,66,23,"97614"
68,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",62,62,6,"97307"
69,"spotify:track:4AJWlnFYUgSi153Sb52u3X","Tanya Chua","让浪漫作主","Universal Music China",13,81,30,"95969"
70,"spotify:track:0IGUXY4JbK18bu9oD4mPIm","(G)I-DLE","TOMBOY","Cube Entertainment",4,64,30,"93641"
71,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",71,84,2,"93248"
72,"spotify:track:5rY7xc2h5Imj6iFn97h8Qj","棉子","勇气","中视鸣达",16,79,113,"92825"
73,"spotify:track:0F02KChKwbcQ3tk4q1YxLH","Jay Chou","晴天","JVR",50,97,148,"92519"
74,"spotify:track:5DSF1VTSaaAFIesJLlltuM","Tanya Chua","紅色高跟鞋","AsiaMuse",45,110,157,"90844"
75,"spotify:track:6qnSA1GSwRtgHCqaD1jQin","Pets Tseng, WeiBird","今天陽光就是特別耀眼特別和諧 feat. 韋禮安","AsiaMuse Entertainment Co., Ltd.",56,89,8,"90439"
76,"spotify:track:77BQceOpfvUBXgokOFHYMm","Jay Chou, Ashin Chen","說好不哭","JVR",1,74,160,"90088"
77,"spotify:track:1XXvo0XLQqEnIb0fjEr0C8","高爾宣 OSN, 李浩瑋 Howard Lee","Drowning","龍大謝音樂有限公司",21,94,21,"89243"
78,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",68,75,17,"88502"
79,"spotify:track:7ajpbW6tBpqUI9foCtwlLw","YOASOBI","祝福","YOASOBI",79,-1,1,"88401"
80,"spotify:track:5VymCvfV0FguCa7zrIPSgk","Xiao Bing Chih","毒藥","Bin Music International Limited",14,85,24,"88396"
81,"spotify:track:4xNDbq22jC2Vdf6QV2uArL","Cyndi Wang","當你","豐華大聲好樂",33,73,133,"87792"
82,"spotify:track:7IkuRNVAjwXpZ2DheQHL4L","EXID","FIRE","SME Korea Inc.",82,-1,1,"87575"
83,"spotify:track:0L8LOav65XwLjCLS11gNPD","BLACKPINK","Typa Girl","YG Entertainment/Interscope Records",8,41,3,"87380"
84,"spotify:track:2urzYCyon3tncXk26kpMYo","卓義峯","再見煙火","豐華唱片",67,98,86,"86529"
85,"spotify:track:4rfxUzKWP3yVMRc4SQ8EAL","G.E.M.","讓世界暫停一分鐘","WM China",59,59,3,"86501"
86,"spotify:track:3QP3cYE3qnplFueLKNVsbM","队长","哪里都是你","声音丛林",51,88,38,"86007"
87,"spotify:track:7a6VJHMS9ttKsj55cKC51G","EggPlantEgg","浪流連","茄子蛋EggPlantEgg",1,92,212,"84845"
88,"spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz","NAYEON","POP!","Republic Records – NAYEON (TWICE)",12,76,15,"84008"
89,"spotify:track:6XY80Ofqd8j0SGiEdRLwCp","Ronghao Li","年少有為","WM Taiwan",3,105,220,"83424"
90,"spotify:track:6ex1Pz3pntgy4NPtxHXN2V","Ed Sheeran","Bad Habits","Atlantic Records UK",3,91,67,"82752"
91,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",1,87,81,"82430"
92,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",25,78,18,"82415"
93,"spotify:track:4Rt9k4SE8dbfKzngxKJPq9","Jay Chou","擱淺","JVR",70,102,59,"81483"
94,"spotify:track:69zgyr5HVKdInjeKpq1qHa","831","想見你想見你想見你(電視劇""想見你""片尾曲)","Rock Records Co., Ltd.",1,90,151,"81469"
95,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",12,83,17,"81375"
96,"spotify:track:0zRezEuKtaAXHcB4eruwi2","Charlie Puth","I Don’t Think That I Like Her","Atlantic Records",63,63,3,"80645"
97,"spotify:track:78mWZg7F2XRlOr50Z2rKyv","En","嚣张","嗨库文化",8,93,146,"78430"
98,"spotify:track:0VwzEoaTzrA4zjaRIkXpbh","Abin Fang","壞人","喜歡唱片股份有限公司",69,100,5,"78088"
99,"spotify:track:78MS9OT9Flm2V78fhTw4rk","Ado","Backlight","Universal Music LLC",17,70,7,"77494"
100,"spotify:track:1nX1b7kRg5a6XKAq7uQOpr","ITZY","SNEAKERS","Republic Records - ITZY",20,99,12,"76263"
101,"spotify:track:0Eh0C7rpC5E0sPy4OcLdsq","理想混蛋","我就想你","何樂音樂有限公司",14,143,46,"76222"
102,"spotify:track:7AdGloF1UHKe1vAZPbqIXH","BLACKPINK","The Happiest Girl","YG Entertainment/Interscope Records",11,47,3,"76165"
103,"spotify:track:1rjUBUTswCkN8DIBxkgjJs","高爾宣 OSN","Why You Gonna Lie","史科特音樂股份有限公司 SKR Co., Ltd.",3,152,180,"76033"
104,"spotify:track:7I5WT7DtpwSAhEeDLpZEfm","Lauv","All 4 Nothing (I'm So In Love)","Lauv",39,115,26,"75579"
105,"spotify:track:7mCr6Rn5jx04Fisvts97Z3","LaLa Hsu","真的傻 (電影《一吻定情》追愛版主題曲)","AsiaMuse Entertainment Co., Ltd.",6,101,192,"75037"
106,"spotify:track:4nrDn3HEdKn524GrOSAll8","Charlie Puth","Charlie Be Quiet!","Atlantic Records",106,-1,1,"74649"
107,"spotify:track:0z81zrkn4dqmRLJpRePjYc","王ADEN","想了妳6次","Aden",29,107,38,"74117"
108,"spotify:track:5ZiMscIUd9Gozq4JFPnlJQ","吳青峰","起风了 - 电视剧""加油你是最棒的""主题曲","Universal Music Taiwan",38,134,179,"72968"
109,"spotify:track:1JLtvvPsHwLyd2ufASdkWV","阿涵, Ayo97","感谢你曾来过","汇音文化",54,111,41,"72895"
110,"spotify:track:7n2FZQsaLb7ZRfRPfEeIvr","IVE","ELEVEN","STARSHIP Entertainment",18,103,44,"72877"
111,"spotify:track:1ybDBYsAIOO7Xbstm8AbqW","WeiBird","沒有人想念沒離開的人","Awesome Music",56,82,4,"72143"
112,"spotify:track:0dKUOtfSILNo9GyWx9VIjk","Hit-Boy, asiatic.wav, Julia Wu, Karencici, Kumachan, NICKTHEREAL","The Regionals: Taipei (feat. NICKTHEREAL, Karencici, Julia Wu, Kumachan)","Warner Music Regional Asia",112,132,2,"72001"
113,"spotify:track:2Y8ASbA7bbOMp3PpKRcu54","理想混蛋","行星","何樂音樂有限公司",101,124,64,"71757"
114,"spotify:track:6lZKB76djHxzO0p2Y3E8vj","G.E.M.","很久以後 - 電影《可不可以,你也剛好喜歡我》主題曲","G NATION LIMITED",20,120,139,"69662"
115,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",87,104,8,"69253"
116,"spotify:track:7q0aUtx8LsnYpshwqjzkhQ","Z-Chen","你愛上的我","CROS MUSIC LTD.",116,166,15,"68805"
117,"spotify:track:6iNH42q8haGYDYGhKK6XiJ","A-Lin","有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲","Sony Music Entertainment",1,126,208,"68754"
118,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",28,109,66,"68724"
119,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,118,51,"68662"
120,"spotify:track:1c2hJSwcCfoPEw1su83Sw0","Lady Gaga","Hold My Hand","Interscope Records",6,114,22,"68461"
121,"spotify:track:3VC4J1pj4oILfBtfhNY0SC","Rene Liu","縮影 (《台北女子圖鑑》戲劇片頭曲)","Bin Music International Limited",121,-1,1,"68333"
122,"spotify:track:55d0jw269HE9pbOt5ntCo8","G.E.M.","多遠都要在一起","Hummingbird Music Ltd.",108,108,11,"68209"
123,"spotify:track:2YA5IfmQwAmVzHRP3SVnEd","EggPlantEgg","浪子回頭","茄子蛋EggPlantEgg",3,116,242,"68209"
124,"spotify:track:1Tf5PcIbUcYhhjZIrQFybB","九澤CP","天黑請閉眼","Rock Records Co., Ltd.",5,119,168,"68041"
125,"spotify:track:4QWSICaQ6LGmcS8qX9lNVh","阿冗","你的答案","煮草文化",17,145,140,"67941"
126,"spotify:track:0XycphC58RpvIxvHfCN3hX","Crispy脆樂團","相愛就是說了100次對不起","何樂音樂有限公司",126,167,2,"67564"
127,"spotify:track:3UNnCf5rqnVbWvGDNs2Bup","安溥","最好的時光","聯成娛樂OnLine",31,112,9,"67500"
128,"spotify:track:2gug6MRv4xQFYi9LA3PJCS","Eric Chou","你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲","Sony Music Entertainment",18,138,302,"66956"
129,"spotify:track:0xzI1KAr0Yd9tv8jlIk3sn","benny blanco, BTS, Snoop Dogg","Bad Decisions (with BTS & Snoop Dogg)","Friends Keep Secrets/Interscope Records",24,113,9,"66770"
130,"spotify:track:46fURCnWErjFdNM2yBJ2c8","Eric Chou","永不失聯的愛","Sony Music Entertainment",85,139,78,"66707"
131,"spotify:track:4cktbXiXOapiLBMprHFErI","Maroon 5","Memories","Interscope Records*",1,129,159,"66655"
132,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",2,117,54,"66466"
133,"spotify:track:18sAGLtcv4bRvwUfmfM5o9","Pei-Yu Hung","踮起腳尖愛","Columbia",63,-1,99,"66157"
134,"spotify:track:3AVXwaOGCEL8cmBecfcsFJ","Charlie Puth","Light Switch","Atlantic Records",28,128,37,"65816"
135,"spotify:track:4z1785BRf6Rn5OjepmdUMQ","Jay Chou","紅顏如霜","JVR",3,95,12,"65690"
136,"spotify:track:5zFglKYiknIxks8geR8rcL","Maroon 5, Megan Thee Stallion","Beautiful Mistakes (feat. Megan Thee Stallion)","Interscope Records*",18,122,80,"65086"
137,"spotify:track:1jIMjbzcGCcCQn5iMu9CUc","Charlie Puth","That's Hilarious","Atlantic Records",47,140,26,"64679"
138,"spotify:track:51PYzHOuwTngW2whaPoYFW","Rainie Yang","年輪說","Universal Music Taiwan",27,150,230,"64502"
139,"spotify:track:4JY5s40ymnG18f6wxQtzPw","Jay Chou, Lara Liang","珊瑚海","JVR",108,135,52,"64352"
