rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",1,1,3,"1095802"
2,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,2,7,"840643"
3,"spotify:track:0ZcyX8hFV1jdJNWOI8mMXF","YEW, LANDOKMAI","Summertime","YEW",3,3,26,"713948"
4,"spotify:track:4cxB2603ulZZjod5FwmWy1","Dept","17","Smallroom",4,-1,1,"604779"
5,"spotify:track:3Ry2KPewzbt43hiQPTnDTK","THEMOONWILLALWAYSBEWITHME","ซูลูปาก้า ตาปาเฮ้","LODY MUSIC",1,5,20,"574571"
6,"spotify:track:4Z64nGulQN49i9D03NcF8a","PROXIE","คนไม่คุย (Silent Mode)","bROTHERS MUSIC",4,4,5,"561585"
7,"spotify:track:6jjYDGxVJsWS0a5wlVF5vS","BTS","Butter","BIGHIT MUSIC",1,58,72,"558999"
8,"spotify:track:3FUAv32u0F64kcaaLRimPr","BOWKYLION","วาดไว้ - recall","What The Duck",1,7,11,"489826"
9,"spotify:track:3vfwUrq22haMmIJyyyI7Hq","YourMOOD","ลาก่อน","WHOOP",5,9,23,"483035"
10,"spotify:track:0cCf8UpRfjOB7yp1yqzMHM","Billkin","ชอบตัวเองตอนอยู่กับเธอ","Billkin Entertainment",1,11,11,"468709"
11,"spotify:track:3LzQ0QF4Ud7CyAIWdFxUHl","Ink Waruntorn","ชอบอยู่คนเดียว","Boxx Music",11,-1,1,"459481"
12,"spotify:track:03Yp2uEOtPGHQ6E9XSjmyv","Pop Pongkool, Da Endorphine","สลักจิต","GMM Grammy PCL.",9,14,12,"455876"
13,"spotify:track:60ZuPJ8kseTn6isqhyxpCi","NONT TANONT","โต๊ะริม - melt","Loveis Entertainment",2,8,20,"431661"
14,"spotify:track:0L8LOav65XwLjCLS11gNPD","BLACKPINK","Typa Girl","YG Entertainment/Interscope Records",3,6,3,"416198"
15,"spotify:track:7AcomvHhlYUB0m9tIX4aC8","Three Man Down","ปล่อยให้เวลา","GMM Grammy PCL.",15,115,2,"386397"
16,"spotify:track:4gNkIyfaf2iwPgeLSVIj8O","Jeff Satur","ลืมไปแล้วว่าลืมยังไง (Fade)","WM/Thailand",16,38,2,"368206"
17,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",7,16,10,"367121"
18,"spotify:track:5m9iZ0wLgpbSBwVW62AZvf","NuNew","รักแท้ - True Love (เพลงจากละคร คุณชาย)","GMM Grammy PCL.",18,191,2,"365079"
19,"spotify:track:4iA3PrcsOt6bmoXTaDXhf3","JOEY PHUWASIT","นะหน้าทอง","GMM Grammy PCL.",6,17,15,"363965"
20,"spotify:track:3hVbL6BkM5rbRzozafghgh","KJ","good boy","Noble music",3,30,16,"338519"
21,"spotify:track:27OEf7iSIOJ14txp16xweP","Dept","ลา ลา ลา","Smallroom",14,22,34,"312348"
22,"spotify:track:1rNYuv63emsYt4Jjv8RlgJ","Mirrr","เจ้าของที่ (My Favorite)","What The Duck",10,25,30,"306001"
23,"spotify:track:70DE8f3cq3auql4JMrF0Qg","Lipta, GUYGEEGEE","ทักครับ","Lipta",1,20,32,"304527"
24,"spotify:track:1LDG6oNPVWerLLWp2ia78I","Alyn Wee","หัวใจเจ้าเอย​ (Not Again)","LOVEiS Entertainment",18,34,47,"303655"
25,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",1,21,15,"301398"
26,"spotify:track:7AdGloF1UHKe1vAZPbqIXH","BLACKPINK","The Happiest Girl","YG Entertainment/Interscope Records",4,10,3,"295426"
27,"spotify:track:3Js0tYhiLhVXHskoOF0jLh","BOWKYLION","บานปลาย (best wishes)","What The Duck",4,23,46,"295409"
28,"spotify:track:0bYVPJvXr8ACmw313cVvhB","BLACKPINK","Tally","YG Entertainment/Interscope Records",5,13,3,"295202"
29,"spotify:track:0GJHuhvKkuAnocAGNJvNw5","Bow Maylada, Lipta","เเฟนผมน่ารัก","BEC WORLD PUBLIC COMPANY LIMITED",29,56,2,"292398"
30,"spotify:track:2MnVrkbwL6ViB7q4NI7oVK","ZENTYARB, PUNYARB, Lazyloxy","ฉบับปรับปรุง","Digital LUV",2,24,40,"290201"
31,"spotify:track:3cZP6wSDNl9i2PgrXo4Zk5","D Gerrard","นักวิทยาศาสตร์","WM/Thailand",26,26,17,"286411"
32,"spotify:track:3W4U7TEgILGpq0EmquurtH","yuji, putri dahlia","Old Love","yuji",32,35,4,"285829"
33,"spotify:track:6YArEquYF9TDuqofFO9CY7","TheChanisara","เฮอร์ไมโอน้อง - Hermionong","TheChanisara",4,42,14,"281402"
34,"spotify:track:6GDIW3Le2tM0hMWD3pvefH","Ink Waruntorn","ถ้าเธอรักใครคนหนึ่ง OST.บุพเพสันนิวาส 2","GMM Grammy PCL.",7,29,12,"281307"
35,"spotify:track:6MjLHdROTcaU22k7B6gxR6","NONT TANONT","พิง - เพลงประกอบละคร กระเช้าสีดา","GMM Grammy PCL.",2,32,53,"278239"
36,"spotify:track:2EPMa8Jm1h5XRH4jwf8yK9","Dept","คงต้องบอกลาแล้ว","Smallroom",30,39,26,"275806"
37,"spotify:track:3crZQarcOagdupRZNzRGWe","Tilly Birds","ถ้าเราเจอกันอีก (Until Then)","GMM Grammy PCL.",1,31,45,"271299"
38,"spotify:track:3MJhPqL2IgGs7gHEB2M35q","BLACKPINK","Hard to Love","YG Entertainment/Interscope Records",7,15,3,"270298"
39,"spotify:track:3ewJNxY8tVHvX94CAUtg89","Only Monday","ได้แต่นึกถึง","GMM Grammy PCL.",12,36,48,"266629"
40,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",24,33,20,"264359"
41,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",6,27,7,"262879"
42,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment/Interscope Records",1,68,56,"258687"
43,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",27,28,10,"257579"
44,"spotify:track:4vLs8BDqK1JtpJdrgrriX6","No One Else","แค่มีเธอไปเดินเตะคลื่นทะเลด้วยกัน","Spicy Disc",6,44,21,"244501"
45,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",26,40,18,"237281"
46,"spotify:track:6g7cdlMt3AUV99D6CgYcV7","Jeff Satur","แค่เธอ (Why Don't You Stay) [From KinnPorsche The Series]","Be On Cloud",17,45,20,"237190"
47,"spotify:track:63VOJDNJ3a5dve74kzWVcF","Patrickananda","คนไกล","WM/Thailand",3,43,115,"234186"
48,"spotify:track:5y4WmuvFX1t3NdSId0MFOh","BLACKPINK","Yeah Yeah Yeah","YG Entertainment/Interscope Records",8,18,3,"231633"
49,"spotify:track:1ecud9LC1clhcuhjLIyyMB","Blackbeans","Wish","Blackbeans",8,46,100,"228602"
50,"spotify:track:5aucVLKiumD89mxVCB4zvS","Crush, j-hope","Rush Hour (Feat. j-hope of BTS)","피네이션",12,12,3,"225829"
51,"spotify:track:1Wwh6gmMeolwzbRzfZMY5b","BLACKPINK","Ready For Love","YG Entertainment/Interscope Records",9,19,3,"225686"
52,"spotify:track:3A1tAv6J87HqjFhUZ3LHNi","D Gerrard","โลกคู่ขนาน","WM/Thailand",3,47,21,"225659"
53,"spotify:track:7MxhdBolnOFvWu4WMURsX5","BOWKYLION","ทราบแล้วเปลี่ยน - attention please","What The Duck",7,51,29,"220390"
54,"spotify:track:1EOWBTE1GPKcxz3wlR08tW","D Gerrard","Luxury","WM/Thailand",15,52,19,"215415"
55,"spotify:track:2qKXdSbREFW4Py3i7leW0r","Tattoo Colour, D Gerrard","SuperCarCare","Smallroom",5,50,32,"212949"
56,"spotify:track:315ar0QJiyciYkdVJUGA3w","No One Else","ต่อจากนี้เพลงรักทุกเพลงจะเป็นของเธอเท่านั้น","Spicy Disc",1,41,50,"212922"
57,"spotify:track:3BV2YcwoVRxK4dXxyaHpZU","Patrickananda","Lavender","WM/Thailand",1,49,48,"211343"
58,"spotify:track:3XCoEJvCYqTbM8bhples8N","Musketeers, Maiyarap","พิจารณา","What The Duck",58,99,4,"210712"
59,"spotify:track:2bGK8OZkr2IH4XHFMWS3CZ","Stamp, Violette Wautier","ถ้าเธอ feat. Violette Wautier","123Records",1,57,37,"204663"
60,"spotify:track:1ex8euBuzVyqjThnYfwY2k","TREASURE","HELLO","YG Entertainment",60,-1,1,"203501"
61,"spotify:track:2m6Ko3CY1qXNNja8AlugNc","Troye Sivan","Angel Baby","EMI Recorded Music Australia Pty Ltd",2,55,56,"199748"
62,"spotify:track:08OtCoRVu0sHp8dmCddtvg","Waii, Koen","หากเธอเคยรักใคร (IF YOU LOVE)","Aoftion Music",19,54,39,"198811"
63,"spotify:track:2pIUpMhHL6L9Z5lnKxJJr9","NewJeans","Attention","ADOR",23,48,10,"197406"
64,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",63,63,2,"191819"
65,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,89,98,"187605"
