rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,1,2,"222629"
2,"spotify:track:2uNrriUaePhbbmsXT8HQJU","INSTASAMKA","POPSTAR","NaMneCash Music",1,2,3,"166388"
3,"spotify:track:4Yzlz45QgjUKZmN2KrK4AP","Skofka","Чути гімн","Columbia Local",1,3,10,"138103"
4,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",3,4,25,"125951"
5,"spotify:track:4oHEJ5KPf9hW1pDyQYIRIw","Aarne, BUSHIDO ZHO, ANIKV","Тесно","AA Team",1,5,9,"113598"
6,"spotify:track:21LIoC4ZxT3F8xq9gidNbX","xxxmanera","Never Broke Again","CandyFlip Music",1,7,16,"102279"
7,"spotify:track:5Sk39LuvdwuvL84jD01Dum","MUPP, Sadfriendd","vendetta!","Sadfriendd x MUPP",3,6,19,"98546"
8,"spotify:track:7kKTYTHULdERuHGCkVyLVD","KALUSH, Skofka","Додому (feat. Skofka)","Columbia Local",2,9,67,"98006"
9,"spotify:track:3pzr7iKQpV9QjLGcLcd2ic","uglystephan, Scally Milano","Заберу","Mansion Music",1,8,10,"94224"
10,"spotify:track:24s8SuDR01re1GxkELG7d0","ENLEO","інша любов","SADNESS RCRDS",6,11,12,"94050"
11,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",10,10,21,"92607"
12,"spotify:track:6NFRX7D4Dnh1dRUPstj3ij","Канги, Galust","Голова","Legacy Music",12,-1,1,"87374"
13,"spotify:track:0wGbyS1tExQSwOYu6UceyE","ONIMXRU, SMITHMANE","SHADOW","ONIMXRU x SMITHMANE",13,17,8,"86773"
14,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",14,20,12,"82917"
15,"spotify:track:2WzAAerBvZvvFXgUpSwHZ9","PLAYAMANE, Nateki","MIDNIGHT","PLAYAMANE",6,14,21,"82867"
16,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",14,16,55,"79773"
17,"spotify:track:3EkGH0yreaWUFAXBil8rmH","KALUSH, Skofka","Файна (feat. Skofka)","Columbia Local",13,18,31,"79302"
18,"spotify:track:5ZNmRNEc0i3o8sP9NKqsvQ","jockii druce","боі стули пельку","3761125 Records DK",2,12,9,"78931"
19,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",5,13,27,"78613"
20,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH","Stefania (Kalush Orchestra)","Columbia Local",1,21,34,"73756"
21,"spotify:track:0EPK3XVvgbe8q0KrS7nEiY","АДЛИН","Dead Inside","Союз Мьюзик",21,49,11,"73033"
22,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",22,23,105,"71803"
23,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Negative Gain Productions",12,26,102,"71437"
24,"spotify:track:3MqaB8TndvgRZ1QSQXH7J7","SHUMEI","Біля тополі","Art Sound Media",24,33,14,"70734"
25,"spotify:track:7mykoq6R3BArsSpNDjFQTm","Rosa Walton, Hallie Coggins","I Really Want to Stay at Your House","Lakeshore Records",19,19,3,"70553"
26,"spotify:track:6BfnNid8w0UyZqzR2mx1HB","Молодой Платон, Poshlaya Molly, Yanix","DON'T PLAY, BAE","ZBV",26,48,3,"70167"
27,"spotify:track:5mGns7qagKDzP4L2YC5ea2","Chico, Qatoshi","Допоможе ЗСУ","Naprocente music",5,30,23,"69903"
28,"spotify:track:0iUrxveyNUBfj0cqjYEijt","MoonDeity","NEON BLADE","MoonDeity",14,22,18,"68705"
29,"spotify:track:489WGIBYPf4nallnJOHpK6","Chico, Qatoshi","Ластівки","Naprocente music",7,24,16,"67898"
30,"spotify:track:3Hff4mCaUFKzrq05w78tEn","Clonnex","Ya Lyublyu","Lemniskata LLC",6,15,7,"67677"
31,"spotify:track:64Qnw6jO2dnkjV9una5peq","100лиця, SKYLERR","Вечорниці - Добрий день Everybody","Moon Vinyl s.r.o.",19,36,12,"66724"
32,"spotify:track:2DHX9faMGUQQTwD1Ot4ch2","INSTASAMKA","MONEYKEN LOVE","NaMneCash Music",5,29,13,"64903"
33,"spotify:track:4MQmxIxM5CXKjdq4IrCWhd","SadSvit","Касета","Independent",22,25,25,"63452"
34,"spotify:track:20SSuP71R4A88qHQu4BKY6","KOLA","Біля серця","Universal Music Polska Sp. z o.o.",34,50,3,"63261"
35,"spotify:track:6keRNvHKCOhmySQa1jCX8P","KALUSH, Tember Blanche","Калуські вечорниці (feat. Tember Blanche)","Columbia Local",5,32,42,"63214"
36,"spotify:track:7g9brrz6mR8dm1kwYFwnRx","YARMAK, ALISA","ДИКЕ ПОЛЕ","Yarmak music",35,38,19,"62209"
37,"spotify:track:6KvQKU21c1ZGEoOajKfim0","Skofka","Не забудем і не пробачим","Columbia Local",34,39,15,"61953"
38,"spotify:track:4jvw60Iw8LpSRJwy1sOmoB","Шайни","Yeyo!","Mansion Music",7,35,34,"61133"
39,"spotify:track:4ikCWgaaGLKgb724CUNnqZ","Кореш","глаза не врут","cplus",3,37,19,"61072"
40,"spotify:track:4LVrOvwpUuJFP2JsIGTptg","KOLA","Чи разом","BEST MUSIC",13,28,18,"58790"
41,"spotify:track:4rirIXfDRE3G9buCYVuk2V","ScurtDae","Back to Life (Birthdae)","Too Lost",37,53,7,"58417"
42,"spotify:track:2kWuVqpxPnj131Z53vxF98","alyona alyona, Jerry Heil, ela.","KUPALA","Columbia Local",4,42,13,"57478"
43,"spotify:track:5BvKkMNYoZYYeTGVFhjlRv","Jerry Heil","Кохайтеся Чорнобриві","Universal Music Polska Sp. z o.o.",30,57,8,"57432"
44,"spotify:track:0fLampmh4qsOLGitXM171a","PLOHOYPAREN","Таблетка","И.С.Б",26,40,36,"56904"
45,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",45,45,11,"56222"
46,"spotify:track:3NjAwkM75GH3cvfV9zRtv8","BUSHIDO ZHO","vodila","cplus",1,41,14,"56108"
47,"spotify:track:3gVhsZtseYtY1fMuyYq06F","Rammstein","Sonne","Vertigo Berlin",47,69,4,"55832"
48,"spotify:track:73LHQpKsDoDg4GbNzMKFQN","Arut, MORGENSHTERN","BUGATTI","Bugatti Music",20,46,4,"55661"
49,"spotify:track:48fzAdCxamFYCHNXXLk6zn","shadowraze","showdown","Союз Мьюзик",1,44,31,"54532"
50,"spotify:track:73HVRUpTeY48oFcc1RMfVs","Skofka","Ой на ой","Columbia Local",41,54,11,"54361"
51,"spotify:track:5CYeR5CKXHYsiTQclSp7rw","Clonnex","Codeinoslav","Lemniskata LLC",10,34,11,"52637"
52,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",6,56,69,"52486"
53,"spotify:track:6CgFrA9qNPFMlnL40LQ8qJ","Clonnex","Dripoholic","Lemniskata LLC",31,31,7,"52016"
54,"spotify:track:3bKxhUuoRvSRwIdyZfQa3F","Artem Pivovarov, DOROFEEVA","Думи","MOЗGI Entertainment",51,66,18,"51569"
55,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",34,47,8,"51453"
56,"spotify:track:1K2ORdYBMvi5h4FvQn5hpX","Мюслі UA","Вова, їбаш їх блять","мюслі UA",2,58,27,"50247"
57,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",57,60,5,"49513"
58,"spotify:track:5TK74MJYRmwU5NIAjGRvRq","Scally Milano, uglystephan","Я хочу тебя трахать","AMC MUSIC",27,59,27,"49469"
59,"spotify:track:4woTEX1wYOTGDqNXuavlRC","Eminem, Dina Rae","Superman","Aftermath",59,83,8,"49130"
