rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,1,2,"518302"
2,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,2,2,"343288"
3,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,3,6,"274010"
4,"spotify:track:1Fb8gCHRkmNAaN8vytd5vg","Luciano, Central Cee","West Connect (feat. Central Cee)","URBAN",4,-1,1,"257693"
5,"spotify:track:6yeZM8gyykjaf8w0GqRfK4","Nina Chuba","Wildberry Lillet","Jive",1,4,8,"210531"
6,"spotify:track:0g2leZuI3jD5pRsrRIDvYe","Miksu / Macloud, makko","Nachts wach","FUTURA",1,6,13,"183480"
7,"spotify:track:70Xfh3baxA4xusCiV5B5jg","Jamule, FOURTY","KISSENSCHLACHT","Life Is Pain",7,-1,1,"174859"
8,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",7,7,87,"164042"
9,"spotify:track:7dq9QIXx5eIz6w2MNzTan4","Yung Hurn, SW43 L33 D1DO","ALLEINE - SW43 L33 D1DO REMIX","Yung Hurn/WM Germany",1,5,3,"161535"
10,"spotify:track:5xX2LYdXyx0Boa61rZOjq5","Luciano","Beautiful Girl","URBAN",1,11,23,"157766"
11,"spotify:track:6ZjuBJah2xFEl4z3X20di3","Miksu / Macloud, makko","Nachts wach (Lila Wolken Bootleg)","FUTURA",5,10,6,"156517"
12,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",9,9,18,"155907"
13,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",3,8,19,"138456"
14,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",12,14,15,"137975"
15,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",13,13,11,"135653"
16,"spotify:track:2q7jpVfCtcuRwcur9nQeuC","Liaze","PARADISE (MIT DIR)","VENTURA Records",2,15,17,"127485"
