rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,1,18,"374308"
2,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,2,14,"298628"
3,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",2,3,22,"265810"
4,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",1,4,22,"255729"
5,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,5,22,"243969"
6,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",4,6,22,"229628"
7,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",7,7,7,"202312"
8,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",2,8,22,"183178"
9,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",8,9,22,"180443"
10,"spotify:track:7dSZ6zGTQx66c2GF91xCrb","KAROL G","PROVENZA","UMLE - Latino",1,10,24,"161512"
11,"spotify:track:0T2pB7P1VdXPhLdQZ488uH","Feid","Normal","UMLE - Latino",8,11,13,"153166"
12,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",9,12,10,"142780"
13,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",13,13,2,"140017"
14,"spotify:track:41oY4WCTj5kccfesTVFnvN","Bad Bunny, Jhay Cortez","Tarot","Rimas Entertainment LLC",5,14,22,"136959"
15,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",14,15,27,"131651"
16,"spotify:track:1sbNEFiURUYfy024cJX8JG","Feid","Ferxxo 100","UMLE - Latino",12,16,18,"131187"
17,"spotify:track:1797zYiX4cKosMH836X9Gt","Bad Bunny, Tony Dize","La Corriente","Rimas Entertainment LLC",9,17,22,"120024"
18,"spotify:track:1ga4PztXOIw1yBbdUt2X8v","KAROL G, Maldy","GATÚBELA","UMLE - Latino",16,18,6,"118465"
19,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,21,171,"113844"
20,"spotify:track:3PpWCS95gDUDRPko3u1MZ9","Feid","Prohibidox","UMLE - Latino",16,19,4,"110795"
21,"spotify:track:0UXlu64mDLvfzR8IXMz06J","Christian Nodal","Ya No Somos Ni Seremos","Producciones Ladon, S.A de C.V.",1,22,33,"106186"
22,"spotify:track:4tYFy8ALRjIZvnvSLw5lxN","Bad Bunny, Rauw Alejandro","Party","Rimas Entertainment LLC",5,20,22,"105021"
23,"spotify:track:5fhcuVxuBWfgNXGuyAtLmr","Piso 21, Manuel Turizo","Los Cachos","WM Mexico",23,30,12,"104077"
24,"spotify:track:3fjN3y5x4hN53rykAN2LHQ","Rels B","cómo dormiste?","Flakk Team / DALE PLAY Records",14,25,9,"101536"
25,"spotify:track:2vsoD8S1OyrWSVIA43hjaU","Feid","Si Te La Encuentras Por Ahí","UMLE - Latino",8,23,9,"99310"
26,"spotify:track:6i1g5ZRmJZAkDwBaUZ3f2i","Luar La L","Caile","La Mafia Urbana Corp.",20,26,9,"96419"
27,"spotify:track:2rurDawMfoKP4uHyb2kJBt","Shakira, Rauw Alejandro","Te Felicito","Sony Music Latin",9,28,24,"95650"
28,"spotify:track:79HZAZNnOE97rb2hnI0XQr","Rauw Alejandro, Lyanno, Brray","LOKERA","Sony Music Latin/Duars Entertainment",28,33,10,"92458"
29,"spotify:track:6mmPpaltUZK7xjNlBPQQ0p","Rauw Alejandro, Chencho Corleone","Desesperados","Sony Music Latin/Duars Entertainment",2,29,43,"91657"
30,"spotify:track:6VrQTLzzuyGIYjUDe4kAZk","Bad Bunny","Un Coco","Rimas Entertainment LLC",17,31,22,"91196"
31,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,34,27,"88906"
32,"spotify:track:7FlQk2gJ6TBrHHiidvdR2O","Becky G, KAROL G","MAMIII","Kemosabe Records/RCA Records",1,35,34,"88801"
33,"spotify:track:6wtZPYBIXUvCpXwVjMCJBf","Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto","ULTRA SOLO REMIX","Sony Music Entertainment Chile S.A",23,27,16,"88167"
34,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",1,32,70,"87805"
35,"spotify:track:1UdzJEpgJxtuXAlCOvD4S0","Danny Ocean","Fuera del mercado","Atlantic Records",2,37,31,"87511"
36,"spotify:track:4d4ZXH4dr5bYfgErHiZCX2","Bad Bunny","Dos Mil 16","Rimas Entertainment LLC",11,36,22,"86572"
37,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",2,24,53,"85814"
38,"spotify:track:1dm6z1fWB0cErMszU25dy2","Bad Bunny","Después de la Playa","Rimas Entertainment LLC",6,38,22,"82291"
39,"spotify:track:7gwT3HGL84vF7bgtwL1N88","Lasso","Ojos Marrones","Universal Music Mexico",35,41,15,"81910"
40,"spotify:track:5CzixCxDkRXX9mScCmah8O","Bad Bunny","Un Ratito","Rimas Entertainment LLC",7,39,22,"80663"
41,"spotify:track:4srcMdbm2qzVG98tJajHxp","Alejo, Feid, ROBI","Pantysito","UMLE - Latino",8,40,29,"77597"
42,"spotify:track:48AJSd42lXpicsGqcgopof","Daddy Yankee, Bad Bunny","X ÚLTIMA VEZ","Republic Records",6,48,28,"75154"
43,"spotify:track:4khWEpnaijN0G1x019Uzdr","Morat","No Se Va","Universal Music Spain S.L.",41,45,33,"75147"
44,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Nabru Records LLC",13,44,32,"73460"
45,"spotify:track:74WROFXsox6wkeUrEK2DS6","Eden Muñoz","Chale","Lizos Music",36,93,30,"70095"
46,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",4,51,65,"69573"
47,"spotify:track:6DoL1yYIwEW7VZMRaJhoJI","Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow","La Llevo Al Cielo (Ft. Ñengo Flow)","UMLE - Latino",39,43,20,"69354"
48,"spotify:track:44XjoNvtwevktFKjvVe1vH","Bad Bunny, Buscabulla","Andrea","Rimas Entertainment LLC",15,46,22,"69061"
49,"spotify:track:71wFwRo8xGc4lrcyKwsvba","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,47,175,"67684"
50,"spotify:track:4hceSKjrkDTO0nMKFcb3sj","Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51","DALE PLAY Records",13,49,17,"65981"
51,"spotify:track:28GCbKgjlVD9eDmasGbe0T","Bad Bunny","Me Fui de Vacaciones","Rimas Entertainment LLC",10,50,22,"60153"
52,"spotify:track:6ylDpki1VpIsc525KC1ojF","Sebastian Yatra","Tacones Rojos","UMLE - Latino",8,57,50,"60100"
53,"spotify:track:0HINQFSerZ6iMfSsaTO3G5","DEKKO","12x3","HIA Ent./Interscope Records",26,61,38,"59268"
54,"spotify:track:1VauUM5CBX7nkLcgafQL2B","Bizarrap, Eladio Carrion","Eladio Carrion: Bzrp Music Sessions, Vol. 40","DALE PLAY Records",14,58,69,"59120"
55,"spotify:track:5GF0X7GdNmnouKcdhhRmtm","Paulo Londra, Duki","Party en el Barrio (feat. Duki)","WEA Latina",21,42,4,"58754"
56,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, Jhay Cortez","DÁKITI","Rimas Entertainment LLC",1,56,101,"58428"
57,"spotify:track:4R8BJggjosTswLxtkw8V7P","Jhayco, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",4,55,177,"57967"
58,"spotify:track:2NMjggapJcXXM7WccGEBUO","Bad Bunny","Enséñame a Bailar","Rimas Entertainment LLC",19,52,22,"57702"
59,"spotify:track:4SSbtLDkepeOHAckM1FCBP","El Alfa, Noriel, Trueno","LOS APARATOS","EL JEFE RECORDS",48,59,9,"57182"
60,"spotify:track:2uflssWlCaJ6CbTMOsUpNI","Bad Bunny","Aguacero","Rimas Entertainment LLC",12,54,22,"56966"
61,"spotify:track:5kVZxyMY1gfdCLiChsfjn1","Bad Bunny","Yo No Soy Celoso","Rimas Entertainment LLC",8,60,22,"54621"
62,"spotify:track:4joPCNKibsoabhpuHPofqG","Kany García, Christian Nodal","La Siguiente","5020 Records",62,63,2,"54538"
63,"spotify:track:6y8z28epOv5FlaxDv1Lo5B","Ryan Castro","Jordan","King Records",5,65,37,"54056"
64,"spotify:track:4jhHaLksdP8DJZzxYAjOSz","Eladio Carrion, Bad Bunny","Kemba Walker","Rimas Entertainment LLC",64,72,35,"53776"
65,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",15,66,168,"53766"
66,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",26,64,36,"53291"
67,"spotify:track:2bbwjxA68m9PHZFWgF1fze","Duki","GIVENCHY","DALE PLAY Records / SSJ Records",10,62,12,"53114"
68,"spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK","Gera MX, Christian Nodal","Botella Tras Botella","Virgin Music México",1,53,76,"53049"
69,"spotify:track:69vlMrzHwATKzupwNcUPyK","Bad Bunny, Daddy Yankee","La Santa","Rimas Entertainment LLC",8,70,136,"52524"
70,"spotify:track:1qfoq1qvZT7VwDVeekCJ97","Christian Nodal","De Los Besos Que Te Di","Universal Music Mexico",14,80,182,"52397"
71,"spotify:track:3rdAz1fbUfZxYgaCviYhRo","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",1,69,72,"52195"
72,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",72,73,9,"51248"
73,"spotify:track:4r9jkMEnArtWGH2rL2FZl0","Bad Bunny","A Tu Merced","Rimas Entertainment LLC",7,67,136,"51146"
74,"spotify:track:3gOVQmGQcg8djqU044liT1","Anuel AA","La 2blea","Real Hasta La Muerte, LLC",74,-1,1,"50985"
75,"spotify:track:7iwJOi3hlMqZt6pj1sQOBj","Quevedo","Vista Al Mar","Quevedo",75,82,4,"50749"
76,"spotify:track:0E0DRHf5PfMeor0ZCwB3oT","Bad Bunny, The Marías","Otro Atardecer","Rimas Entertainment LLC",20,68,22,"50643"
77,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,79,301,"50154"
78,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",10,71,57,"49824"
79,"spotify:track:1xO7tp4J5Wj0NeKrzIpd1V","Christian Nodal, Banda MS de Sergio Lizárraga","La Sinvergüenza","Producciones Ladon, S.A de C.V.",9,74,54,"49394"
80,"spotify:track:18HOjcvTVV7W8YzBuOsAPS","Bad Bunny","Un Verano Sin Ti","Rimas Entertainment LLC",18,76,22,"48965"
81,"spotify:track:6NSMQFKgjpQb0KkjMDYIK0","Arcangel, Bad Bunny, Mambo Kingz, DJ Luian","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Hear This Music",77,84,54,"48637"
82,"spotify:track:0kTMK4gNFfLXaTb62w1UaJ","Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","BZR Music",82,119,2,"48393"
83,"spotify:track:0wihfILRNOwE2156Shezc8","Bad Bunny","Agosto","Rimas Entertainment LLC",22,81,22,"48138"
84,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",84,86,15,"47091"
85,"spotify:track:0hzC5kZ6qKZJ9ybyW75VV8","Chris Lebron, Sech, Jay Wheeler","Desde Mis Ojos - Remix","2022 SONAR",43,77,21,"46911"
86,"spotify:track:35wvL50xvKpCHEJPxLOLPI","Bad Bunny","Si Estuviésemos Juntos","Rimas Entertainment LLC",17,78,167,"46589"
87,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",2,87,62,"44764"
88,"spotify:track:0R7DSnSibvuE4PEHqUayqf","Plan B","Es un Secreto","Pina Records",74,99,14,"44723"
89,"spotify:track:30W8VKHrAZmHzObnwAoc1u","Mora, Sech","TUS LÁGRIMAS","Rimas Entertainment LLC",13,89,27,"44506"
90,"spotify:track:5YJ4BVvTFmVCxUyhKejHfR","Tego Calderón","Pa' Que Retozen","Jiggiri Records, Inc.",90,106,19,"44281"
91,"spotify:track:0S4w5ZBEbxYxiygvz9wWdK","Feid","Belixe","UMLE - Latino",60,83,4,"44036"
92,"spotify:track:69Ej1xrGjOcHvIMtMKxK0G","Don Omar","Dile","UMLE - Machete",92,129,32,"43940"
93,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",93,98,19,"43749"
94,"spotify:track:0czdHU9ZIMJOaXwvoUmGVX","Rey Chavez","El Mismo de Ayer","StudiosKing",94,-1,1,"43699"
95,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",94,94,4,"43554"
96,"spotify:track:1Sym1HsTqsa2pYKhYL1j15","Eladio Carrion, Rels B","Me Gustas Natural","Rimas Entertainment LLC",67,96,37,"43472"
97,"spotify:track:71iAechwVKGu26pahzFL0k","Morat","Cuando Nadie Ve","Universal Music Spain S.L.",22,103,124,"43217"
98,"spotify:track:63bmZnBN1CiJ9sA4qTEe8y","Christian Nodal","Adiós Amor","Universal Music Mexico",15,92,250,"42788"
99,"spotify:track:3p6eieHX6oEOzJStPtEsLu","Calibre 50","Si Te Pudiera Mentir","Calibre",81,91,45,"42744"
