rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,1,2,"37825"
2,"spotify:track:2wuJWqcn6bJWIJCmb83Yeu","SIDARTA","ERIMO","OffBeat Records",2,2,2,"30595"
3,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,3,6,"26217"
4,"spotify:track:3xo0AJj0gWlp51SqoGaGDv","RICTA","Emmonh","City Center",4,-1,1,"25472"
5,"spotify:track:5flH7FY4ledAQboO5a0XQ5","UZI, Mavi","SENIN UGRUNA","Ava Music / Avrupa Müzik",4,4,4,"25276"
6,"spotify:track:5ATwkalJ9FnLp7Zcvxo1rl","Dedublüman, Mavzer Tabancas","Belki","AVRUPA MÜZİK YAPIM",6,14,2,"21668"
7,"spotify:track:5dKi5wRWzTPWHmUxpq96Hf","SIDARTA, Beyond","AKOMI","OffBeat Records",4,10,13,"19803"
8,"spotify:track:0OyiXp4CdjqOYDSpzgfEx7","Rack, Oge, MENJU","FAVELA","Barcode Entertainment",1,5,12,"19317"
9,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",5,6,12,"18809"
10,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",8,8,88,"17862"
11,"spotify:track:1O4LjNjQxnzqECfTKGkko6","SNIK","Erotas","Minos - EMI SA Distribution Deals",1,7,10,"17515"
12,"spotify:track:1OGTkqFF8EmYZvDLuHAXsw","Rack, Beyond","AMOR","Barcode Entertainment",7,11,12,"16546"
13,"spotify:track:29kTgA9pGo9RYwhED65ZrS","Light, Fy, Trannos","Obsessed","Capital Music",2,9,13,"16169"
14,"spotify:track:29GUBTed1wOd9TGkNYgz1n","SIDARTA, Saske, Beyond","MEDITERRANEAN","OffBeat Records",2,12,18,"15614"
15,"spotify:track:7toL7Re9rApzIuIFDaLQSe","KÖFN","Bi' Tek Ben Anlarım","Hypers",15,19,26,"15376"
16,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,13,27,"15178"
17,"spotify:track:2SwQShWjZsxoGviEyaEMOX","Ezhel","Nerdesin","StageArt Europe",8,16,11,"14379"
18,"spotify:track:6XK6R1ir3k0iPkwGbmVIEV","FLY LO, Mike G","Crystal","Minos - EMI SA Distribution Deals",7,15,4,"14076"
19,"spotify:track:0v4BTk3Vlhmfduww4WFOwA","SIDARTA, Beyond","ADRENALINA","OffBeat Records",18,23,8,"13755"
20,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",8,17,11,"13200"
21,"spotify:track:5nH1QRipfAJ8Pd9rFu3xHh","Dedublüman","Belki - Akustik","AVRUPA MÜZİK YAPIM",21,53,2,"12949"
