rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,1,2,"292985"
2,"spotify:track:4ToxkJ4VvWs026R3QfHDI3","Calin","Santé","WM Czech Republic",2,-1,1,"292928"
3,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,2,6,"282497"
4,"spotify:track:2sXnat46y10FtAbW2A0ira","Calin","Hannah Montana","WM Czech Republic",1,3,30,"245595"
5,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",2,4,19,"208013"
6,"spotify:track:3DnT4qyb7YSW4y1ValyUo4","Viktor Sheen, Manene","Stíny (MANENE Remix)","WM Czech Republic",6,-1,1,"183517"
7,"spotify:track:0fThlG4YBkCsRVSJkGpWAX","Koky, Viktor Sheen, Robin Zoot","SOS","Universal Music s.r.o. Distributed Labels",3,5,18,"182333"
8,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",6,7,91,"174275"
9,"spotify:track:3h3CiDX7NyqRLxLUg5pFbu","Robin Zoot","Česká Floriiida","Universal Music s.r.o. Distributed Labels",9,-1,1,"166200"
10,"spotify:track:5mC6tVYVscr1YR4zD6p94h","Ektor","To neni hra","Universal Music s.r.o.",1,6,4,"159475"
11,"spotify:track:163UXyyrFlAIQapVN3DqIp","Calin","Praha/Vídeň","WM Czech Republic",1,11,55,"151946"
12,"spotify:track:0J3SIAOndpL1MS2Vq2RMQ9","Viktor Sheen","Stíny","WM Czech Republic",1,8,47,"149348"
13,"spotify:track:5TKjAQyTkezAQGz6eRMOL6","Earth","Diamanty","Universal Music s.r.o.",2,10,12,"139193"
14,"spotify:track:5TB7FL9eaJ4fIN3oqJK8rp","Robin Zoot","Everyday","Universal Music s.r.o. Distributed Labels",14,29,4,"135287"
15,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",6,13,30,"133752"
16,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,14,27,"133065"
17,"spotify:track:2wPph50bF6qHnXgruVKHm8","P T K, Yzomandias","Baby a Benzo","CE Records",2,12,20,"128170"
18,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",9,9,2,"126154"
19,"spotify:track:3rxHQ7HeJCpiei1d6ANDPW","Viktor Sheen, Calin, Hasan, Nik Tendo","Až na měsíc","WM Czech Republic",1,15,177,"125357"
20,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",16,16,105,"120556"
21,"spotify:track:705U2GkmMiEPrqRWMPmabr","Calin, Viktor Sheen","Sangria","WM Czech Republic",2,18,30,"112898"
22,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",14,17,17,"109493"
23,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,20,90,"109175"
24,"spotify:track:27FjG8BCMk1UjOcBfffHk4","Ben Cristovao, Calin","PRŠÍ, PRŠÍ","Universal Music s.r.o.",22,25,14,"108881"
25,"spotify:track:16Gcy3xa5XTuxvjgbstCWi","Meizyy","Jinej druh","Universal Music s.r.o.",5,19,6,"106273"
26,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",18,23,11,"102700"
27,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",13,21,8,"100940"
28,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",28,54,75,"100617"
29,"spotify:track:6OVXMxjbFK5FHR6wpRzjXC","Robin Zoot, Shimmi","Zendaya","Universal Music s.r.o. Distributed Labels",29,-1,1,"100414"
30,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",28,28,16,"97731"
31,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",17,24,13,"95254"
32,"spotify:track:4IqkrMV11Mx2rA9LhzmN16","Robin Zoot","Velkej vůz","Universal Music s.r.o. Distributed Labels",32,-1,1,"93735"
