rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,1,6,"524893"
2,"spotify:track:5iqWgicPaUYWjxORp5iagj","Tobias Rahim","Flyvende Faduma","Sony Music Entertainment",1,2,9,"501739"
3,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",3,3,2,"481384"
4,"spotify:track:63Dymm6U4WHLRy87e8GBbo","Lamin","Gode Dage, Gode Drinks","Universal Music A/S",3,5,9,"406284"
5,"spotify:track:7bgknc0sSmkIWc2am7QDEv","Tobias Rahim","Feberdrømmer Xx Dubai","Sony Music Entertainment",1,4,18,"395944"
6,"spotify:track:60GwMZeymeZYj7GiEzHQ7d","Lamin, ICEKIID","Hvad Skal Der Ske (feat. ICEKIID)","Universal Music A/S",5,6,5,"352722"
7,"spotify:track:5O6qenUvH31dan0pojwLj1","Gobs","Tro På Kærlighed","WM Denmark",7,-1,1,"339458"
8,"spotify:track:5hnGrTBaEsdukpDF6aZg8a","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",8,13,5,"322821"
9,"spotify:track:56Ua2ypj5HWnotoIF3lEHc","Tobias Rahim, andreas odbjerg","STOR MAND (feat. Andreas Odbjerg)","Sony Music Entertainment",1,8,60,"322724"
10,"spotify:track:5fS3B6lae85C2rA8jPfoE2","D1MA","DRØM MIG VÆK","7OUMA Records",2,7,27,"295545"
11,"spotify:track:7Ku8cFTqbFMKSWGuf1evPQ","Blæst","Juice","Universal Music A/S",9,9,28,"286694"
12,"spotify:track:31dynF6Vm6s6cLsHEBL8kp","Tobias Rahim","Mucki Bar","Sony Music Entertainment",1,10,34,"277141"
13,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",11,11,2,"273409"
14,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",13,15,18,"262007"
15,"spotify:track:5KkDRxYg3a6s8P5fSAkSnW","Hans Philip","Hjertebrand","Universal Music A/S",15,-1,1,"257214"
16,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",7,12,18,"252856"
17,"spotify:track:06bMZsOQ6qQGHCTeM9r9bU","Danser Med Piger","Danser Med Piger","Sony Music Entertainment",17,17,17,"251555"
18,"spotify:track:09N9LGyKqWlLViq2bQjFxR","Artigeardit, Lamin","Vågen (Artigeardit X Lamin)","Universal Music A/S",8,18,19,"249640"
19,"spotify:track:5Mx9Hf6G4nZoTp5Ll9AH73","andreas odbjerg","hjem fra fabrikken","Universal Music A/S",1,14,31,"236920"
20,"spotify:track:6Ig8oKFBOseEULJGC6nl07","Benny Jamz","VI VARME","Universal Music A/S",6,19,14,"236240"
21,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",16,20,11,"234541"
22,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",20,21,13,"218988"
23,"spotify:track:3lt2vb4iuIJrvIccs2IlBU","andreas odbjerg","hvad skal verden med sådan en som mig?","Universal Music A/S",20,22,7,"216516"
24,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,23,27,"214752"
25,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",3,24,11,"207525"
26,"spotify:track:11AizyYnfVVvK1i7f2QmSz","Malte Ebert","Kalde Dem for Du","Universal Music A/S",7,16,4,"203604"
27,"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Lewis Capaldi","Forget Me","Vertigo Berlin",19,25,4,"196882"
28,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",28,37,7,"196527"
29,"spotify:track:7AwNzjpMLHvlkbgOc5MVKI","Mike Lowrey, Gobs, Thomas Helmig","Stupid Man (feat. Gobs & Thomas Helmig)","Immobilare Records",2,31,17,"191993"
30,"spotify:track:3LlqJkcXMBIAE5X1uUiZUN","The Minds Of 99","Under Din Sne","No3",2,27,48,"189965"
31,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",30,30,59,"187350"
32,"spotify:track:40SBS57su9xLiE1WqkXOVr","LF SYSTEM","Afraid To Feel","Warner Records",26,34,14,"176538"
33,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",29,29,8,"176228"
34,"spotify:track:1bIxLnZasVLJbol55wDU5r","Tobias Rahim","Når Mænd Græder","Sony Music Entertainment",4,35,22,"170412"
35,"spotify:track:4RbUT7mO2RlHtaXFxxI3OZ","Blæst","Sover Du Nu","Universal Music A/S",28,28,2,"170232"
36,"spotify:track:7xTDT7gyIrv0xWpwwXExxU","Ed Sheeran","Celestial","Atlantic Records UK",36,-1,1,"167074"
37,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",29,39,14,"166882"
38,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",15,33,25,"163006"
39,"spotify:track:7up4SX2l8FAnisrUXoGupd","Lukas Graham, Khalid","Wish You Were Here (feat. Khalid)","Warner Records",11,40,7,"160549"
40,"spotify:track:3ZgG8vSIEbgHxKawwMUHNB","Lamin, KESI, Benny Jamz","Balance (feat. KESI & Benny Jamz)","Universal Music A/S",9,32,5,"160098"
41,"spotify:track:6e7KGsngU13kguy5hTvSxe","Gilli","Kender Ik' I Morgen","Universal Music A/S",1,26,38,"155827"
42,"spotify:track:1o9F4qWXHHY2ExISuqGeev","Baloosh, Shooter Gang","Autobahn (feat. Shooter Gang)","Universal Music A/S",29,38,3,"154955"
43,"spotify:track:22ureEREoYmAIwxm8ZBSIK","Malte Ebert","Kun Med Dig","Universal Music A/S",31,41,6,"153318"
44,"spotify:track:1ugQtcwmKOXvKAYzhjncmv","Dean Lewis","Half A Man","Universal Music Australia Pty. Ltd.",1,47,38,"153314"
45,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",19,44,24,"153065"
46,"spotify:track:0YWa7stUSTPrqjoB6NhoxU","Rasmus Seebach","Livstegn","Capitol Records Denmark",24,45,19,"147268"
47,"spotify:track:6BxGGPBdNexcy53euZsrga","Artigeardit, KESI","Er Her (Artigeardit, KESI)","Universal Music A/S",1,46,73,"145392"
48,"spotify:track:3a6GwXyS27Phmpr9XMv1h7","Gilli","Miami Vicer","Universal Music A/S",6,43,38,"140222"
49,"spotify:track:5KFtLArXrvuHjiHsgQSkHz","KESI, Jada","Skør For Dig (feat. Jada)","Universal Music A/S",7,49,16,"137872"
50,"spotify:track:21h80Cfo35Foa17LFp6O0A","Hans Philip","Årstider","Universal Music A/S",50,-1,1,"137598"
51,"spotify:track:5fp40teaKjFmPGX3HvDLXZ","ZUUZ","LELELE","Sony Music Entertainment",34,52,19,"115152"
52,"spotify:track:5TJEBoTCDbJXiKMdCN9pd3","Elton John, Britney Spears","Hold Me Closer","EMI",45,51,6,"114865"
53,"spotify:track:71YtM9VJSZ2I1yiiyCX5ef","Hans Philip","NESO","Universal Music A/S",53,-1,1,"112761"
54,"spotify:track:5uPv6fOsHPC8ZqxRKElxMP","GMG","Danser","7OUMA Records",4,48,24,"112397"
55,"spotify:track:5JpI77kH18RMNM0WmPtx99","Artigeardit, Lamin","Hvor Fuck Er Min Drink? (Artigeardit X Lamin)","Universal Music A/S",12,50,52,"111485"
56,"spotify:track:5lc78CC4tom6me4Bun7miy","Hans Philip","Tæt på","Universal Music A/S",56,-1,1,"111135"
57,"spotify:track:3xWGA8pa0IKFI7IMPri4P0","Ed Sheeran","Shivers","Atlantic Records UK",1,60,56,"110520"
58,"spotify:track:1lARru9E0ESa5lZchy1Rvm","Specktors, Tessa, TopGunn","Lågsus For Evigt","Parlophone Denmark",5,53,26,"110027"
59,"spotify:track:3QjKHNV5Ht1kRVg5qWLEks","Sivas","Høj På Livet","Sony Music Entertainment",59,-1,1,"109255"
60,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",14,54,18,"109013"
61,"spotify:track:7iuM7vnvSjX9qqcuFtij1T","andreas odbjerg","føler mig selv 100","Universal Music A/S",12,59,128,"108738"
62,"spotify:track:5qrSlOut2rNAWv3ubArkNy","Dean Lewis","Be Alright","Universal Music Australia Pty. Ltd.",6,58,212,"108194"
63,"spotify:track:0weqXPaf1MQkmLQHBUhnN7","D1MA","DON'T PHASE ME","7OUMA Records",12,56,16,"107429"
64,"spotify:track:2GajeoOS17ifAmYX8xxPZw","Benny Jamz, Gilli, KESI, B.O.C","Ibiza","MXIII",1,61,68,"104347"
65,"spotify:track:69kptLFjiP25KHNRtmNNH0","Hans Philip","Ciel","Universal Music A/S",65,-1,1,"101624"
66,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",48,55,6,"100417"
67,"spotify:track:19bPUStvf9ZJZXTctUbAnY","Larry, Sivas","80s (feat. Sivas)","Sony Music Entertainment",36,36,2,"97078"
68,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,63,65,"96932"
69,"spotify:track:0Jq7vLJ73chfUiyodEVhDP","Hans Philip","Forevt","Universal Music A/S",69,-1,1,"96588"
70,"spotify:track:6ex1Pz3pntgy4NPtxHXN2V","Ed Sheeran","Bad Habits","Atlantic Records UK",2,65,67,"94410"
71,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",56,70,12,"93462"
72,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",8,64,90,"92358"
73,"spotify:track:7tKc7NVi0eSsoZOO4zdcEe","Benny Jamz, Gilli","BENZEMA (feat. Gilli)","Universal Music A/S",15,76,12,"91876"
74,"spotify:track:4N5s8lPTsjI9EGP7K4SXzB","George Ezra","Green Green Grass","Columbia",61,71,13,"91568"
75,"spotify:track:1zTLgT9jFwTuwrFFcOqXNw","andreas odbjerg","i morgen er der også en dag","Universal Music A/S",21,72,80,"89732"
76,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",3,67,60,"88681"
77,"spotify:track:2PZju4y2KHcX1aMYXtg6Vv","Clara","To The Moon","Sony Music Entertainment",77,-1,1,"87712"
78,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",5,77,60,"87320"
79,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",79,161,2,"86820"
80,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",79,79,27,"86541"
81,"spotify:track:71nuGcEgCLHtbsUlZ9ZACL","Hans Philip","Somendrøm","Universal Music A/S",81,-1,1,"86477"
