rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:13E54FVYV7fzEfZhtrKn0K","Cairokee, Marwan Pablo","Tarantino","Cairokee-Roma",1,2,2,"137013"
2,"spotify:track:2BHxg3zP8IdRvvWPVavzqB","Wegz, Ash","Amira","Ash",1,3,7,"133634"
3,"spotify:track:1GKqff6G0zabRInKN9Vz1S","Cairokee","James Dean","Cairokee-Roma",1,1,3,"119242"
4,"spotify:track:5kdlxZ5skOYY3VK8RlfEIZ","Wegz","البخت","Takwene",1,6,32,"118487"
5,"spotify:track:4vIbws1xp082bv0zl8vLaJ","Cairokee","Basrah w Atooh","Cairokee-Roma",4,4,2,"117841"
6,"spotify:track:1hpjMinSryyJGslYdF0cyy","Marwan Moussa","حدوته المانى","The Basement Records",2,9,12,"115005"
7,"spotify:track:6cpTq72SH9QSocMTnGEKg5","Afroto, Marwan Moussa","Brazil","The Basement Records",7,11,10,"109540"
8,"spotify:track:641KAqGlHS7CH0wCrhh0Ir","Husayn, FL EX","Stop - Magnolia","Maadi Town Mafia",7,10,18,"103394"
9,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",9,14,2,"99659"
10,"spotify:track:13CV3gU68sljNILYjjaIBR","Wingii, FL EX","Khamsa","Maadi Town Mafia",10,17,3,"92078"
11,"spotify:track:0VoGUSTCDyz5855v4S278P","Hassan El Shafei, Nancy Ajram, Marwan Pablo","Eish'ha B Afia","The Basement Record",4,12,8,"86519"
12,"spotify:track:7yZc2gKENILqeJWofabYNF","Cairokee, Sara Moullablad","Nefsy Ahbek","Cairokee-Roma",5,5,2,"86378"
13,"spotify:track:6EImClnQDWI51GJjSKva6P","Marwan Pablo","EL HALAL","The Basement Records",1,15,9,"86363"
14,"spotify:track:2E2ZmCeuHrHOECN01QhN0A","Marwan Moussa","بطل عالم","The Basement Records",1,16,15,"83166"
15,"spotify:track:5GDhHuLpmneh1DCMyKMJp3","Cairokee","Roma","Cairokee-Roma",7,7,2,"82819"
16,"spotify:track:0PTlHYXWyCeayIw3Tpafdl","Essam Sasa","عره فافي عامل مغامر - بت انتي حب حياتي","Essam Saasa",7,18,11,"79677"
17,"spotify:track:1QcOE9wJeillm0WK0oujtD","Afroto","ANA DEAL","The Basement Records",17,25,4,"73094"
18,"spotify:track:0Bfr92yPEr9KocUpWP8xmh","Cairokee","Matwhashneesh","Cairokee-Roma",8,8,2,"72884"
19,"spotify:track:4U7uW9KlqalDKu8ff9OyDm","Marwan Moussa","Aloomek","The Basement Records",2,23,33,"69988"
20,"spotify:track:6CU68VwcV10VfulVQMfj3X","Cairokee","Ana Negm","Cairokee-Roma",20,21,2,"66138"
21,"spotify:track:3TFIDBWstsKUbXBGedJAWO","FL EX","LOGAN","Maadi Town Mafia",21,33,7,"65882"
22,"spotify:track:2hZb0DuHOlqka9VYhHlTpM","Ahmed Saad","Wasa3 Wasa3","Mazzika Group",11,24,12,"65499"
23,"spotify:track:5hiQSNo6jQbQ2m2gBZs7bU","Muslim - مُسلِم","Etnaset","Digital Sound",1,27,50,"65184"
24,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",12,26,6,"62405"
25,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",10,28,11,"62016"
26,"spotify:track:74utdoJDUGLIMlrSS6jHlU","El Waili, Moscow","Dawly","Modissa - Wall Of Sound",4,30,23,"61694"
27,"spotify:track:2HbrI0oakRE7qNXoK74zNR","Ahmed Saad","El Youm El Helw Dah","Sony Music Entertainment",15,29,11,"60731"
28,"spotify:track:00iZxf2j4qUqsSa7HOngwZ","Muslim","جوب","Sharqi Production 2022",28,36,4,"58446"
29,"spotify:track:5V0l4DBUYwNr8ETXqf1Yod","Wegz","بعودة يا بلادى ( من فيلم "" كباتن الزعتري "")","Takwene",2,31,29,"55743"
30,"spotify:track:3FdV0iO6fskyPeYnrMsKPM","Essam Saasa","وسط دموع وجراح","Essam Saasa",13,32,66,"55322"
31,"spotify:track:7zE6sykTrQkXMaiZTZJSFJ","Cairokee","Costarica","Cairokee-Roma",13,13,2,"54064"
32,"spotify:track:1EBmjew9K69csBqRxI8BeO","Cairokee","Samurai","Cairokee-Roma",13,22,81,"53146"
33,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",26,37,52,"52700"
34,"spotify:track:5NcTOxzo2WE20tFdtUhbAM","Marwan Pablo","BARBARY","The Basement Records",2,34,32,"52040"
35,"spotify:track:3g4p8OgtpxHpEHzEjnRo6J","Muslim - مُسلِم","Mesh Nadman","Digital Sound",10,42,40,"51761"
36,"spotify:track:0Kb87SCKl8pFyKm0yD9TYf","Mohamed Mounir","لِلّي","Ideology",5,38,11,"50980"
37,"spotify:track:1JBv0j7SZPNHhV96XaDF9X","Cairokee","Johnny Cash","Cairokee-Roma",20,20,2,"50116"
38,"spotify:track:06h6dQDVdXjnIOXGXabW02","نور النبوي, عطار","خطوة اجباري","Attar",14,39,21,"48715"
39,"spotify:track:3OFejsaM3NDkclJg3rjWI2","Marwan Moussa","البوصلة ضاعت","Blue Check Entertainment",9,44,156,"47496"
40,"spotify:track:5jXlvpnQwhRmixTZ6oqMo3","Muhab, El Seif","السر","Takwene",22,40,7,"47399"
