rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6qverLcFcryBhJBgomIZjw","Turisti, Elastinen","Tippa-T","Skorpioni",1,-1,1,"645201"
2,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,1,6,"428401"
3,"spotify:track:2G1gCuldjtW9xcN1n1yenB","Isac Elliot, Sexmane","Makso Mitä Makso","Universal Music Oy",1,2,4,"354799"
4,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",3,3,2,"327725"
5,"spotify:track:2h9FYDFYIScQ4dHtsL70gn","Joe L, Costi","DEEP DOWN (feat. Costi)","Sony Music Entertainment Finland",5,-1,1,"312338"
6,"spotify:track:22KSKT3mCbSiG4RT20ogxB","Gettomasa, Van Hegen","Shamppanjadieetillä","PME Records",1,4,19,"251064"
7,"spotify:track:2N780yabixU5WBrkTtfwLs","DAVI, Ardian Bujupi","Rakastunu Gangstaa - Lotto Remix","WM Finland",1,6,5,"229484"
8,"spotify:track:1RCQAeceDgtbD7WVLWr05S","Haloo Helsinki!","Reiviluola","Vallila Music House",2,11,56,"222978"
9,"spotify:track:0lPrY8sXUen0bqga0BIeWa","KUUMAA","Tulipalo","Universal Music Oy",9,15,14,"221465"
10,"spotify:track:76WsnMaiOG5ky6ENnJjI0r","Fabe, JVG","Koko Yö (feat. JVG)","Sony Music Entertainment Finland",4,7,5,"218092"
11,"spotify:track:3UTyIQpogsEpo9IIY5wLS5","JVG","Amatimies","WM Finland",1,8,23,"212822"
12,"spotify:track:5U6DBJXCpgbwDirAYukeHo","Gasellit, ABREU","Laulu ilman sanoja (feat. ABREU)","Sony Music Entertainment Finland",3,5,3,"201705"
13,"spotify:track:0IghJnHZCrilFytSASVTri","Ege Zulu, Sexmane, Victor Nordis","Skene","PME Records",13,-1,1,"201491"
14,"spotify:track:5zHwltOissBAu6ZedTFFLW","Costi","Kangastus","PME Records",8,10,3,"199351"
15,"spotify:track:3DBZ0kwm8q4OeMbEfb1n9r","Ege Zulu","Melankolia","PME Records",12,12,2,"192828"
16,"spotify:track:7wAh8Hbsv4QX6AavYDcrhM","Dilemma","Tanssi Tyttö Tanssi","Dilemma",16,-1,1,"191724"
17,"spotify:track:45AnFdNtMvqc6slOLCDMTy","Bee","Tequilakahvi","Sony Music Entertainment Finland",3,13,7,"185638"
18,"spotify:track:4RjP1NfFGbCF4rFY298jnA","WIL","Näiden tähtien alla","Sony Music Entertainment Finland",18,-1,1,"185604"
19,"spotify:track:1agD3NMqnpaejVler2S9xJ","Sexmane","Chillaa veli","Sony Music Entertainment Finland",1,14,13,"184369"
20,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",7,22,87,"171726"
21,"spotify:track:2oo4aF7LnxR3ZFkcRcctAe","Bizi, william","Draama - Remix","PME Records",6,18,11,"170508"
22,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",8,16,10,"168627"
23,"spotify:track:0hR9rAzfwW8EuutTXdSzuF","Ramses II","Villieläin","WM Finland",1,19,25,"167940"
24,"spotify:track:3GTCMFwGsJfvhd9To8TSS3","Nebi, Cledos","YLöS/ALaS","EIFFEL",7,21,3,"160818"
25,"spotify:track:1jRjMpN31x4yCkQqKSRErC","Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth","Autiomaa","WM Finland",9,9,2,"160193"
26,"spotify:track:1hBl7KfkonH4LtACkJuhle","Pyhimys, Figaro","Kemiaa","Universal Music Oy",26,-1,1,"159054"
27,"spotify:track:2f3M4kFTnPCncJSjN515fO","pehmoaino","ikuinen virta","Sony Music Entertainment Finland",11,17,4,"157778"
28,"spotify:track:1bDGyHQ0GC8zg8nIpEIhG0","LAVAREDO","Blondi","Sony Music Entertainment Finland",5,24,12,"149237"
29,"spotify:track:2u4aD9hjuT1UHDsmHVEOjr","Isac Elliot, william, Cledos","20min","Universal Music Oy",1,25,17,"146934"
30,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",22,26,17,"146816"
31,"spotify:track:27KdLYj7Alpe6y3UxC87ga","Nebi","GoDdAmN","EIFFEL",9,23,16,"146664"
32,"spotify:track:0nRssz1xxPRC6B22k5lG06","MD$, Sexmane, B.Baby","Nonstop (feat. Sexmane & B.Baby)","Sony Music Entertainment Finland",13,28,20,"142775"
33,"spotify:track:2QNcMX51ubQSyLcNPly7Xa","Costi, Sexmane","meikä matadori","PME Records",8,29,9,"139281"
