rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:18DVypBkvcJtVFzQr5Ly7J","Beton.Hofi, Hundred Sins","BAGIRA","Universal Music Kft. Hungary",1,2,7,"343819"
2,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,1,2,"305521"
3,"spotify:track:1o0TkBcMTkkOg1KUeB4riK","Azahriah","four moods","Supermanagement",1,3,9,"246222"
4,"spotify:track:0nQuoTxzDIVoWzaTgF5xtW","Dzsúdló, Azahriah","Várnék","Supermanagement",1,4,9,"178584"
5,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",5,7,6,"176223"
6,"spotify:track:6Rc6C6S4lgT5j1OekgI155","Azahriah, DESH","Pullup","Supermanagement",1,5,20,"169612"
7,"spotify:track:33zWUivvsRkfnOYx4FUmPt","Kiss Kevin","Csinibaba","Gold Record Music Kft.",7,15,4,"158390"
8,"spotify:track:5hAuDDOTUaspvHJSm2AltF","Manuel, VALMAR","Palvin","Gold Record Music Kft.",6,6,3,"156015"
9,"spotify:track:4Os68ICIOhJVOPfl53TjBP","Beton.Hofi, ajsa luna, Hundred Sins","TISZALÖK","Universal Music Kft. Hungary",7,10,5,"144852"
10,"spotify:track:7cU3vDXfkH4bAemYBxuoJT","Azahriah, DESH","Miafasz","Supermanagement",2,9,20,"140749"
11,"spotify:track:2CilsBtWk8gwrTAYUmO7Xt","Manuel, VALMAR","Hajnalokig","Gold Record Music Kft.",8,8,3,"133652"
12,"spotify:track:3q8b8Rn1UB0bG9QG2yBgIQ","Ekhoe","Costa Rica","IBBI ACADEMY",7,13,33,"129513"
13,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",3,11,22,"125004"
14,"spotify:track:1tAyEL10PQDcIvEL2o75wt","Azahriah","figyelj","Supermanagement",2,12,9,"114921"
15,"spotify:track:2YmkWevzHTiEyvgjdTKB3r","Bruno X Spacc","Aha-Aha","Bruno X Spacc",3,14,21,"114503"
16,"spotify:track:7A9EcBrwTG6bwswUy7beWW","Beton.Hofi, Hundred Sins","PLAYBÁNIA","Universal Music Kft. Hungary",10,16,5,"101713"
17,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",17,19,19,"100487"
18,"spotify:track:5RIVjLrjv7mw8LUihkuoLC","ibbigang","Pak Pak","On The Low Inc.",18,-1,1,"100113"
19,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",19,26,30,"97561"
20,"spotify:track:1IkEE9PQVeQ563gWfJ4moA","Beton.Hofi, DOÓR","POP","Universal Music Kft. Hungary",14,24,5,"96502"
