rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6Vd8hxisvvbtZloYVH5kAo","Bubbi Morthens, Auður","Tárin falla hægt","Alda Music",1,1,2,"68814"
2,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,2,2,"39791"
3,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,3,6,"34621"
4,"spotify:track:3ovhC4v5a73S0afcOHhnu2","Hafdís Huld","Dvel ég í draumahöll","Alda Music",1,5,212,"25054"
5,"spotify:track:5faV3B9PfIOabLD8PPUAxo","BRÍET","Dýrð í dauðaþögn","One Little Independent",5,7,8,"24195"
6,"spotify:track:42JvUP9kdBuBnJQxT3uOXv","Jón Jónsson","Ég var ekki þar","Alda Music",6,-1,1,"22057"
7,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,6,27,"21605"
8,"spotify:track:1l2AHO7bb47QGFKJmXhXMz","Hafdís Huld","Litlar stjörnur","Alda Music",3,8,179,"20807"
9,"spotify:track:5myQVDBhZvE7DIvsQICuKn","Hafdís Huld","Óskasteinar","Alda Music",4,9,190,"19979"
10,"spotify:track:0Xh9sOCT7ZvmKg8KthRYnH","Hafdís Huld","Sofðu unga ástin mín","Alda Music",6,10,184,"19354"
11,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",9,11,8,"18225"
12,"spotify:track:1MWg9aH6OhteqF1RXR3J5w","Hafdís Huld","Sofa urtubörn","Alda Music",8,13,167,"17681"
13,"spotify:track:0RT86wBrufYQZSdN852Wjn","Hafdís Huld","Ljós","Alda Music",10,15,160,"17041"
14,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",10,16,17,"16572"
15,"spotify:track:5pn6OskYybJrrqcdlNpBvk","Hafdís Huld","Bíum bíum bambaló","Alda Music",9,17,170,"16319"
16,"spotify:track:74lwBSM0qm01YwX7TPffIE","GDRN, Magnús Jóhann","Einhvers staðar einhvern tímann aftur","Sony Music Iceland",3,14,3,"16176"
17,"spotify:track:6uU1QhxwtrnOdALd4K1nBs","Daniil, Joey Christ","EF ÞEIR VILJA BEEF","Alda Music",1,12,22,"16130"
18,"spotify:track:4b4mAXu0PCBNHEeJw6YbWS","Prins Póló","París Norðursins","Skakkapopp",18,125,10,"15321"
19,"spotify:track:1ZzSy8HeLFZAeuQi577bhB","Hafdís Huld","Ævintýralönd","Alda Music",12,18,153,"15303"
20,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",20,66,52,"15116"
21,"spotify:track:7nzeIh8kUdieUBLPXch9wi","Hafdís Huld","Góða nótt","Alda Music",14,19,149,"15115"
22,"spotify:track:4gksS6ZXD2Bdv8YaMY6R6q","JóiPé, Daniil","Áhyggjur","Sony Music Iceland",4,4,2,"14586"
23,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",17,20,13,"14410"
24,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",4,26,11,"14398"
25,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",25,28,73,"14153"
26,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",3,25,17,"14138"
27,"spotify:track:1sgn8wmK2kuJrF9ppsnH2F","Hafdís Huld","Frost er úti fuglinn minn","Alda Music",19,24,143,"14106"
28,"spotify:track:2q2cdTPrbgWSxLFFXjjaoO","Hafdís Huld","Bí bí og blaka","Alda Music",20,27,153,"14073"
29,"spotify:track:51J0zLsmKb265vmylOJGMr","Hafdís Huld","Sofðu","Alda Music",18,23,141,"14024"
30,"spotify:track:3LP5YM7IMwmffWXPE1VBf1","Hafdís Huld","Sólskin","Alda Music",14,22,151,"13937"
31,"spotify:track:5TBNZCGMR1NJtJrrg606m0","Hafdís Huld","Nóttin læðist inn","Alda Music",18,21,143,"13784"
32,"spotify:track:53UXY91LLMuISer0X8RsWq","Bubbi Morthens","Rómeó og Júlía","Alda Music",21,40,293,"13374"
33,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",4,33,16,"12963"
34,"spotify:track:6xsUlQIjfduRdQt88yekZ5","Hafdís Huld","Þú ert","Alda Music",23,32,137,"12861"
35,"spotify:track:5TJEBoTCDbJXiKMdCN9pd3","Elton John, Britney Spears","Hold Me Closer","EMI",18,31,6,"12755"
36,"spotify:track:42BgRqXAu46c2Iz55krZGy","Bubbi Morthens, BRÍET","Ástrós","Alda Music",1,39,84,"12645"
37,"spotify:track:7KsgpAXxuD7n3eOypldW5K","THØR, Ingi Bauer","Í larí lei (feat. Ingi Bauer)","Sony Music Iceland",1,41,7,"12620"
38,"spotify:track:1tCcIkkqlbgLoYGub8bNzV","BRÍET","Esjan","Alda Music",2,43,139,"12358"
39,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",36,44,10,"12344"
40,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",27,38,18,"12287"
41,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,34,92,"11994"
42,"spotify:track:3sNVsP50132BTNlImLx70i","Kanye West","Bound 2","Rock The World/IDJ/Kanye/LP6",22,35,54,"11750"
43,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",35,36,12,"11729"
44,"spotify:track:1Riv4d4nqpQVxArPLsk4s0","BRÍET","Rólegur kúreki","Alda Music",1,51,104,"11689"
45,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",45,52,7,"11686"
46,"spotify:track:7lKfDBWgASXJcv7gjdyG5E","GDRN, Magnús Jóhann","Leiðin okkar allra","Sony Music Iceland",14,30,3,"11657"
47,"spotify:track:1jCSG0fDPtaMCkFLo1KJnb","Sigga Beinteins","Í larí lei","Alda Music",27,45,40,"11313"
48,"spotify:track:6pl6s8A3YRX3CKSEFGbKbM","GDRN, Magnús Jóhann","Rósin","Sony Music Iceland",15,29,3,"10893"
49,"spotify:track:1PpVP5oRzfz0qFWlRnEU3b","GDRN, Magnús Jóhann","Vikivaki","Sony Music Iceland",17,37,3,"10708"
50,"spotify:track:2wGSgTmgSF3xjRrHkTc25R","The Game, 50 Cent","Hate It Or Love It","Geffen",41,54,15,"10118"
51,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",1,48,19,"10056"
52,"spotify:track:6HMtHNpW6YPi1hrw9tgF8P","Lizzo","About Damn Time","Nice Life/Atlantic",6,53,23,"10055"
53,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",4,57,20,"9947"
54,"spotify:track:42hyqD9o4Gdt3dmYu2oAKm","GDRN, Magnús Jóhann","700 Þúsund stólar","Sony Music Iceland",21,46,3,"9920"
55,"spotify:track:5nhnK0sf8D4DCUPGeLFDvx","Stuðlabandið","Í larí lei","685421 Records DK2",18,55,9,"9901"
56,"spotify:track:0QnV0F8TLcxYGEHGsdXMf0","Prins Póló","Líf Ertu Að Grínast","Skakkapopp",56,-1,1,"9615"
57,"spotify:track:283fTQ0gdXA0ixUxj4SGTW","GDRN, Magnús Jóhann","Ég veit þú kemur","Sony Music Iceland",23,47,3,"9589"
58,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",58,73,3,"9491"
59,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",13,63,18,"9478"
60,"spotify:track:1gs1lAEoN5MqVhkrhngc0K","GDRN, Magnús Jóhann","Ó, þú","Sony Music Iceland",25,42,3,"9122"
61,"spotify:track:4OVD1iLIGfdYhh0jUWsluy","Bubbi Morthens","Afgan","Alda Music",36,61,243,"8918"
62,"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Lewis Capaldi","Forget Me","Vertigo Berlin",42,81,4,"8908"
63,"spotify:track:0f6kCIN4AKer6C5zI9vosm","GDRN, Magnús Jóhann","Hvert örstutt spor","Sony Music Iceland",27,50,3,"8894"
64,"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Kanye West","Heartless","Roc-A-Fella",43,62,58,"8792"
65,"spotify:track:1qYgDuxy09XbVogNd2V8N1","GDRN, Magnús Jóhann","Morgunsól","Sony Music Iceland",34,56,4,"8700"
66,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",2,65,60,"8613"
67,"spotify:track:5xKLBh8aIj1A9WmnxME2LF","ClubDub","IKEA STELPAN","Sony Music Iceland",2,67,11,"8521"
68,"spotify:track:7teFuwH2migyw406oQEEWW","FM95BLÖ, Aron Can","Aldrei Toppað","Alda Music",1,60,23,"8450"
69,"spotify:track:5A7zYlIo4dILWSn32D7cXl","GDRN, Magnús Jóhann","Hjarta mitt","Sony Music Iceland",37,59,3,"8305"
70,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",64,64,2,"8271"
71,"spotify:track:0ENwKWCMQmWb9b4hSqSVNW","Jón Jónsson, GDRN","Ef ástin er hrein","Alda Music",2,84,90,"8263"
72,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",72,76,4,"8241"
73,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",6,70,60,"8238"
74,"spotify:track:6I8wic0mBs7uEvwiCTOTlt","Bubbi Morthens","Það er gott að elska","Alda Music",39,72,206,"8222"
75,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",56,71,27,"8124"
76,"spotify:track:77GxNN9ZQKnASt4sLMnTxk","BRÍET","Fimm","Alda Music",6,49,101,"8114"
77,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",75,75,58,"8096"
78,"spotify:track:0fwiqOWfXdmFjWMGSnlGba","Prins Póló","Er of Seint Að Fá Sér Kaffi Núna","Skakkapopp",78,-1,1,"8068"
79,"spotify:track:5wShXzt653EggNX7kTzMvb","Klara Elias","Eyjanótt","Sony Music Iceland",1,89,18,"8012"
80,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",60,78,15,"7947"
81,"spotify:track:25ggBFrRXJ4XcBPlnOWD5w","HÚGÓ","Farinn","Sony Music Iceland",16,82,37,"7802"
82,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",36,68,8,"7628"
83,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",11,79,23,"7617"
84,"spotify:track:5pyoxDZ1PX0KxBxiRVxA4U","Beyoncé","BREAK MY SOUL","Parkwood Entertainment/Columbia",14,74,16,"7559"
85,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",57,69,5,"7557"
86,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",48,93,95,"7473"
87,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",15,85,31,"7361"
88,"spotify:track:5CF7IuBTFfAj4oAHxJZwfH","BRÍET","Sólblóm","Alda Music",3,94,94,"7346"
89,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",28,80,18,"7302"
90,"spotify:track:2fBsJNBH7mtK5KFDZntAL0","Brunaliðið","Einskonar ást","Alda Music",70,103,11,"7280"
91,"spotify:track:0VUH43O5GBZDsVuphW1IAQ","Bubbi Morthens","Fallegur dagur","Alda Music",61,90,111,"7237"
92,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,92,65,"7208"
93,"spotify:track:13Irp51zj01BZu2XtDrnAg","Lizzo","2 Be Loved (Am I Ready)","Nice Life/Atlantic",93,101,5,"7203"
94,"spotify:track:6SB3oQdXj6t7gztnUwvWAa","Daniil","Leðurblaka","Alda Music",10,77,29,"7190"
95,"spotify:track:3GZD6HmiNUhxXYf8Gch723","Frank Ocean","Lost","Red Zone Entertainment / IDJ",34,104,39,"7117"
96,"spotify:track:4Li2WHPkuyCdtmokzW2007","JAY-Z, Kanye West","Ni**as In Paris","Roc Nation/RocAFella/IDJ",57,87,93,"7060"
97,"spotify:track:2iHiVyfDAm6EjhkGELpqPK","Aron Can","FLÝG UPP","Sony Music Iceland",1,83,75,"7055"
98,"spotify:track:5TRPicyLGbAF2LGBFbHGvO","Kanye West, Dwele","Flashing Lights","Roc-A-Fella",83,108,26,"6984"
99,"spotify:track:5BsDtyRfgUW4ZyJ2iUSjkX","Séra Bjössi, Háski","Drive","Sony Music Iceland",29,102,29,"6888"
100,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,98,149,"6850"
101,"spotify:track:5QM0SsyzmBM0pbFY52Xj1X","Sam Smith","I'm Not The Only One","Capitol",67,91,33,"6786"
102,"spotify:track:2cRvBj5f36OfJEuGeGSwpp","Friðrik Dór, BRÍET","Hata að hafa þig ekki hér - SAMSUNG SESSJÓN","Alda Music",7,146,199,"6713"
103,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",15,96,18,"6592"
104,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",29,105,52,"6555"
105,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",78,100,7,"6547"
106,"spotify:track:4OmfWzukSVD140NiAIEjem","Steve Lacy","Static","L-M Records/RCA Records",63,99,5,"6520"
107,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",93,97,5,"6500"
108,"spotify:track:3s7MCdXyWmwjdcWh7GWXas","Kanye West","Violent Crimes","Getting Out Our Dreams, Inc./Def Jam Recordings",12,118,9,"6480"
109,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",92,115,4,"6463"
110,"spotify:track:4W4aMXXfHhykCCJzVTcOd9","Friðrik Dór","Bleikur og blár","Alda Music",1,122,36,"6453"
111,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",76,116,18,"6447"
112,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",82,137,20,"6431"
113,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",1,112,204,"6359"
114,"spotify:track:5hnGrTBaEsdukpDF6aZg8a","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",114,-1,1,"6308"
115,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",107,110,8,"6289"
116,"spotify:track:4uG5fKCMgK1IliMHG8pQLl","HÚGÓ, Herra Hnetusmjör","Einn í Einu (feat. Herra Hnetusmjör)","Sony Music Iceland",10,133,28,"6270"
117,"spotify:track:2XOTjxBCQRTWZE1akIgqE3","Aron Can","Morgunsólin","Trúpí",35,-1,6,"6258"
118,"spotify:track:2OdpZeTpnbqPqBrclk2pib","KALEO","Vor í Vaglaskógi","Elektra (NEK)",21,114,283,"6235"
119,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,131,51,"6184"
120,"spotify:track:3xWGA8pa0IKFI7IMPri4P0","Ed Sheeran","Shivers","Atlantic Records UK",6,120,56,"6183"
121,"spotify:track:3Osd3Yf8K73aj4ySn6LrvK","JAY-Z, Kanye West, Frank Ocean, The-Dream","No Church In The Wild","Roc Nation/RocAFella/IDJ",86,86,3,"6182"
122,"spotify:track:5GWbnTPgy5v0cjdkrpAMH0","Daniil","Geekd","Alda Music",11,109,32,"6181"
123,"spotify:track:0JzG1wJuB4v9UPkSE7LMXi","Montell Fish","Hotel","Lord’s Child, LLC",79,88,3,"6152"
124,"spotify:track:3AVrVz5rK8Hrqo9YGiVGN5","Cigarettes After Sex","Apocalypse","PTKF",115,124,9,"6109"
