rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5fDCy4Hse30ZsjaTUGKVh5","Lyodra, Andi Rianto","Sang Dewi","PT. Universal Music Indonesia",1,1,8,"3075873"
2,"spotify:track:3TFdXrYIubXABQh0CxIiSs","Soegi Bornean","Asmalibrasi","Irama Records",2,3,12,"2801278"
3,"spotify:track:1b0aDgrG775i4sPQgJGmkU","Keisya Levronka","Tak Ingin Usai","PT. Universal Music Indonesia",1,2,20,"2607870"
4,"spotify:track:6gB7kLGZNkf5tkvWkzSGKR","Mahalini","Kisah Sempurna","Hits records",4,4,24,"2360149"
5,"spotify:track:2hHeGD57S0BcopfVcmehdl","Tulus","Hati-Hati di Jalan","TulusCompany",1,5,31,"2312913"
6,"spotify:track:2dIBMHByUGcNPzmYBJ6OAj","Hindia","Evaluasi","Sun Eater",6,17,47,"2309194"
7,"spotify:track:6pmo9ha8iOPZc5lxPU9o8w","Mahalini","Sisa Rasa","Hits records",3,13,50,"2158288"
8,"spotify:track:6Hii26x3qDErVitnGW8QtO","Feby Putri, Fiersa Besari","Runtuh","BYNC Record",1,6,51,"2104378"
9,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",3,7,3,"2080071"
10,"spotify:track:7BhRGeqNpBw1QilknM0svo","Ziva Magnolya","Pilihan Yang Terbaik","PT. Universal Music Indonesia",9,9,9,"2012312"
11,"spotify:track:3w75Uvn1cojNlBhQoxpVP3","Fabio Asher","Rumah Singgah","Fabio Asher",3,11,22,"1986061"
12,"spotify:track:0mMqopQJOWADJSPRMYkvTF","Yura Yunita","Dunia Tipu-Tipu","Merakit",4,8,10,"1981169"
13,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",4,12,24,"1933043"
14,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",1,15,17,"1820383"
15,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",2,10,7,"1793526"
16,"spotify:track:7mZxM64cMYQdx2vopaGrDf","Andmesh","Andaikan Kau Datang - From ""Miracle in Cell No. 7""","Hits records",16,23,4,"1755859"
17,"spotify:track:1gH1h30wkQdd9zhY3j7a8T","Rex Orange County","THE SHADE","Rex Orange County",5,16,14,"1726809"
18,"spotify:track:1zxfRSZcaonV1VXcY0PgY5","NIKI","High School in Jakarta","88rising Music",2,14,9,"1707554"
19,"spotify:track:1ZPVEo8RfmrEz8YAD5n6rW","Juicy Luicy","Lantas","E-Motion Entertainment",3,20,88,"1653540"
20,"spotify:track:2UgCs0i0rNHUH2jKE5NZHE","Andra & The Backbone","Sempurna","GP Records",19,19,233,"1623151"
21,"spotify:track:3OM6qQmdFV6uy61GIqpRtf","Rex Orange County","AMAZING","Rex Orange County",15,18,7,"1592228"
22,"spotify:track:5zsVcDTZEKISPTCLYiTdwb","Hal","L","Typeast Record",8,21,24,"1582879"
23,"spotify:track:4GfK1qOF3uBWidbPlTCQRL","Tulus","Monokrom","TulusCompany",12,46,288,"1512546"
24,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",3,24,27,"1498381"
25,"spotify:track:6shEr6AgLBDlfYlax2UzzL","Mahalini","Melawan Restu","Hits records",9,25,74,"1463092"
26,"spotify:track:3W4U7TEgILGpq0EmquurtH","yuji, putri dahlia","Old Love","yuji",26,32,5,"1447132"
27,"spotify:track:5b0NpyYAwW2dUGL08ir7Bg","Rizky Febian","Hingga Tua Bersama","DR2 MUSIC ENTERTAINMENT",8,22,33,"1431847"
28,"spotify:track:3Ysf0Y3iu23mrDsVh1mdu0","Tiara Andini","Merasa Indah","PT. Universal Music Indonesia",1,29,41,"1395365"
29,"spotify:track:1AoBdDIOp6RFjAbzcPbWi8","Tiara Andini","Janji Setia","PT. Universal Music Indonesia",13,26,28,"1394290"
30,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",5,28,15,"1360439"
31,"spotify:track:1k1e4Amkn7hIFrEthtazqT","Yura Yunita","Tutur Batin","Merakit",16,34,50,"1344764"
32,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",13,31,91,"1334901"
33,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",19,27,10,"1327836"
34,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",3,38,52,"1322635"
35,"spotify:track:2qgjqbi96IAOBzZFC6H57U","Tulus","Diri","TulusCompany",3,35,31,"1306062"
36,"spotify:track:6gNG7O2IlMYUXAcCDwQrPT","Fabio Asher","Bertahan Terluka","Fabio Asher",2,33,32,"1299201"
