rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:50DsGEqRiQr6KdEYi0NuSP","thasup, Lazza, Sfera Ebbasta","s!r! (feat. Lazza & Sfera Ebbasta)","Columbia",1,3,12,"3710773"
2,"spotify:track:6Tj82tvIsDmfMTskuomuEq","Pinguini Tattici Nucleari","Ricordi","Columbia",2,2,2,"3499181"
3,"spotify:track:0GUPqrlZYs3ANVhAifVlgJ","thasup, Tiziano Ferro","r()t()nda (feat. Tiziano Ferro)","Columbia",3,-1,1,"3221476"
4,"spotify:track:78xAYXMtvQkDvlqJA3fKu6","thasup, Rondodasosa","c!ao (feat. Rondodasosa)","Columbia",4,-1,1,"3060057"
5,"spotify:track:2BkoXEOE6vvkOKVNjPax2B","thasup, Shiva","ye@h (feat. Shiva)","Columbia",5,-1,1,"2600910"
6,"spotify:track:1E1nbIsPDO1PdtQwsAKKF3","thasup, Coez","!ly (feat. Coez)","Columbia",6,-1,1,"2572681"
7,"spotify:track:4HnloO8GMqz0IVJPANYXzo","thasup, Mara Sattei","l%p (feat. Mara Sattei)","Columbia",7,-1,1,"2500450"
8,"spotify:track:3W2tsZcoDxmNQaw61Kz1rb","thasup","mi @mi o è f@ke","Columbia",8,-1,1,"2498951"
9,"spotify:track:75vXpgRif6ZFOBemaQUTfu","thasup","okk@pp@","Columbia",5,5,2,"2484218"
10,"spotify:track:3XucsgiwXb8KPn9Csf9Zmu","James Hype, Miggy Dela Rosa, Lazza","Ferrari - Remix","Universal-Island Records Ltd.",1,1,4,"2450632"
11,"spotify:track:3g7ds9lLoBRTQag67wtUK3","thasup, Rkomi","rock & rolla (feat. Rkomi)","Columbia",11,-1,1,"2284061"
12,"spotify:track:1XpmMe95dk9jh3zuOMpeU2","Capo Plaza","Capri Sun","Atlantic/WM Italy",2,4,18,"2086511"
13,"spotify:track:1bQHZHNELY2uBOrOSRMXSr","thasup","mar+e","Columbia",13,-1,1,"2025361"
14,"spotify:track:7nLd1J81Y2o5UhUEFUeCsb","thasup","come t! vorre!","Columbia",14,-1,1,"1891813"
15,"spotify:track:18lJsd5w1ckiC8sebawPJA","thasup, Salmo","cas!no nella m!a testa (feat. Salmo)","Columbia",15,-1,1,"1874706"
16,"spotify:track:53qZFgUIQKnFmdgsSDIYB1","thasup, Tananai","sci@ll@ (feat. Tananai)","Columbia",16,-1,1,"1855375"
17,"spotify:track:7Dh5zvgpoz2kW1sbj20QWI","thasup","_bilico_","Columbia",17,-1,1,"1843855"
18,"spotify:track:3vCa88ij0fqwttqJ7E7pQL","thasup, Pinguini Tattici Nucleari","r!va (feat. Pinguini Tattici Nucleari)","Columbia",18,-1,1,"1763589"
19,"spotify:track:7vsofh7bdDeL0n0lodFiCi","thasup","molecole (interlude)","Columbia",19,-1,1,"1740019"
20,"spotify:track:7iLuBTHJSXM2HalKHFqEEy","Pinguini Tattici Nucleari","Giovani Wannabe","Columbia",3,7,19,"1696271"
21,"spotify:track:1hjmd711q5mJQmp6T0mdol","thasup","w()ah","Columbia",21,-1,1,"1643265"
22,"spotify:track:01DXwNf1GzEJkYTbXgL0eb","Lazza","USCITO DI GALERA","Universal Music Italia srL.",5,6,26,"1643083"
23,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",6,8,14,"1642602"
24,"spotify:track:6K8MYTkn5mZzF6p14hV5cj","Icy Subzero","MUJER","Matteo D'Alessio",10,10,9,"1610294"
