rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2uNrriUaePhbbmsXT8HQJU","INSTASAMKA","POPSTAR","NaMneCash Music",1,1,3,"101548"
2,"spotify:track:0dY8qhMk6KOxw51j36GtlM","Ulukmanapo, Bakr","Расстояние","Infinity Music",1,2,20,"76028"
3,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",3,5,11,"64870"
4,"spotify:track:2DHX9faMGUQQTwD1Ot4ch2","INSTASAMKA","MONEYKEN LOVE","NaMneCash Music",1,3,13,"64213"
5,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",5,6,2,"63331"
6,"spotify:track:33r51tO7fefxJw4dKsY1qa","V $ X V PRiNCE","Мурашки","Студия СОЮЗ",6,9,10,"60724"
7,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",1,4,3,"54746"
8,"spotify:track:6z3RBRZVdV34ZjFKgjmDXA","Bakr","Вредина","Infinity Music",8,15,10,"54419"
9,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",5,8,24,"52098"
10,"spotify:track:4woTEX1wYOTGDqNXuavlRC","Eminem, Dina Rae","Superman","Aftermath",10,16,11,"52097"
11,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",8,11,34,"49956"
12,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,7,7,"49278"
13,"spotify:track:5i3H6himHZaKZT3Dk8lr8Z","Bakr","Сирень","Infinity Music",9,12,23,"48377"
14,"spotify:track:1iBDgZDBkV8LTjFbNDcvOO","Xcho","Про любовь","Glass Cage",3,10,13,"47779"
15,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",6,14,34,"47165"
