rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,2,2,"1554979"
2,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,1,6,"1525053"
3,"spotify:track:0jm8p2ErwB4u3uvxc7vxGy","Jinho 9","Blind Op Zoek (Trapagas)","WM Benelux BV",3,-1,1,"1425847"
4,"spotify:track:3oFKhY9iW9S0iA9OHO9tN6","KATNUF","Van Mij Zijn","Sony Music Entertainment",1,3,8,"1275511"
5,"spotify:track:2LcmbuYX7tyR4DWy3b273L","Goldband","Noodgeval","Goldband",4,4,9,"1192743"
6,"spotify:track:0DDcpc9ImOsGUWupRj2xu5","Kris Kross Amsterdam, Ronnie Flex, Zoë Tauran","Adrenaline","Cloud 9 Digital",6,10,3,"1071665"
7,"spotify:track:3BnDvpeuGOj21Ir2aVEtQo","Rema","Calm Down","Mavin Records / Jonzing World",1,5,30,"1029460"
8,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",6,7,19,"979429"
9,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",4,6,16,"950745"
10,"spotify:track:1bgKMxPQU7JIZEhNsM1vFs","Alesso, Zara Larsson","Words (feat. Zara Larsson)","10:22PM",6,8,19,"870550"
11,"spotify:track:1dbNg2ougivyUv6f9hQQzU","Suzan & Freek","Kwijt","Sony Music Entertainment",11,12,5,"806218"
12,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",12,15,9,"805805"
13,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",13,17,10,"790515"
14,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,14,27,"765563"
15,"spotify:track:40SBS57su9xLiE1WqkXOVr","LF SYSTEM","Afraid To Feel","Warner Records",3,11,16,"760491"
16,"spotify:track:7mtvlvxKkwbHaINqnD3nLn","Yade Lauren, CHO, Kevin, Jordan Wayne","Swim Deep","Yade Lauren",9,9,2,"755967"
17,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",15,18,92,"752049"
18,"spotify:track:6mMVJJkpzL5r9OyqX7VzBk","FLEMMING","Automatisch","8ball Music",6,16,23,"743302"
19,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",19,20,5,"727969"
20,"spotify:track:1ei3hzQmrgealgRKFxIcWn","Benson Boone","In The Stars","Warner Records",8,21,23,"656884"
21,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",1,19,27,"654869"
22,"spotify:track:2WUM8tSJ9gTyi3ZljDscFg","Djaga Djaga, JoeyAK","ABC","OJ Fam Entertainment",22,-1,1,"654276"
23,"spotify:track:4k6yZRw7M04gZE2uW12Cw6","Makar","Mood","Virgin",15,22,8,"641026"
24,"spotify:track:5ECWJFKkqePRH2SSlv8Ltq","La Fuente","I Want You","Virgin",1,13,21,"613500"
25,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",25,33,8,"609872"
26,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",4,23,11,"600177"
27,"spotify:track:5hnGrTBaEsdukpDF6aZg8a","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",27,53,5,"591419"
28,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",24,24,13,"590418"
29,"spotify:track:64hayhfzodjwBrQcZ69SVp","Jaap Reesema, Beste Zangers","Grijs","Cornelis Music",26,26,5,"589571"
30,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",27,27,11,"585281"
31,"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Lewis Capaldi","Forget Me","Vertigo Berlin",29,29,4,"571359"
32,"spotify:track:6Ovwn2ABu4QVYFZhIc3Eo8","FLEMMING, Ronnie Flex","Terug Bij Af ft. Ronnie Flex","8ball Music",25,28,6,"553063"
33,"spotify:track:7vdmxftpUdeBzOf6NXjm83","Zoë Tauran, Frenna","Gebruik Me","Universal Music, a division of Universal International Music BV",1,25,9,"540792"
34,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",34,34,5,"522828"
35,"spotify:track:7MIhUdNJtaOnDmC5nBC1fb","Alok, Ella Eyre, Kenny Dope, Never Dull","Deep Down (feat. Never Dull)","Columbia/B1 Recordings",20,31,12,"498512"
36,"spotify:track:2ExdbieQffMXpY7ygN2YN9","Son Mieux","Multicolor","Universal Music, a division of Universal International Music BV",22,30,16,"498166"
37,"spotify:track:3ElGRG3DqSzzkh1b2wnbzf","Gabry Ponte, LUM!X, Daddy DJ","We Could Be Together (feat. Daddy DJ)","Spinnin' Records",33,37,16,"489544"
38,"spotify:track:3kcKlOkQQEPVwxwljbGJ5p","Topic, A7S","Kernkraft 400 (A Better Day)","Virgin",38,50,4,"480170"
39,"spotify:track:5TJEBoTCDbJXiKMdCN9pd3","Elton John, Britney Spears","Hold Me Closer","EMI",39,41,6,"476325"
40,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",14,36,21,"475441"
41,"spotify:track:3Z7CaxQkqbIs1rewKi6v4W","Tiësto, Charli XCX","Hot In It","Atlantic Records",21,39,14,"467028"
42,"spotify:track:14dDvp4EA4E3QLruknbMin","Antoon","Olivia","Dreamteam",1,47,18,"448841"
43,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",43,54,8,"443719"
44,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",44,92,5,"424145"
45,"spotify:track:5DhLsu431rudt8PENvUDao","Fmg","Boot","FAMILYMUSICGENERATION",4,40,22,"423591"
46,"spotify:track:0gq4UgDPGFdqpsWshU7dmv","Kris Kross Amsterdam, Donnie, Tino Martin","Vanavond (Uit M'n Bol)","Universal Music, a division of Universal International Music BV",2,35,28,"419517"
47,"spotify:track:1RF02Cf80mTaeNXG2P2boR","Nathan Dawe, Ella Henderson","21 Reasons (feat. Ella Henderson)","Atlantic Records UK",31,44,18,"419431"
48,"spotify:track:1tf1A7fBIk05bEXotkbZJs","Kleine John, JMANI, Jhorrmountain","BALANCE","WONDER",29,43,7,"411202"
49,"spotify:track:4ckhmqXl4Zpbhl7T6NgVPI","Boef, Numidia, Cristian D, Diquenza","Flexxen","BOEFMUSIC",9,45,10,"403672"
50,"spotify:track:5qHgkualSydbFiJHwKnD1Z","Kinderen voor Kinderen","Gi-ga-groen","Vara",50,154,2,"378270"
51,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",51,61,64,"363450"
52,"spotify:track:1kzbetwn68lwGzlV9Iifbe","Idaly, Adje","Destiny","Top Notch Music BV",52,-1,1,"339924"
53,"spotify:track:0mQJSaRQzKClGZXyORNy6U","MEAU","Blijven Rijden","Excited About Music",53,60,4,"338580"
54,"spotify:track:7j2TJXhcE1aAzB6Evmgvm0","DI-RECT","Through The Looking Glass","DI-RECT Music Productions under Exclusive license to 8Ball Music BV",39,57,19,"328295"
55,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",6,56,20,"323372"
56,"spotify:track:0h09eYhmViqa1Uxkil7yza","Idaly, Emms","Amazin'","Top Notch Music BV",3,46,21,"322495"
57,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",5,58,87,"321474"
58,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",6,55,31,"318761"
59,"spotify:track:3YD8JSsQWSyRr3OhIrUR6y","Alessio, Avenue","1 Blik","Alessio",32,32,2,"314502"
