rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:47sq83n5WN22ZzYnGn8aTy","Adie, Janine Berdin","Mahika","O/C Records",1,2,18,"2603626"
2,"spotify:track:2e7iqtA42EPXTtiiAlblC1","Moira Dela Torre","Babalik Sa'yo - from 2 Good 2 Be True","ABS-CBN Music",2,3,7,"2292830"
3,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",1,1,3,"2092574"
4,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,4,7,"1862918"
5,"spotify:track:1gH1h30wkQdd9zhY3j7a8T","Rex Orange County","THE SHADE","Rex Orange County",3,5,14,"1700652"
6,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",1,6,15,"1649305"
7,"spotify:track:1oYQtNQUxSODedcc5hPmp9","Ace Banzuelo","Muli","Sony Music Entertainment",2,7,21,"1619979"
8,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",8,10,10,"1606658"
9,"spotify:track:4tyEfRWLgYkWQaowoHXoba","Moira Dela Torre","Kumpas - Theme of “2 Good 2 Be True”","Star Music",8,9,18,"1592667"
10,"spotify:track:16iRlyUMJVPqz62DlomMre","NOBITA","Ikaw Lang","IndieTV",2,18,71,"1587172"
11,"spotify:track:2m6Ko3CY1qXNNja8AlugNc","Troye Sivan","Angel Baby","EMI Recorded Music Australia Pty Ltd",1,8,56,"1547779"
12,"spotify:track:2BDrpeAnTxCurLt38yDSrE","Lo ki","Kagome","DRP Records",6,14,30,"1527672"
13,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",7,11,22,"1459973"
14,"spotify:track:0HAG6nIiEKd75yGpovuSJQ","Arthur Nery","Isa lang","Viva Records",2,12,42,"1399093"
15,"spotify:track:2jbf9EytR7fzpSrPWAYCf9","Adie","Paraluman","O/C Records",3,13,74,"1378229"
16,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",1,15,17,"1302260"
17,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",17,21,2,"1300400"
18,"spotify:track:4mc3rUoMwwiNTHA4al9nNd","Lola Amour","Fallen","Warner Music Philippines",18,20,14,"1277501"
19,"spotify:track:0WZqHCoOBXqgCCIsUZLC2a","Arthur Nery","Pagsamo","Viva Records",1,17,53,"1270364"
20,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",13,16,8,"1186475"
21,"spotify:track:5CUQnKjA6nlteCnxMKsjIu","Adie","Tahanan","O/C Records",6,22,44,"1142699"
22,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",4,23,27,"1102747"
23,"spotify:track:3OM6qQmdFV6uy61GIqpRtf","Rex Orange County","AMAZING","Rex Orange County",23,25,8,"1035846"
24,"spotify:track:2oupN96VwNrbONyMtTWGjH","Nik Makino, Flow G","MOON","Kino Sound",14,27,18,"1027711"
25,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",19,26,9,"1016385"
26,"spotify:track:08MFgEQeVLF37EyZ7jcwLc","Zack Tabudlo","Pano","Universal Music Philippines Inc.",1,29,43,"994335"
27,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",24,24,6,"986175"
28,"spotify:track:7ArVzlFsFsQXNseVXmdOyk","Denise Julia","NVMD","Denise Julia",14,32,24,"979850"
29,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",20,30,58,"976534"
30,"spotify:track:3W4U7TEgILGpq0EmquurtH","yuji, putri dahlia","Old Love","yuji",30,39,5,"926701"
31,"spotify:track:6YjKd9oPXKqjLUVPo4Y0oi","Ben&Ben","The Ones We Once Loved","Sony Music Entertainment",10,31,6,"917147"
32,"spotify:track:0L8LOav65XwLjCLS11gNPD","BLACKPINK","Typa Girl","YG Entertainment/Interscope Records",4,19,3,"903787"
33,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",23,37,25,"890353"
34,"spotify:track:5d9Rka4T0szdC1MobhtXrV","Ben&Ben","Paninindigan Kita","Sony Music Entertainment",25,38,23,"878431"
35,"spotify:track:68HocO7fx9z0MgDU0ZPHro","NIKI","Every Summertime","MARVEL/Hollywood Records, Inc./Interscope Records",2,47,42,"863116"
36,"spotify:track:63bmIgH9sS6sX5Sc7MetGq","Zack Tabudlo","Habang Buhay","Universal Music Philippines Inc.",2,41,54,"862336"
37,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",6,35,55,"860147"
38,"spotify:track:0kqTXMHiQiB7IECD0WwcPq","TWICE","Talk that Talk","Republic Records - TWICE",14,33,6,"854120"
39,"spotify:track:4IeuTj1pEHuL9vJSiEqEfR","mrld","Ligaya","O/C Records",18,46,44,"851218"
40,"spotify:track:5NvOZCjZaGGGL597exlQWv","Ricky Montgomery","Line Without a Hook","Warner Records",10,44,57,"850168"
41,"spotify:track:7gfrASeOt73YWvpIv1fU8E","Arthur Nery","Higa","O/C Records",10,48,122,"826049"
42,"spotify:track:5MYPzdIWgx3pMLRGlq2fVq","Zack Tabudlo","Asan Ka Na Ba","Universal Music Philippines Inc.",6,45,28,"795759"
43,"spotify:track:27kaeLB6wRVvsaORS8O96F","Al James, Muric","Mood","Al James",42,42,4,"795401"
44,"spotify:track:011GTFfE8rqTRMhz5g8IAW","Al James, Rjay Ty, Lexus","Repeat","Al James",39,40,36,"782613"
45,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",33,50,10,"780666"
46,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",18,49,7,"765481"
47,"spotify:track:4iRRAvxPPWXQp3mV1rAbPF","NOBITA","Unang Sayaw","Sony Music Entertainment",12,52,51,"762297"
48,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",1,61,67,"698132"
49,"spotify:track:0bYVPJvXr8ACmw313cVvhB","BLACKPINK","Tally","YG Entertainment/Interscope Records",5,28,3,"696054"
50,"spotify:track:1Fid2jjqsHViMX6xNH70hE","Seafret","Atlantis","Sweet Jane Recordings",26,51,15,"694546"
51,"spotify:track:769Ld8demNhMgVLAQcjTDn","anees","sun and moon","Anees LLC",1,55,26,"671002"
52,"spotify:track:3PgjBOoA5OytNGkglObpOd","Ben&Ben","Sa Susunod na Habang Buhay","Sony Music Entertainment",2,58,136,"668265"
53,"spotify:track:7C9Knp9FzLY6RwgktmW9Ge","Because, Leslie","BMW","Viva Records",4,54,55,"663218"
54,"spotify:track:3Eb5sztvEMa0Mqnb8DUAlU","IV Of Spades","Come Inside Of My Heart","Warner Music Philippines",53,60,80,"663046"
55,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",9,67,47,"662746"
56,"spotify:track:3hUxzQpSfdDqwM3ZTFQY0K","Taylor Swift","august","Taylor Swift",6,56,26,"658299"
