rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4nv5o5Xo4ySBaIVnXr75Xs","Malik Montana, Żabson","Do Tanca","Epic/Malik Montana",1,3,3,"1344475"
2,"spotify:track:1t33hewgrIxkdnzOgscAN8","Miszel, Kabe","Sheraton","QueQuality",1,1,4,"1337460"
3,"spotify:track:4lPAZiTJbaQ4irMzcq0GOU","Mata","JESTEM POJ384NY","SBM Label",1,2,9,"1312387"
4,"spotify:track:3f9Ugg030LDe0p6ospTORC","Gibbs, Kiełas, Dopehouse","Piękny Świat","Universal Music Polska Sp. z o.o.",1,7,20,"1177081"
5,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",4,4,2,"1176981"
6,"spotify:track:23GIMk2WNqdSxe93u3eOmm","2115, Bedoes, BLACHA, White 2115, Kuqe 2115","KETCHUP","2115",2,6,4,"1137551"
7,"spotify:track:5NbxvSCL1xLqqWLqG6LjwE","Chivas","koleżanko mojej byłej","GUGU",5,5,2,"873621"
8,"spotify:track:1J3rvvPqfplUP3w1y9y8In","Chivas","kupić jej gaz czy torebkę?","GUGU",3,8,3,"834765"
9,"spotify:track:6wkV4uyxWrfNim5QmLmQnp","Young Igi","Małe Krople","Universal Music Polska Sp. z o.o.",2,9,5,"787509"
10,"spotify:track:2qqiGxy47FbviXuPW7crUH","Chivas","anyżowe żelki","GUGU",7,12,13,"755102"
11,"spotify:track:5YvL3ytkusKcM5ozxD9fKN","White 2115","RiRi","SBM Label",1,11,17,"738399"
12,"spotify:track:1SDoIIjDCFjJuglM7qbIqf","Oki, Nolyrics Beats","Jakie To Uczucie?","2020",2,10,21,"729915"
13,"spotify:track:3YqafSKCCazkxZUdO23iWf","sanah, Daria Zawiałow","Eldorado","Magic Records",5,13,26,"687786"
14,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",14,17,6,"664414"
15,"spotify:track:5GqUS2hyZj73WXpIamn5gA","Oki, @atutowy","Doja Cat","2020",6,15,17,"652009"
16,"spotify:track:2KTfSSKBBfMLXwDqrtoOE5","sanah, Dawid Podsiadło","ostatnia nadzieja","Magic Records",2,14,25,"649520"
17,"spotify:track:30eyshp22VdtdZElqlyglF","Young Igi, Oki","Pleasure","Universal Music Polska Sp. z o.o.",17,57,2,"638630"
18,"spotify:track:2yEWVnp65tTXSrRW03IqXs","WŁODAR, Pedro","SIĘ WJEŻDŻA","SPÓŁKA ZOO",18,32,8,"633943"
19,"spotify:track:1A9coun3RG2nHmxAnajLYG","2115, BLACHA, White 2115, flexxy2115, Kuqe 2115","TURYSTA","2115",3,20,9,"590219"
20,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",13,19,16,"584573"
21,"spotify:track:5FYjUbPN2SDxLVBWGxkb9z","Żabson, Waima, Pedro, francis","Nie Mam Czasu Na Wakacje","INTERNAZIOMALE",5,18,14,"570389"
22,"spotify:track:1BYZxKSf0aTxp8ZFoeyM3d","girl in red","we fell in love in october","world in red",22,91,12,"561668"
23,"spotify:track:15TrHBCTobTCJ4ojq9mABc","Miszel, Kabe, Premixm","dres","QueQuality",6,25,27,"554286"
24,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",24,28,116,"551788"
25,"spotify:track:032CWjRKDdkVHAsrdgOj1w","Smolasty, 730 Huncho, Nearr","Pijemy Za Lepszy Czas","WM Poland/WMI",2,21,19,"535950"
26,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",11,22,16,"524762"
27,"spotify:track:7oeG4bdfaKomPKfva5AgXc","Pezet, Gibbs, Auer, Piotrek Lewandowski","Miłość na sprzedaż","2022 Pezet",27,-1,1,"514979"
28,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,29,27,"514805"
