rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5BGdBH8MsaHCgfr4TMpRin","Bárbara Bandeira, Ivandro","Como Tu (feat. Ivandro)","WM Spain",1,1,4,"344271"
2,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,2,2,"297930"
3,"spotify:track:7BELSQR2lAJLELaKvVkct3","Ivandro","Lua","Mentalidade Free Music, Unipessoal, Lda",3,4,33,"262591"
4,"spotify:track:5vC8UAOHeG95ehRzZChniB","L7NNON, DJ Biel do Furduncinho, Bianca","Ai Preto","Papatunes",1,3,16,"254421"
5,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,6,27,"216693"
6,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",4,5,10,"211822"
7,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",7,7,11,"210340"
8,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",8,10,15,"207375"
9,"spotify:track:7qoIhutxU269Zqo9PG5IOj","Pineapple StormTv, Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã, N.I.N.A","Poesia Acústica 13","Pineapple Storm",8,8,3,"200752"
10,"spotify:track:1OZ4uv7OAP24Ix6j3vojLt","Mc Paiva ZS, MC Ryan SP, Kotim","Casei Com a Putaria","Love Funk",10,16,10,"187157"
11,"spotify:track:0dLkZwE2Xt4ETtUt5cED2l","Juliette","Diferença Mara","Virgin Music Label And Artist Services (S&D)",11,-1,1,"183379"
12,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",4,9,17,"178275"
13,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",13,14,6,"175996"
14,"spotify:track:0dAZ5dCofHy6rquqU6YG29","Matias Damásio","Como Antes","Arca Velha Entretenimento, Lda.",11,11,19,"172549"
15,"spotify:track:5bBQI31u2eqXJE5OyP4hxq","Mizzy Miles, Deejay Telio, Teto, Gson","EUROPA (feat. Gson)","Make More Music",10,15,18,"171595"
16,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",16,19,17,"166053"
17,"spotify:track:0i4UV3HjjvsUuV3BajEXoD","MC Tairon, Mc Vitin Da Igrejinha, Dj Win","Baile no Morro","Life Song Records",2,17,16,"165564"
18,"spotify:track:7AwVSKaQxpidrtYBerkHKk","Ana Castela, Melody, Dj Chris No Beat","Pipoco","Ana Castela",6,12,18,"164814"
19,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",19,22,12,"163540"
20,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",20,20,63,"160752"
21,"spotify:track:3q3EBdrTrlF4PmJQTZ17ie","Calema, Zé Felipe","Onde Anda","Klasszik",5,13,27,"155507"
22,"spotify:track:0jAAnWNbcHf6X1EXOtvOT7","MC Kevin o Chris","Incendeia","MC Kevin o Chris",8,21,13,"151817"
23,"spotify:track:5zNxUkUW9WiV5oyg6gh2wB","PEDRO SAMPAIO, Mc Pedrinho","DANÇARINA","WM Brazil",1,18,34,"150133"
24,"spotify:track:7qD2vjd3btuOgwpQPEY7ci","Mc Don Juan, MC G15, Mc Davi","EU VOU COM CARINHO ELA QUER COM FORÇA","WM Brazil",4,23,21,"149278"
25,"spotify:track:5fjD0vHh9XRL6b657FWe9C","Plutonio","Por Enquanto","Bridgetown Records",20,24,14,"148261"
26,"spotify:track:0oKpBxCq4U5IvUZqMuVMM3","Bárbara Tinoco","chamada não atendida","Bárbara Tinoco",26,47,2,"144763"
27,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",11,25,11,"144600"
28,"spotify:track:4x5q5T5mhE1xvoCVXY6qrN","DJ AK BR, Dj Darge","Melodia Alucinógena","DJ AK BR",17,27,10,"140572"
29,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",29,31,5,"140355"
30,"spotify:track:5PSkF3QpVMlAx8U5Inxj39","Mc Jacaré, Dj Tk","Vento Forte","A Chave",13,28,11,"136724"
31,"spotify:track:4PQdrXMDHDPl1RczrrlADd","Luan Santana","MORENA","Sony Music Entertainment",2,26,67,"136647"
32,"spotify:track:4aoZBldNDVYmTwmeoI49ud","Mc Gabzin, DJ TAK VADIÃO, dj sv","O Poder Dessa Garota","Doug Filmes",11,30,24,"132440"
33,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",29,29,12,"128926"
34,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",34,39,10,"123925"
35,"spotify:track:6hFwju6M40CKovKBPu5IpY","Jovem Dionisio","ACORDA PEDRINHO","Jovem Dionisio",1,34,21,"121301"
36,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",32,32,2,"118913"
37,"spotify:track:6bTdZ7xfKp3NqqADJ8HLyj","Matuê, WIU, Teto","Vampiro","Sony Music Entertainment",6,35,27,"117493"
38,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",7,33,31,"116518"
39,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",19,36,40,"111194"
40,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",33,37,12,"109723"
41,"spotify:track:0NBgyml7T0IvUNbXIkcSpH","Xamã, Gustah, Neo Beats, Bagua Records","Malvadão 3","Bagua Records",1,45,42,"105976"
42,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",5,38,88,"105915"
43,"spotify:track:3gK5ckT0cq3t5enyqzzRgV","PEDRO SAMPAIO","GALOPA","WM Brazil",2,40,52,"105843"
44,"spotify:track:3imzmQM2DPPVBLMiBBexRL","Kweller, Enzo Cello","202","Kweller",24,48,8,"103670"
45,"spotify:track:57rx7d5tagl2wOWzj3eWJc","Ivandro","Moça","Mentalidade Free Music, Unipessoal, Lda",12,50,67,"103378"
46,"spotify:track:7a8GawTVgHZvBLQOh46he7","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",46,56,22,"102878"
47,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",31,53,107,"102552"
48,"spotify:track:30WnHkBkq3vE8jJcNZ3RKr","Wet Bed Gang","Praça Onze","Wet Bed Gang",40,51,14,"102285"
49,"spotify:track:2Z8pPatBfVlRqNlsnmMdhV","Richie Campbell","Let You Go","Bridgetown Records",32,41,25,"99613"
50,"spotify:track:4NJKCE1TBC653P3dCnto0u","Mc Gabzin","Simplesmente Ela","Doug Filmes",3,43,29,"99349"
51,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",51,73,5,"99248"
52,"spotify:track:4a0sqvCBo7aRIS4GzBQpnp","MC Braz, MC Tairon, Dj Win","Kikando e Me Olhando","Fun Mídia",6,44,26,"94215"
