rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,1,2,"129338"
2,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,2,6,"89630"
3,"spotify:track:2sXnat46y10FtAbW2A0ira","Calin","Hannah Montana","WM Czech Republic",1,3,30,"88614"
4,"spotify:track:4ToxkJ4VvWs026R3QfHDI3","Calin","Santé","WM Czech Republic",4,-1,1,"84430"
5,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",5,6,18,"62115"
6,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",2,5,19,"61852"
7,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",4,7,30,"58966"
8,"spotify:track:5TnbMs8fTDVrqRGrCv3Y10","Yzomandias, NobodyListen, Luca Brassi10x, Saul, Blako, Nik Tendo","NFS","Universal Music s.r.o.",3,4,5,"58276"
9,"spotify:track:163UXyyrFlAIQapVN3DqIp","Calin","Praha/Vídeň","WM Czech Republic",3,10,55,"54616"
10,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",10,11,90,"52200"
11,"spotify:track:6IUE3plp8y2kr3oeqEtAdN","Alan Murin","Prepáč","Trueself Records",5,8,8,"49941"
12,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",7,9,11,"49866"
13,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,12,27,"48177"
14,"spotify:track:1sk1HMcretzLiljqIBAZ8J","Gleb","KOMANDER PUMP IT UP","Universal Music s.r.o.",2,13,16,"43974"
15,"spotify:track:2YxGxCDLDmSCOOrrfX3nDN","Separ","Flow Kmeť","DMS Records",1,14,11,"41682"
16,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",16,17,106,"39742"
17,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",15,15,2,"39283"
18,"spotify:track:2wPph50bF6qHnXgruVKHm8","P T K, Yzomandias","Baby a Benzo","CE Records",3,16,20,"38320"
19,"spotify:track:3rxHQ7HeJCpiei1d6ANDPW","Viktor Sheen, Calin, Hasan, Nik Tendo","Až na měsíc","WM Czech Republic",4,19,177,"37644"
20,"spotify:track:705U2GkmMiEPrqRWMPmabr","Calin, Viktor Sheen","Sangria","WM Czech Republic",7,21,30,"37359"
21,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",20,20,12,"35816"
22,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,18,90,"35536"
23,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",23,23,10,"34533"
24,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",24,71,66,"34216"
25,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",25,28,16,"34173"
26,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",12,24,11,"34062"
27,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",21,25,19,"33739"
28,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",17,22,13,"32592"
29,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",2,27,61,"32468"
30,"spotify:track:0J3SIAOndpL1MS2Vq2RMQ9","Viktor Sheen","Stíny","WM Czech Republic",4,30,46,"31419"
31,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",4,32,48,"29999"
32,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Negative Gain Productions",32,39,36,"29418"
33,"spotify:track:7sqpK9TpNVIWSn01Nm2AUu","Kali, Peter Pann, Pišta Lakatoš","Hop Čip","Kali Records",11,37,17,"29270"
34,"spotify:track:0fThlG4YBkCsRVSJkGpWAX","Koky, Viktor Sheen, Robin Zoot","SOS","Universal Music s.r.o. Distributed Labels",23,31,18,"29004"
35,"spotify:track:3CIyK1V4JEJkg02E4EJnDl","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",2,33,49,"28997"
36,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",22,34,8,"27429"
37,"spotify:track:1TLdCwhyeVjSXjn5OSvML8","Calin","Hannah Montana VIP","WM Czech Republic",6,48,25,"27077"
38,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",7,40,45,"27000"
39,"spotify:track:1QJr9gqb6wqumAkLBHcJCq","Nik Tendo, Hasan, Calin","POD DRN","Universal Music s.r.o. Distributed Labels",11,44,10,"26537"
40,"spotify:track:7qm6kPfCjzvPDMdLTVCisc","Sima, Ben Cristovao","V Oblakoch","Gajlo Records",3,41,11,"25975"
41,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",2,36,19,"25949"
42,"spotify:track:1VAWL9pNSsdyTLHYvmPhcm","Porsche Boy, Zayo, Taomi","b a b y . r e l a x","Universal Music s.r.o.",12,49,23,"25838"
43,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",11,43,17,"25317"
44,"spotify:track:5mC6tVYVscr1YR4zD6p94h","Ektor","To neni hra","Universal Music s.r.o.",8,38,4,"25186"
45,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",42,45,5,"24969"
46,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",46,50,12,"24921"
47,"spotify:track:3DnT4qyb7YSW4y1ValyUo4","Viktor Sheen, Manene","Stíny (MANENE Remix)","WM Czech Republic",47,-1,1,"24906"
48,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",47,47,8,"24492"
49,"spotify:track:1i6Q39TzaIp6EkJL9k51qd","Gleb, Separ","Hey G!","Universal Music s.r.o.",2,35,54,"24309"
50,"spotify:track:6LhuehVA6IXU92z4q01lDU","Peter Pann, Kali, Separ","Stroj","Peter Pann Production",1,55,65,"24163"
51,"spotify:track:3AExPJ7KcjzpJWY2k8UAZO","Viktor Sheen","Sérum","WM Czech Republic",10,56,46,"23693"
52,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",52,60,4,"23588"
53,"spotify:track:3cmi2jWihhNRk7W6QhuHAZ","Strapo, Separ","3:59","White Trash",26,26,3,"23513"
54,"spotify:track:6FbRFo9fweIUtLvglbEF0i","Separ, Yzomandias","Zasvoe","DMS Records",1,46,33,"23506"
55,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",11,51,31,"23051"
56,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,54,65,"23023"
57,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",14,61,19,"22845"
58,"spotify:track:7a8GawTVgHZvBLQOh46he7","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",58,75,10,"22758"
59,"spotify:track:2zCkru42FlOYnguzb9Z4aT","Nerieš, Separ","Viac","Nerieš",1,52,136,"22656"
60,"spotify:track:1c8zjkNnLKqLfqOUwNZHrn","Rytmus","Za mojej éry","Rytmus",19,29,3,"22648"
61,"spotify:track:7sA2SKTo1QbTSSYn5YvJC4","Imagine Dragons","Sharks","Kid Ina Korner / Interscope",22,59,15,"22372"
62,"spotify:track:32X1PwQVeATkp4soNcu5BW","Nerieš","Ruka Na Volante","Nerieš",2,89,136,"22313"
63,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",9,58,60,"21780"
64,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",64,121,2,"21770"
65,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",17,42,3,"21471"
66,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",47,62,26,"21465"
67,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",47,80,75,"21323"
68,"spotify:track:2kx5sQgmjYug0GiDh1a4sU","Cheriimoya, Sierra Kidd","Living Life, In The Night","Arista Records",34,69,33,"21278"
69,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",6,63,60,"21129"
70,"spotify:track:6OVlADVquXLhHH7x79AjR1","Saul","Niekde V Oblakoch","Universal Music s.r.o. Distributed Labels",1,66,119,"20981"
71,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",24,76,39,"20965"
