rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,1,7,"363925"
2,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,3,2,"217614"
3,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",1,2,21,"192426"
4,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",2,4,29,"189841"
5,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",5,7,6,"168385"
6,"spotify:track:3PdO57q0KLWkfWXsXQJlV6","Mas Musiq, Aymos, Young Stunna","Sengizwile (feat. Aymos & Young Stunna)","New Money Gang Records",3,6,22,"148760"
7,"spotify:track:6PqdJb18ssWDcROvnsEqy6","AKA, Nasty C","Lemons (Lemonade)","Sound African Recordings",2,5,3,"138511"
8,"spotify:track:5uWDenxq03AYLOq83WzLNo","Kabza De Small, Young Stunna, Nobuhle, Ze2","Xola (feat. Nobuhle, Ze2 & Young Stunna)","Piano Hub",7,10,16,"118343"
9,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",8,8,6,"114673"
10,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",9,11,10,"114646"
11,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",1,9,23,"109735"
12,"spotify:track:1LsGuqHDEnix95E4ESd8gt","MacG, Sir Trill, Bailey, EmjayKeyz","Nkantin","M2N Services",12,50,2,"105840"
13,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",12,12,13,"104910"
14,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",7,14,11,"103902"
15,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",11,13,17,"101605"
16,"spotify:track:2nwXM9eHzj8eQBsuK9osbL","Luxury SA","Crazy Vibez","Luxury SA Entertainment",14,16,6,"98749"
17,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,19,27,"97145"
18,"spotify:track:67SKXlAbYNG5nAtadBfPm0","Wanitwa Mos, Master KG, Lowsheen, Nkosazana Daughter","Sofa Silahlane","Wanitwa Mos Entertainment",1,20,21,"89265"
19,"spotify:track:1ULFJZX54HXXjSTMx63dk0","Kabza De Small, Msaki","Khusela (feat. Msaki)","Piano Hub",5,18,19,"87986"
20,"spotify:track:75VD2d6BPTuESBrzRqD6xl","Senior Oat, Kemy Chienda","All In You","The Oat Records",3,15,26,"85901"
21,"spotify:track:4qwBmPUVUbyXjwlttBAp8J","Temple Boys Cpt, Young King The Vocalist","Saggies","4374710 Records DK",21,31,2,"82196"
22,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",5,21,92,"81132"
23,"spotify:track:2sOj9vyd6yiss9W1IK6chU","DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend, Fridayy","GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)","Epic/We The Best",2,17,6,"80996"
24,"spotify:track:46ZvwmGP7q63FWnrvurH45","Felo Le Tee, TOSS","Manca","New Money Gang Records",8,27,19,"77297"
25,"spotify:track:7FNsLSsnXwRFD4nA4V2Low","Wanitwa Mos, Sir Trill, Nkosazana Daughter, Master KG","Kuwe","Wanitwa Mos Entertainment",25,26,3,"76890"
26,"spotify:track:6Zt8YY9f4rr7gMJcCPkxbr","Pabi Cooper, Mellow & Sleazy","Waga Bietjie","Cooper Entertainment",26,-1,1,"75604"
27,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",1,22,16,"74443"
28,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",2,23,8,"73324"
29,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",18,30,13,"72991"
30,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",28,28,6,"72400"
31,"spotify:track:62SaDdv956IYAt5nS1nWx7","Njelic, Thabza Tee","Down The Drain","Universal Music (Pty) Ltd.",31,39,9,"71891"
32,"spotify:track:2wmzbXk4vMrxMW0J1q0a08","Classic Man SmF","Amour d'une mère","Independent",32,35,2,"71724"
33,"spotify:track:5hVjoL3sHepZROri63wBxP","Burna Boy","It's Plenty","Spaceship/ Bad Habit/Atlantic Records",32,32,11,"70978"
34,"spotify:track:1EZMFiD30CythJ73EBZfUq","Jay Music, Mellow & Sleazy, DJ SOL K","The Fxckin Injury","1713874 Records DK",33,38,9,"68397"
35,"spotify:track:6zLUuRvJfJDDEqCMWILcs1","Pushkin, Springle, Mankay, ChocoDynasty","Welele","Pushkin and Springle",23,24,6,"68283"
36,"spotify:track:0dHswGoIHgWfHSraVv9mnq","Konke, Musa Keys, Nkulee501, Skroef28, Chley","Kancane","Nazma",12,37,19,"68138"
37,"spotify:track:2lyEzNK1EI3yr5kUhlQitm","Mellow & Sleazy, Chley, Boontle RSA, 2woshort, TNK MusiQ","Wenza Kanjani (feat. 2woshort, TNK MusiQ & BoontleRSA)","Sound African Recordings",10,29,14,"66401"
38,"spotify:track:1zHdh2Muk7jyPYXc8h1zPs","Big Zulu, Mduduzi Ncube, Siya Ntuli, Lwah Ndlunkulu, Xowla","Voicemail","Nkabi Records",11,34,13,"65562"
39,"spotify:track:1B5I5yqLpVI5EosZS6bJFs","Chris Brown, Wizkid","Call Me Every Day (feat. Wizkid)","Chris Brown Entertainment/RCA Records",22,33,16,"65298"
40,"spotify:track:5Lk04mjuDowI8YL7uZvMlD","Gaba Cannal, George Lesley, Russell Zuma","Healer Ntliziyo Yam","Gaba Cannal Music",12,25,24,"65231"
41,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",20,36,11,"64596"
42,"spotify:track:5dVd3tBZQhOctXiq2jwrhD","Samthing Soweto","Amagents","Youbuntu",1,70,15,"60860"
43,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",43,48,22,"59783"
44,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",13,40,59,"59403"
45,"spotify:track:7rmpguwTH3XwEPZMSeL4RH","Lowsheen, Master KG, Nkosazana Daughter","Thula","Wanitwa Mos Entertainment",32,51,7,"59242"
46,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",14,45,20,"58044"
47,"spotify:track:3xWGA8pa0IKFI7IMPri4P0","Ed Sheeran","Shivers","Atlantic Records UK",11,43,56,"57703"
48,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",35,44,21,"57224"
