rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,1,6,"1015980"
2,"spotify:track:3xPsqMJQNM14OrawTBiK4G","Victor Leksell, Einár","Din låt","Sony Music Local",1,2,11,"928549"
3,"spotify:track:1fIeKG6eI8FZzVL9mhlz8t","Bolaget","Kan Inte Gå","Valley Music Dalapop",1,4,40,"844026"
4,"spotify:track:05tLudzJAr4iHnDiWWdA59","Thrife","SEVILLA","Good Kid Records & VENTURA Records",1,3,8,"820031"
5,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",5,7,2,"811975"
6,"spotify:track:2ZfaBbRMcEgSF8JnJIaEBP","Hooja","Banan Melon Kiwi & Citron","Roxy Recordings",5,6,17,"762669"
7,"spotify:track:1puxV64QJkmRUhhXt4T9rD","Hooja","MER & MER","Roxy Recordings",3,5,4,"743242"
8,"spotify:track:7aRCAByC8ktZVKhVhDS4la","Alawee","Aktiverad","WM Sweden",8,8,4,"681494"
9,"spotify:track:74xfr2lyWfi2qZjWtqovBg","Rasmus Gozzi, FRÖKEN SNUSK","RID MIG SOM EN DALAHÄST","Gozzi Records",9,12,6,"669069"
10,"spotify:track:1fzi4hh7nlMpKbT2EZl3a0","A36","Tappat - Spotify Singles","WM Sweden",10,-1,1,"665359"
11,"spotify:track:6WLFyN5UYRWIadKHq3LLRV","ADAAM, Philippe, takenoelz","SÖDERMALM","Universal Music AB",6,9,6,"637055"
12,"spotify:track:5DRJr5a0J0aEIejegQvd7F","Dizzy, Manny Flaco","ZUTTLUKTEN","TopGuyz",3,11,9,"619844"
13,"spotify:track:2D3O7NUUdTrMu30ZtGa2s6","LOAM","F*CKED UP!","Dream Music Group",10,10,2,"565813"
14,"spotify:track:03XktnlHaenNj1tJP8zQFs","Ant Wan","Loyal","Ant Wan",2,13,5,"544566"
15,"spotify:track:3HQ2hJIvStlHS8SRWFGdId","Denz, Youzie","Chit Chat","Sony Music Local",15,-1,1,"543024"
16,"spotify:track:1VJRxqJhpEIpnHon7ssp1p","Babblarna","Babblarnas vaggvisa","Universal Music AB Distributed Labels",5,15,197,"533029"
17,"spotify:track:1RwQZNgaXl01krZHuSUlE8","Elov & Beny, Sofie Svensson & Dom Där","BUBBEL PÅ BALKONGEN","REP9",2,14,15,"515562"
18,"spotify:track:5fvrpWPEDhM6IDyKb56ySV","Hooja","LIVET PÅ EN PINNE","Roxy Recordings",8,16,16,"474712"
19,"spotify:track:5PzratDTUf07VyMKrGGxz3","El Papi","Hjerteløs","Universal Music AS Distributed Labels",19,19,3,"470316"
20,"spotify:track:5hnGrTBaEsdukpDF6aZg8a","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",20,23,5,"466729"
21,"spotify:track:2acI4LUjCjPuFk0Y05yVNZ","Owen, Asme","DIRTY","Owen",5,18,9,"441481"
22,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",22,22,70,"433655"
23,"spotify:track:3Tp6XRivI85TAfpgja9ILh","Miss Li","X","Pistol Packin' Music",2,17,29,"420157"
24,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,25,27,"409000"
25,"spotify:track:6ts0bxk9N8qiVA7UhhFOJY","Laleh, Darin","Vi Är På Riktigt","Universal Music AB Distributed Labels",25,-1,1,"388931"
26,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",11,24,15,"388874"
27,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",27,28,14,"381918"
28,"spotify:track:6lW1r61qewMDG7oJGVP1EZ","23, VC Barre","Catfish","Virgin Music UK LAS (S&D)",17,20,7,"381496"
29,"spotify:track:7xTDT7gyIrv0xWpwwXExxU","Ed Sheeran","Celestial","Atlantic Records UK",29,-1,1,"377339"
30,"spotify:track:5maA851Fle6XexgJgJzFjF","Humlan Djojj, Josefine Götestam","Djurens vaggvisa","Filtr Kids",30,30,54,"365820"
31,"spotify:track:0QfxhyX9dky9Zgfr2xhNzR","Hooja","Donkey Kong","Ninetone",20,27,17,"357867"
32,"spotify:track:2NnO7FJonRjGvAjm3LwKvl","LOAM, ADAAM","FAKKA UR","Universal Music AB",1,21,28,"338889"
33,"spotify:track:6mDcLPGVCmdhMN4gBzNb7s","1.Cuz, Greekazo, Yei Gonzalez","FÖRSENT","1.Cuz",2,37,134,"336871"
34,"spotify:track:2TLVUAQzq9FnzSxFYGOF7Y","Henric Edström","Hot Girls (dricker hotshots)","WM Sweden",34,39,2,"332466"
35,"spotify:track:1bgKMxPQU7JIZEhNsM1vFs","Alesso, Zara Larsson","Words (feat. Zara Larsson)","10:22PM",5,31,24,"329723"
36,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",36,40,10,"309125"
37,"spotify:track:38T0tPVZHcPZyhtOcCP7pF","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","Columbia",29,29,2,"308119"
38,"spotify:track:6G1Mz5yMgn0ydOlIvTrZ65","TALK","Run Away to Mars","Range Music/Capitol Records",26,34,7,"306881"
