rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5ATwkalJ9FnLp7Zcvxo1rl","Dedublüman, Mavzer Tabancas","Belki","AVRUPA MÜZİK YAPIM",1,1,3,"5555459"
2,"spotify:track:5flH7FY4ledAQboO5a0XQ5","UZI, Mavi","SENIN UGRUNA","Ava Music / Avrupa Müzik",2,2,4,"4503159"
3,"spotify:track:7toL7Re9rApzIuIFDaLQSe","KÖFN","Bi' Tek Ben Anlarım","Hypers",1,3,29,"3369229"
4,"spotify:track:5nH1QRipfAJ8Pd9rFu3xHh","Dedublüman","Belki - Akustik","AVRUPA MÜZİK YAPIM",4,5,3,"3127959"
5,"spotify:track:2SwQShWjZsxoGviEyaEMOX","Ezhel","Nerdesin","StageArt Europe",1,4,11,"2502365"
6,"spotify:track:2Pe8d9oClBgLkkz2N35AiN","Semicenk","Unutmak Öyle Kolay Mı Sandın","EVA RECORDS",6,7,6,"2396181"
7,"spotify:track:4o4kbDP7DMVFPwAf5D5bj9","Simge","Aşkın Olayım","DOĞAN MÜZİK YAPIM",5,6,48,"2331655"
8,"spotify:track:7E3YAVF3A7Shm7w2p3Np1Z","Şanışer, Ayda","Aşk Şarkısı - Live","Collabel",8,15,5,"2154524"
9,"spotify:track:3CbxLHTkPClIGBzRDf3JGK","UZI","XXL","Ava Music / Avrupa Müzik",1,8,4,"2127328"
10,"spotify:track:18Ies0Fsw2IwDuLoOhDlyy","Zeynep Bastık","Ara","Polydor",2,10,10,"2099245"
11,"spotify:track:65tIJClJx8fHo6YW4wVDhi","Güneş","Suçlarımdan Biri","M.O.B. Entertainment",1,11,28,"2050595"
12,"spotify:track:38QSynLcDBfbETORhSsssH","ATE","Diğer Yarım","ATE",1,13,13,"1848681"
13,"spotify:track:7dFVvPxqk4O32ra3VjfUwU","UZI","UNUTTUM","Ava Music / Avrupa Müzik",4,12,4,"1816656"
14,"spotify:track:4O9hcXs1ohtbw4xnMU8wfo","Can Koç","Gökyüzünü Tutamam","Fono Müzik Üretim",6,14,29,"1805682"
15,"spotify:track:7Hfb93mB78H7HnZobmjtzt","Sefo, Jako","kördüğüm","3TR6AP2",8,18,7,"1765070"
16,"spotify:track:4NeOAItkkLHPOw35eDdGQo","Eftalya Yağcı, Lvbel C5","Sevmiş Gibi","Lais Records",4,16,8,"1704167"
17,"spotify:track:55Tf67DiltMLjOY6A25s3J","ALIZADE, BEGE","Kalbin bana kaldı","New Wave",10,17,10,"1681658"
18,"spotify:track:3fznN0fNZAuTSu8f0vDO7E","Lvbel C5","MOVIE","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",9,9,2,"1635172"
19,"spotify:track:13THdxqHT11aSk3G8nUDzZ","Mavi Gri","Altüst Olmuşum","Mavi Gri",19,25,67,"1503674"
20,"spotify:track:0XNX9BCSWvEwsdBwUTRhMh","Emir Can İğrek","Kor","Hypers",6,20,52,"1499132"
21,"spotify:track:10n66m41IGjA2ZulKPK7Ew","Madrigal","Seni Dert Etmeler","AVRUPA MÜZİK YAPIM",1,28,130,"1438883"
22,"spotify:track:0r6tglSiN3TZTyRMvMCR5B","Madrigal","Dip","Madrigal",11,21,44,"1429999"
23,"spotify:track:1x3Ow6I8AbWQyWHXFm5HzP","ALIZADE","ANORMAL","New Wave",23,23,6,"1386389"
24,"spotify:track:11AkXmBdjwu4upt22GjJrG","Berkay Altunyay","Olmazlara İnat","SONY MUSIC TURKEY",6,26,22,"1363739"
25,"spotify:track:3iz0BamLeB8AngNYpjbC6E","Sefo, Capo","ISABELLE","3TR6AP2",4,19,17,"1363387"
26,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",16,22,77,"1343297"
27,"spotify:track:2FRX5tqHnjJKIAAmgRbsvJ","cakal","Mingoflalar","Perros Blancos",6,31,14,"1328403"
28,"spotify:track:5sIHhx9IOpQ7ggv16wLsWZ","UZI","ARASAN DA","Ava Music / Avrupa Müzik",1,24,29,"1309024"
29,"spotify:track:0szRcHR9IsUO2Xj8uAKPM6","Pinhani","Bilir O Beni","BEĞENİ MÜZİK YAPIM",9,27,32,"1266174"
30,"spotify:track:7jnN5sT8rk6PIvBZRWYdJj","Semicenk","Herkes Gibisin","Eva Records TR",27,32,22,"1252583"
31,"spotify:track:36S6sHnPZ0VBjD4uLbNXM7","Ati242","Inzaghi","SST",17,29,12,"1143815"
32,"spotify:track:5h1Zdr8ghV5RaWjtdfVo8w","MERO, Murda","Konum Gizli (feat. Murda)","Pentagon Records Plus",6,30,21,"1142771"
33,"spotify:track:5UV2oqgMXvlkOvvtK3aT7f","mor ve ötesi","Bir Derdim Var","RAKUN MÜZİK FİLM",29,36,297,"1128350"
34,"spotify:track:0UguFn9xs4WQshHabcxUxH","Semicenk, Funda Arar","Al Sevgilim","Eva Records TR",3,33,26,"1094144"
35,"spotify:track:5UueGx6aALmUslrPdWOB9K","BEGE, Yung Ouzo","2T1BB","BEGE",1,35,15,"1054084"
36,"spotify:track:62nygHWpn3wLwnZmJ8keVs","Velet","Aşk Sadece Anlayana","Müzik Bankası",2,37,21,"1052565"
37,"spotify:track:4qcngMZ8yF98sAnFKlvXPN","Lvbel C5","GELMEZSEN GELME","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",2,39,29,"1048651"
38,"spotify:track:33eHMRTXayncWkfj72BI3U","Sefo","Tutsak","3TR6AP2",2,34,23,"1009390"
39,"spotify:track:3zyGddnNteFhuj1fKMg4sZ","Lil Zey","OnlyFans","Atlantic Records Germany",39,-1,1,"995399"
40,"spotify:track:5kpkEb0M49YM516trGUSWS","Rei 6","Ah Canım Sevgilim - Demo","Rei 6",7,41,63,"986498"
41,"spotify:track:6glvSyTo1y4WLtX0mnDq83","Dedublüman, Çağrı Çelik","Gamzedeyim Deva Bulmam","Dedublüman House",4,75,48,"983601"
42,"spotify:track:7lkqbdBKrsyNNq3xi0LeaY","Güneş","NKBİ","M.O.B. Entertainment",20,45,18,"976565"
43,"spotify:track:2hDRKm3BqOsEHaWIBm4u01","Murda, Hadise","Imdat (feat. Hadise)","Urban",18,44,14,"953375"
44,"spotify:track:47zsnWIPoPSjJhZoKp5h21","UZI, Montiego","PARA","KCO MUSIC",4,42,22,"948183"
45,"spotify:track:5zALCdtPOOz1SX7uHwp6En","Kubilay Karça","Seni Kırmışlar","Wovie",29,50,19,"947539"
46,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",46,63,2,"937424"
47,"spotify:track:2RehF0hYbLDGxLTvjL0Xy6","Gökhan Türkmen","Mahşer","GTR Müzik",11,48,26,"937083"
48,"spotify:track:4PUniKS3Cywu23xjdtoji5","UZI","Outro","M.O.B. Entertainment",48,57,16,"934829"
49,"spotify:track:53QUjrQ8BygCTBXfIs1Beu","İkilem","Bu Saatten Sonra","AVRUPA MÜZİK YAPIM",34,46,43,"932305"
50,"spotify:track:082Z8aWrikvq4JA8qpgcgX","Zeynep Bastık, Kozmos","Savaştım Harbiden","Hypers",25,49,5,"910309"
51,"spotify:track:0HbKbkAMK7Wnps5vpZW4j2","No.1, Melek Mosso","Yarım Kalan Sigara","talentino*",16,43,42,"906272"
52,"spotify:track:0RPEhK1UCgtLb9Nc97lA4R","Murda","RARRii","Urban",11,38,10,"906128"
53,"spotify:track:0SCtkG26IEKCKxJ7UmWZWa","cakal","İmdat","Perros Blancos",1,40,25,"902292"
54,"spotify:track:3ABGx9FyeEdMCjDR5TyfdV","Mavi Gri, Ahmet Hatipoğlu","Ölümle Yaşam Arasında","Mavi Gri",54,64,9,"893905"
55,"spotify:track:1IquNFg2RRH1CLRAHNVgQ9","Kalben","Yara","GARAJ",5,53,33,"845812"
56,"spotify:track:6gxLEbRJlorva6uVRW4gof","UZI","PAPARAZZI","Ava Music / Avrupa Müzik",1,51,46,"837543"
57,"spotify:track:0pIa1YAqWLOP7gFpDKzqlo","Murda","Bela","Urban",57,-1,1,"804491"
58,"spotify:track:0RAhUWTiBlDeSSRMmL35Aq","Burak Bulut, Kurtuluş Kuş, Mustafa Ceceli, İrem Derici","Rastgele","DOĞAN MÜZİK YAPIM",35,62,19,"802676"
59,"spotify:track:23KCKQJ6FqCEW6bCi5J6bT","Derya Uluğ","Hadi Çal","Ozinga",36,61,24,"798719"
60,"spotify:track:26uWcQnnhCXzkjM7OqVFlj","Canbay & Wolker","Leylim Yar","İntikal Musıc",3,47,30,"797836"
61,"spotify:track:11PO9iu6PtpgL1JK4QNUEJ","Yüzyüzeyken Konuşuruz","Dinle Beni Bi'","SONY MUSIC TURKEY",19,56,241,"797472"
62,"spotify:track:7z5rmdisSV8GmWCnrOd1HU","Sena Şener","Porselen Kalbim","Pasaj Stüdyo",13,55,25,"791945"
63,"spotify:track:4eDT9NP6B0OJnd5nKuBseL","Ayaz Erdoğan","Hep Mi Ben","Too Production",18,60,28,"791375"
64,"spotify:track:7yLICJHei1dLC8q0JtAi0K","Reckol","Harmandalı","Perros Blancos",64,-1,1,"788043"
65,"spotify:track:3lSuzS3jEkys1ZXw4tAcRR","Sefo","Affettim","3TR6AP2",1,58,38,"776975"
66,"spotify:track:6wfb4nI2Vih263JqC8WSoW","Anıl Emre Daldal","M.","Avrupa Müzik Yapim",57,59,44,"769651"
67,"spotify:track:4Sng3wnol2Gb2yXgFdr9lj","Dolu Kadehi Ters Tut, Sedef Sebüktekin","Gitme","Dolu Kadehi Ters Tut",13,54,184,"768216"
68,"spotify:track:5EcpTIo0rUWuTShfOUJEqb","Okan & Volkan","Halden Anlamaz","Eva Records TR",14,52,18,"756711"
69,"spotify:track:4FOVdn9oZhxH6AOEhL78BR","Aspova, Hidra","İSTEMEM","Masta JAM Music",69,-1,1,"731629"
70,"spotify:track:5bmRxKsHXgoQvl4MYlUJTr","EDIS","Yalancı","EDS Company",17,68,10,"705452"
71,"spotify:track:3prFQhGuWBWLGHsQstEdkb","Sefo, Revart","yarım kalır","3TR6AP2",6,69,26,"703484"
72,"spotify:track:2FuWptjK1pc0rkVpF5O0CG","GOKO!","EVA & MIA","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",8,80,27,"701295"
73,"spotify:track:0957zCB7svwHxXufWRs6so","Organize","Vicdanım Kayıp","Culture",73,-1,1,"696065"
74,"spotify:track:5mCfj3EpRzSSjm5Y5IMzzz","Sakiler","Canıma Minnet","Ozinga",9,74,24,"691907"
75,"spotify:track:2GG3iusyjfo1la88asOCZK","Halodayı","Matmazel","MGM Müzik",75,121,14,"683557"
76,"spotify:track:63PJ7AVOjL5WcaYmPxiblX","Kahraman Deniz","Son Durağın","1986 Records",31,72,34,"680071"
77,"spotify:track:1j6eyZEaIOPOqKer0hsAyF","UZI, Heijan","NEGATIF","Ava Music / Avrupa Müzik",22,67,4,"675608"
78,"spotify:track:1QtI9v2S1Bm4iwo3w4401A","Lvbel C5","olsun","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",22,70,9,"674222"
79,"spotify:track:5Qf8dlJ2zZTfztx7o7kbDN","Semicenk","Düşer Aklıma","Eva Records TR",8,79,38,"655130"
80,"spotify:track:0zjiGvCYPHDT7OT4HIv5kp","Heijan","Değilim Bi Aşık","TFB Records Türkiye",70,82,6,"644411"
81,"spotify:track:5wZ4RzkwZhjbwRyA7Q29Zr","Tarkan","Yap Bi Güzellik","DOĞAN MÜZİK YAPIM",13,73,11,"644115"
82,"spotify:track:6KybXlftuqmAxRI05yqDfk","Hadise","Küçük Bir Yol","Pasaj",5,77,33,"638635"
83,"spotify:track:4PTjzk0gb6st9Lk5kKBnc6","Yüksek Sadakat","Kafile","DOĞAN MÜZİK YAPIM",19,76,28,"635207"
84,"spotify:track:5uSbSk6rQjOISbWdVNQ0Iw","Zakkum","Seni Rastgele Sevmedim","Zakkum Müzik",84,133,6,"633448"
85,"spotify:track:1zMcj4YDWun0XN0BCzZc4P","Dedublüman","Çözemezsin","AVRUPA MÜZİK YAPIM",82,116,25,"632919"
86,"spotify:track:6Pw6yPo73bB1dOEDRZkGe0","Sufle","Pus","AVRUPA MÜZİK YAPIM",71,71,6,"632180"
87,"spotify:track:244W20HU3JtZzKtgYgFCve","Sezer Sarıgöz","Bakma Bana Öyle","Goed Music",87,-1,1,"614949"
88,"spotify:track:72t3CRd8YEFrlc3x0OVaob","UZI","Umrumda Değil","M.O.B. Entertainment",2,119,81,"613509"
89,"spotify:track:2MvIexkUblP1QdpBzKot3N","UZI","CINDY","Ava Music / Avrupa Müzik",1,84,54,"613032"
90,"spotify:track:1qwQ1P3FwFouG1zTIBkGXU","Ayla Dikmen","Anlamazdın","MCC",84,89,40,"608568"
91,"spotify:track:4C2BEVMCOoTRYLQdxumczm","Nilüfer","Son Arzum","Odeon Müzik Yapımcılık",34,83,43,"607642"
92,"spotify:track:55YPDeJRgBjW8Em2AWBiXk","Heijan, Muti","Birader","TFB Records Türkiye",10,65,27,"592092"
93,"spotify:track:4woTEX1wYOTGDqNXuavlRC","Eminem, Dina Rae","Superman","Aftermath",87,91,4,"589682"
94,"spotify:track:6g6MHm9u0h2Em9Xuk89eqR","EDIS","Arıyorum","EDS Company",3,85,55,"585915"
95,"spotify:track:1u61m2yf7AaeGjASOpOOqR","Ezhel","Daima","StageArt Europe",13,86,23,"580990"
96,"spotify:track:4tJa4Vbru9vnEj1IV9aaX1","Sezer Sarıgöz","Ne Ay Geceden","Goed Music",30,87,36,"579046"
97,"spotify:track:0zryFWOTwY1BDcED6t27Sl","cakal, Arem Ozguc, Arman Aydin","Dünya Fani","Perros Blancos",15,93,16,"576983"
98,"spotify:track:5pGxanWKWR7ZgHJ4C385DF","Melike Şahin, Mert Demir","Pusulam Rüzgar","Diva Bebe Records",64,107,26,"566214"
99,"spotify:track:3nBOU3xHlYLMeBiiMo5Ew5","Tefo, Seda Tripkolic","Le Le","Darina Music Production",66,128,13,"560412"
100,"spotify:track:3HEfzQob3O16TIDMPC8PTx","Güneş, UZI","Dua","M.O.B. Entertainment",3,100,95,"546408"
101,"spotify:track:1kf1G9KwAxifjBV5EAjOfO","Kurtuluş Kuş, Feryal Sepin, Burak Bulut","Karalaya Karalaya","Mahzen Media",89,111,12,"546083"
102,"spotify:track:1ZM3tZvjn8rhd5Aq4BYHdX","Tekir","Kaybım Var","Dark'n Dark Music",81,101,10,"540045"
103,"spotify:track:3FAclTFfvUuQYnEsptbK8w","Amy Winehouse","Back To Black","Universal-Island Records Ltd.",94,94,12,"538827"
104,"spotify:track:52jqDrHbXT9nvE4GwlmViQ","UZI, Aksan","RUN RUN","Ava Music / Avrupa Müzik",15,78,4,"531422"
105,"spotify:track:1vLkBVAy8ZWrqcQjYTPP3a","Evdeki Saat","Uzunlar - V1","AVRUPA MÜZİK YAPIM",10,95,124,"529716"
106,"spotify:track:39DenhkBkmDsYBpl1rAchr","Seksendört","Anlayamazsın","Poll Production",23,90,63,"525909"
107,"spotify:track:4kkVO4RL8NLQgCSO7q0ZhT","Motive","Takip","M.O.B. Entertainment",70,102,27,"524319"
108,"spotify:track:3W9iHIZbnc39LqKXfnYXwa","Sezer Sarıgöz, Tekir","Sarılsak Mı Artık","Goed Music",75,104,18,"521961"
109,"spotify:track:3b8UW227uLkRDvd0w9e1Sw","Yüzyüzeyken Konuşuruz","Sen Varsın Diye","SONY MUSIC TURKEY",4,97,66,"513158"
110,"spotify:track:6pJI8iZBKPuMjWDstvO081","Kaan Boşnak","Benimle Kayboldun","Hayırsız",43,98,214,"510477"
111,"spotify:track:6GDpxEOvaXS0nbqSrFtDAQ","Lvbel C5","10 NUMARA","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",1,99,51,"509131"
112,"spotify:track:7jPUGtOJTHPxIlWNGVqD8U","Motive","KÂR","SAVANA",14,106,37,"508079"
113,"spotify:track:1riBwVUqVsk5RGJ9iLN8cG","Ezhel","Bul Beni","StageArt Europe",1,103,66,"505441"
