rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,2,2,"83489"
2,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",1,1,14,"79508"
3,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",2,3,6,"69012"
4,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,4,27,"61663"
5,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",5,6,6,"56257"
6,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",5,7,18,"51696"
7,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",6,9,13,"46913"
8,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",1,5,3,"46565"
9,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,8,7,"41966"
10,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",2,10,15,"40059"
11,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",11,15,9,"39017"
12,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",11,11,8,"37867"
13,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",13,13,56,"36683"
14,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",11,18,22,"36636"
15,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,12,96,"36463"
