rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6jjYDGxVJsWS0a5wlVF5vS","BTS","Butter","BIGHIT MUSIC",1,1,72,"962073"
2,"spotify:track:5hkAuvgkOrd4KpDOlCNsvW","MONO, Onionn","Waiting For You","Universal Music Indochina Distributed Labels",2,3,7,"624363"
3,"spotify:track:5yrPkBvOBvqfSjDhoRzDlO","RPT MCK","Tại Vì Sao","CDSL",3,6,2,"391390"
4,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",2,4,3,"346891"
5,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Muộii","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",5,11,44,"304899"
6,"spotify:track:6VXVYATpQXEIoZ97NnWCmn","Madihu, Vũ.","Vì Anh Đâu Có Biết","WM Vietnam",2,9,9,"291512"
7,"spotify:track:25h0TqC9H3BcMA7KjK5nHK","GREY D, tlinh","vaicaunoicokhiennguoithaydoi","Universal Music Indochina Distributed Labels",2,13,16,"273898"
8,"spotify:track:6A1IbMKwjvXibcrU1sdqKH","MONO, Onionn","Em Là","Universal Music Indochina Distributed Labels",8,14,4,"251491"
9,"spotify:track:5aucVLKiumD89mxVCB4zvS","Crush, j-hope","Rush Hour (Feat. j-hope of BTS)","피네이션",2,2,3,"249987"
10,"spotify:track:0Cy7uOfTjJrmHkNEPBBZxf","Tăng Duy Tân","Bên Trên Tầng Lầu","StarNation",1,15,14,"249725"
11,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",3,8,7,"238160"
12,"spotify:track:2pYFHEy0xp48Le5Bfw5vcX","Karik, Only C","Có Chơi Có Chịu","Karik",12,101,2,"233311"
13,"spotify:track:0L8LOav65XwLjCLS11gNPD","BLACKPINK","Typa Girl","YG Entertainment/Interscope Records",3,7,3,"222812"
14,"spotify:track:3wn8HJNjkY4wzTBy35ZvQ6","14 Casper, Bon Nghiêm","bao tiền một mớ bình yên?","DANDERLÉON",14,22,76,"219503"
15,"spotify:track:3wUp8eCTshIrJcYbjWaoyP","Phuong Ly","ThichThich","Phuong Ly",9,25,11,"213100"
