track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Argentina,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,2.71,4
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Argentina,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
45dlaEXrXW47TVbrQ4gK7E,"Rei, Callejero Fino",Tu Turrito,Argentina,0.838,0.545,9,-6.1,0,0.0604,0.0966,0.0,0.0927,0.428,90.023,2.75,4
3Ne5uYDFzHEFYAPbaBMIck,Maria Becerra,AUTOMÁTICO,Argentina,0.68,0.808,10,-3.854,0,0.224,0.0911,2.23e-06,0.205,0.868,176.131,2.92,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Argentina,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
12BLBKATlbWXPhuSNL8eAr,"Alan Gomez, Callejero Fino",CALLEJERO FINO | Mission 10,Argentina,0.88,0.531,6,-7.738,1,0.147,0.584,2.03e-06,0.114,0.522,92.957,2.82,4
2GVahxIzxivfRZc8lR39Ms,"Rei, Quevedo",FERNET,Argentina,0.71,0.738,6,-4.077,0,0.0861,0.156,0.0,0.0661,0.608,98.958,3.21,4
3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,Argentina,0.627,0.429,1,-8.255,1,0.234,0.238,0.0,0.122,0.565,126.426,1.88,5
6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Argentina,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98,4
6i1g5ZRmJZAkDwBaUZ3f2i,Luar La L,Caile,Argentina,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,2.36,3
1gYtMKmICjH8KQG3MheNJt,"TINI, Tiago PZK",El Último Beso,Argentina,0.647,0.662,10,-2.955,1,0.125,0.305,0.0,0.359,0.693,113.28,3.29,5
3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Argentina,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4.3,4
2pR6bipXfJySBhje19SW02,"Stars Music Chile, Cris Mj, Standly",Marisola,Argentina,0.806,0.85,1,-4.84,1,0.0967,0.155,0.0,0.201,0.728,95.014,3.07,4
7iwJOi3hlMqZt6pj1sQOBj,Quevedo,Vista Al Mar,Argentina,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,3.01,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Argentina,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
2IzV2SPZQLadtA46ni3ICq,"Zion & Lennox, Maria Becerra",Berlin,Argentina,0.796,0.766,1,-4.237,1,0.0422,0.18,1.53e-06,0.164,0.846,121.008,4.1,4
1uGdRSOpObu3lp0jvrVREl,Maria Becerra,OJALÁ,Argentina,0.798,0.629,1,-4.393,0,0.0729,0.133,5.06e-06,0.103,0.362,92.018,2.67,4
2bbwjxA68m9PHZFWgF1fze,Duki,GIVENCHY,Argentina,0.607,0.619,8,-6.726,1,0.396,0.142,0.0,0.231,0.377,102.974,3.04,3
7kYbxvrGXv8cmKjkqgqhrw,TINI,La Triple T,Argentina,0.801,0.633,11,-2.785,0,0.0777,0.414,0.0,0.27,0.676,92.025,2.79,4
5GF0X7GdNmnouKcdhhRmtm,"Paulo Londra, Duki",Party en el Barrio (feat. Duki),Argentina,0.527,0.665,10,-7.108,1,0.164,0.0168,1.29e-06,0.324,0.546,135.026,3.94,4
0kTMK4gNFfLXaTb62w1UaJ,"Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",BABY OTAKU,Argentina,0.835,0.747,9,-4.65,1,0.083,0.0492,0.0,0.055,0.432,102.003,2.94,4
5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Argentina,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,3.55,4
7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,Argentina,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,3.5,4
6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Argentina,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,4.1,4
2rurDawMfoKP4uHyb2kJBt,"Shakira, Rauw Alejandro",Te Felicito,Argentina,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,2.87,4
60DHrnRAhNJMy4WeEf23NH,"La Joaqui, Alan Gomez, EL NOBA",Butakera,Argentina,0.871,0.563,1,-6.422,1,0.0618,0.56,0.0,0.0665,0.457,88.96,2.39,4
3AbNNvo2OmyeDMvRBgf9vk,"TINI, Becky G, Anitta",La Loto,Argentina,0.855,0.83,1,-2.815,1,0.106,0.0783,1.31e-06,0.08,0.775,90.009,3.18,4
6mmPpaltUZK7xjNlBPQQ0p,"Rauw Alejandro, Chencho Corleone",Desesperados,Argentina,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,3.75,4
1uK5rDY3BnikyG0sl3tPpc,"Sofía Reyes, Maria Becerra",Marte,Argentina,0.704,0.604,5,-5.254,1,0.0556,0.067,0.0,0.126,0.642,90.028,3.65,4
6LBpjWMfy1NUfyxAJbcMRs,"La K'onga, Nahuel Pennisi",Universo Paralelo,Argentina,0.619,0.739,4,-5.743,1,0.167,0.464,0.0,0.285,0.672,149.975,3.62,4
5x17YrAwajDUCqB8zT9ElY,"Tiago PZK, Myke Towers",Traductor,Argentina,0.845,0.776,11,-3.098,0,0.0488,0.111,0.0321,0.0684,0.528,105.018,3.71,4
5i82o3878xCPNCUK8VIeqX,"Los Ángeles Azules, Nicki Nicole",Otra Noche,Argentina,0.605,0.711,8,-4.09,1,0.0379,0.365,0.0,0.0501,0.645,91.999,3.32,4
1O2pcBJGej0pmH2Y9XZMs6,Cris Mj,Una Noche en Medellín,Argentina,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,2.56,4
67Wqby5IjOMMpIYwqmCYOG,"Emilia, Nicki Nicole",intoxicao,Argentina,0.929,0.642,11,-3.179,0,0.0375,0.205,0.0,0.0599,0.847,94.039,2.81,4
2x8oBuYaObjqHqgGuIUZ0b,WOS,ARRANCARMELO,Argentina,0.654,0.354,5,-7.358,1,0.0738,0.724,0.0,0.134,0.262,81.956,3.06,4
6ojZtz3sZr6ynvejLOqgCj,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),Argentina,0.827,0.819,6,-3.701,1,0.052,0.1,0.0,0.089,0.562,92.017,3.18,4
3EcCc1U405tm8yKm1x6Y8W,La K'onga,Te Mentiría,Argentina,0.651,0.731,7,-6.889,1,0.0549,0.116,0.0,0.0708,0.653,153.104,3.64,4
2LgxW2t2H6lAf7tJuOnxxj,Duki,Antes de Perderte,Argentina,0.812,0.925,5,-3.092,0,0.113,0.487,0.0,0.115,0.614,110.031,2.95,4
31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Argentina,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,2.89,4
4NkJeL16uUJJJFuZPvR1DC,"Lola Indigo, Maria Becerra",DISCOTEKA,Argentina,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,2.91,4
0cOa970mzTWAxKtltpkpLc,"TINI, Maria Becerra",Miénteme,Argentina,0.85,0.541,2,-4.522,1,0.0674,0.161,5.01e-06,0.286,0.916,92.003,2.75,4
5aQtcr0PfEtk4FZCz5rLdV,"Emanero, FMK, Rusherking, Estani",BANDIDO,Argentina,0.775,0.576,9,-6.343,0,0.0693,0.528,0.0,0.115,0.637,89.99,4.24,4
5lkgHMBFyhk6P3jinwsYo0,Emilia,La Chain,Argentina,0.841,0.616,6,-4.451,0,0.0989,0.203,0.0,0.0785,0.792,98.181,2.33,4
4hceSKjrkDTO0nMKFcb3sj,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",Argentina,0.82,0.752,1,-7.635,0,0.0648,0.0584,0.00417,0.628,0.423,127.999,3.12,4
6WZk0S0t6YP414VJz99mWT,Lali,N5,Argentina,0.774,0.635,2,-4.289,1,0.0397,0.11,0.268,0.0838,0.622,120.054,2.58,4
6DoL1yYIwEW7VZMRaJhoJI,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),Argentina,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,4.25,4
1v5QhGtlv2bkpUz2kAXTCq,"FMK, Maria Becerra",Tranquila,Argentina,0.752,0.532,11,-4.92,0,0.0582,0.0608,2.38e-05,0.0804,0.743,96.005,3.06,4
4TGwERXRlyQtBdggYTHo6j,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],Argentina,0.7,0.438,5,-5.784,0,0.0433,0.401,0.0,0.373,0.605,170.106,4.33,3
6HXvazdtAr9hy0kThzxrE3,"Oscu, Nobeat",Numero 1,Argentina,0.842,0.729,8,-4.404,1,0.0753,0.0991,6.71e-06,0.0695,0.96,89.978,2.73,4
41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhay Cortez",Tarot,Argentina,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,3.96,4
3MBNAfBXIq9fI2Sez8EcNX,"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,Argentina,0.789,0.837,10,-3.247,1,0.23,0.125,0.0,0.209,0.476,81.536,3.34,4
1IT2VUL1Nx6Y3AdCfm0wcO,Rei,Pechito Partido,Argentina,0.829,0.633,0,-6.295,1,0.0723,0.169,0.0,0.207,0.598,89.961,2.45,4
3ushwCdjpWNdSnZgRFU6Oc,Emilia,cuatro veinte,Argentina,0.761,0.696,7,-3.817,0,0.0505,0.0811,6.25e-05,0.101,0.501,95.066,2.23,4
7onMf0QvWgRba2MRxG27yj,La K'onga,El Mismo Aire,Argentina,0.762,0.748,0,-6.273,0,0.0407,0.0746,0.0,0.128,0.822,149.985,3.49,4
1ga4PztXOIw1yBbdUt2X8v,"KAROL G, Maldy",GATÚBELA,Argentina,0.627,0.858,11,-2.824,0,0.386,0.263,0.0,0.21,0.342,92.523,3.49,4
6TsVhM8qIkWN5cJVDIVbbz,"Wisin & Yandel, ROSALÍA",Besos Moja2,Argentina,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,3.82,4
6VAS7m73rDopQe7BdrFMpD,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",Argentina,0.657,0.821,8,-3.06,0,0.32,0.459,0.0,0.103,0.752,96.561,2.67,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Argentina,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
79HZAZNnOE97rb2hnI0XQr,"Rauw Alejandro, Lyanno, Brray",LOKERA,Argentina,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,3.25,4
1txrFHh4XUU3Kp8HcD2TFW,"Luck Ra, Rusherking",Te Mentiría Remix,Argentina,0.739,0.751,7,-3.057,1,0.0612,0.0391,0.0,0.128,0.587,91.006,2.87,4
