track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature,artist_names,track_name,region
2uNrriUaePhbbmsXT8HQJU,0.808,0.688,7,-8.964,0,0.0493,0.115,0.0251,0.114,0.377,120.039,2.3,4,INSTASAMKA,POPSTAR,Belarus
4oHEJ5KPf9hW1pDyQYIRIw,0.931,0.696,7,-6.656,1,0.187,0.336,2.49e-05,0.339,0.357,134.005,2.21,4,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,Belarus
3pzr7iKQpV9QjLGcLcd2ic,0.764,0.7,2,-4.462,0,0.117,0.113,0.0,0.133,0.273,145.011,2.04,4,"uglystephan, Scally Milano",Заберу,Belarus
6BfnNid8w0UyZqzR2mx1HB,0.843,0.774,10,-3.998,0,0.0612,0.00813,0.0,0.0668,0.391,101.982,3.03,4,"Молодой Платон, Poshlaya Molly, Yanix","DON'T PLAY, BAE",Belarus
21LIoC4ZxT3F8xq9gidNbX,0.643,0.573,1,-6.992,1,0.0466,0.0126,0.0,0.201,0.7,139.94,1.8,4,xxxmanera,Never Broke Again,Belarus
6qyS9qBy0mEk3qYaH8mPss,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,2.42,4,Kordhell,Murder In My Mind,Belarus
6NFRX7D4Dnh1dRUPstj3ij,0.715,0.761,6,-7.463,0,0.0286,0.0252,0.000983,0.0846,0.548,112.023,2.93,4,"Канги, Galust",Голова,Belarus
2DHX9faMGUQQTwD1Ot4ch2,0.801,0.644,1,-7.37,1,0.118,0.0152,0.0644,0.123,0.261,100.025,2.28,4,INSTASAMKA,MONEYKEN LOVE,Belarus
4jvw60Iw8LpSRJwy1sOmoB,0.716,0.8,9,-9.417,1,0.0618,0.0988,0.0,0.116,0.436,138.01,1.86,4,Шайни,Yeyo!,Belarus
05dDasMn9KPsnhNRD9L6W3,0.886,0.742,6,-4.853,1,0.284,0.349,0.00186,0.32,0.658,141.91,2.21,4,"Милана Хаметова, Milana Star",ЛП,Belarus
5Sk39LuvdwuvL84jD01Dum,0.706,0.91,1,-3.527,1,0.146,0.175,2e-06,0.11,0.667,126.007,1.78,4,"MUPP, Sadfriendd",vendetta!,Belarus
7jtQIBanIiJOMS6RyCx6jZ,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4,Tom Odell,Another Love,Belarus
5TK74MJYRmwU5NIAjGRvRq,0.772,0.599,1,-4.972,1,0.171,0.183,0.0,0.0688,0.753,136.061,2.41,4,"Scally Milano, uglystephan",Я хочу тебя трахать,Belarus
4ikCWgaaGLKgb724CUNnqZ,0.841,0.452,1,-8.04,0,0.159,0.873,5.7e-05,0.0979,0.392,119.982,1.84,4,Кореш,глаза не врут,Belarus
0wGbyS1tExQSwOYu6UceyE,0.721,0.692,7,-2.927,1,0.0414,0.000166,0.275,0.104,0.531,120.005,2.7,4,"ONIMXRU, SMITHMANE",SHADOW,Belarus
6KQz9Xgc82clHGWzGUA5xw,0.726,0.866,1,-5.063,0,0.0991,0.0615,0.0055,0.193,0.636,129.966,1.38,5,БРЕДИШЬ,Социум,Belarus
