track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
1OZ4uv7OAP24Ix6j3vojLt,"Mc Paiva ZS, MC Ryan SP, Kotim",Casei Com a Putaria,Brazil,0.585,0.6,10,-7.008,0,0.436,0.117,0.0,0.0504,0.617,160.635,2.62,4
7qoIhutxU269Zqo9PG5IOj,"Pineapple StormTv, Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã, N.I.N.A",Poesia Acústica 13,Brazil,0.572,0.579,10,-7.242,0,0.128,0.469,0.0,0.136,0.5,127.982,10.34,4
1ELsaYdj2NlxLvkx9g24xZ,"Guilherme & Benuto, Hugo & Guilherme",Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Brazil,0.714,0.748,11,-4.605,1,0.0679,0.59,0.0,0.626,0.698,105.031,2.89,4
3yHXEidSu4gYVRqKoI653O,"Guilherme & Benuto, Xand Avião",Assunto Delicado - Ao Vivo,Brazil,0.569,0.941,4,-4.135,0,0.312,0.401,0.0,0.891,0.608,73.776,3.01,4
4ASA1PZyWGbuc4d9N8OAcF,"Gustavo Mioto, Mari Fernandez",Eu Gosto Assim - Ao Vivo,Brazil,0.636,0.909,0,-3.685,1,0.0439,0.149,0.0,0.719,0.61,154.189,2.48,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Brazil,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
7AwVSKaQxpidrtYBerkHKk,"Ana Castela, Melody, Dj Chris No Beat",Pipoco,Brazil,0.774,0.742,8,-4.178,1,0.0766,0.473,0.000472,0.342,0.736,134.991,3.23,4
5vC8UAOHeG95ehRzZChniB,"L7NNON, DJ Biel do Furduncinho, Bianca",Ai Preto,Brazil,0.953,0.57,6,-5.149,1,0.245,0.537,0.0,0.0993,0.834,129.947,2.19,4
6gyhp7IcNhTYzwlk8utsgP,"Diego & Victor Hugo, Jorge & Mateus",Beijo de Glicose - Ao Vivo,Brazil,0.556,0.87,9,-3.738,0,0.101,0.409,0.0,0.896,0.59,100.002,2.85,4
4vWh6tEfcLzdvYWp2IlOJS,"Luan Santana, Luísa Sonza",CORAÇÃO CIGANO - Ao Vivo,Brazil,0.653,0.68,4,-5.507,0,0.0298,0.0962,0.0,0.884,0.512,126.048,3.5,4
3gCWngngUs1uojw33vrE8K,Jorge & Mateus,5 Regras - Ao Vivo,Brazil,0.761,0.574,11,-8.196,1,0.0675,0.78,0.0,0.459,0.605,124.185,2.69,4
6gEOM9IEBzvTdbwNrSkBdC,Gusttavo Lima,Fala Mal de Mim - Ao Vivo,Brazil,0.672,0.957,7,-4.272,1,0.0485,0.197,0.000481,0.386,0.895,160.005,3.42,4
7bhvRvE56NHBvedx0EeALS,"Mari Fernandez, NATTAN",Comunicação Falhou - Ao Vivo,Brazil,0.612,0.882,5,-2.66,0,0.0501,0.416,0.0,0.676,0.793,145.974,3.01,4
2ykYxd8UGHOsdjP3Z5jSHh,"Hugo & Guilherme, Gusttavo Lima",Cheiro de Balada - Ao Vivo,Brazil,0.726,0.841,1,-2.811,1,0.0474,0.486,0.0,0.778,0.773,118.0,2.85,4
6Zw25LRLP0j0MsezDFIUM4,"Hugo & Guilherme, Marília Mendonça",Mal Feito - Ao Vivo,Brazil,0.732,0.831,0,-3.791,0,0.0691,0.554,0.0,0.903,0.684,123.942,2.97,4
2orGm2E68ODFYOURjaES62,"WIU, MC Ryan SP",Felina,Brazil,0.585,0.662,5,-4.235,0,0.351,0.385,0.0,0.0966,0.533,169.239,3.76,4
4x5q5T5mhE1xvoCVXY6qrN,"DJ AK BR, Dj Darge",Melodia Alucinógena,Brazil,0.685,0.644,1,-9.458,1,0.0365,0.746,0.755,0.157,0.405,130.077,3.06,4
4NNZZXHgn9F3cCgC1YGmLl,Jorge & Mateus,Todo Seu - Ao Vivo,Brazil,0.631,0.819,7,-5.018,1,0.131,0.293,0.0,0.586,0.665,152.018,2.86,4
5PSkF3QpVMlAx8U5Inxj39,"Mc Jacaré, Dj Tk",Vento Forte,Brazil,0.86,0.78,3,-4.158,0,0.131,0.246,0.000827,0.31,0.801,130.048,2.06,4
2HMbGPbGiqGaHXzFkQAmZI,Matheus & Kauan,Basiquinho - Ao Vivo,Brazil,0.504,0.827,1,-2.948,1,0.115,0.353,0.0,0.101,0.737,75.96,2.74,4
4xxeEWGQNFQ6qehlnev5LS,Marília Mendonça,Te Amo Demais,Brazil,0.713,0.625,0,-3.473,1,0.0268,0.573,0.0,0.11,0.687,114.023,3.43,4
2qmG7dokbGpDGD0T5wORWt,"Matheus Fernandes, Xand Avião",Balanço da Rede,Brazil,0.764,0.796,6,-4.611,0,0.033,0.193,0.0,0.0853,0.924,140.072,2.77,4
