track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
0kTMK4gNFfLXaTb62w1UaJ,"Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",BABY OTAKU,Chile,0.835,0.747,9,-4.65,1,0.083,0.0492,0.0,0.055,0.432,102.003,2.94,4
2pR6bipXfJySBhje19SW02,"Stars Music Chile, Cris Mj, Standly",Marisola,Chile,0.806,0.85,1,-4.84,1,0.0967,0.155,0.0,0.201,0.728,95.014,3.07,4
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Chile,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,2.71,4
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Chile,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Chile,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98,4
5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Chile,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,3.55,4
2RQsLucjZb02cKkz3s8NZ5,"Julianno Sosa, Young Cister",GANAS,Chile,0.728,0.643,0,-8.016,1,0.0436,0.124,0.0,0.119,0.334,99.987,3.12,4
7iwJOi3hlMqZt6pj1sQOBj,Quevedo,Vista Al Mar,Chile,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,3.01,4
6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Chile,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,4.1,4
3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Chile,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4.3,4
79HZAZNnOE97rb2hnI0XQr,"Rauw Alejandro, Lyanno, Brray",LOKERA,Chile,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,3.25,4
5dqsBNMcoZdZSkdtAKmaQz,"Julianno Sosa, Endo, El Jordan 23, Noiss",PERREA KTM,Chile,0.834,0.684,1,-7.453,1,0.0694,0.0749,9.37e-05,0.192,0.641,98.015,3.71,4
2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,Chile,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,2.6,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Chile,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
5i9bTK3gXeVCvua3PH4nwv,Young Cister,LA TERAPIA,Chile,0.811,0.889,11,-4.5,1,0.0617,0.171,0.00035,0.134,0.87,94.005,3.08,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Chile,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
6wtZPYBIXUvCpXwVjMCJBf,"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,Chile,0.909,0.824,1,-4.627,1,0.0797,0.0777,0.00387,0.0638,0.585,109.97,5.37,4
1cZqrdhWL6f3EiY23zpnTe,"Pailita, Young Cister",Caminemos de la Mano,Chile,0.735,0.752,1,-5.138,1,0.0855,0.318,6.89e-06,0.331,0.647,92.915,3.58,4
6i1g5ZRmJZAkDwBaUZ3f2i,Luar La L,Caile,Chile,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,2.36,3
4yG3Pgc8McT71M6jwRE9Hf,Standly,Panamera,Chile,0.783,0.759,10,-5.782,0,0.101,0.0449,9.02e-06,0.152,0.411,117.998,3.93,4
2B9tPbnFANp0TTyX1C8tgz,Ak4:20,SE ENDIABLA,Chile,0.857,0.828,7,-4.724,0,0.258,0.0274,0.0,0.363,0.858,95.015,2.65,4
31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Chile,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,2.89,4
4ovp1Q6WURMBWgw3cOHbxz,El Jordan 23,Bakanisimo,Chile,0.85,0.82,2,-4.903,1,0.104,0.032,0.22,0.662,0.618,94.97,2.74,4
1ga4PztXOIw1yBbdUt2X8v,"KAROL G, Maldy",GATÚBELA,Chile,0.627,0.858,11,-2.824,0,0.386,0.263,0.0,0.21,0.342,92.523,3.49,4
1AFcJGVt4enuH1gqGw2axN,"Polimá Westcoast, J Balvin",KAWAII,Chile,0.906,0.807,7,-3.963,1,0.0904,0.152,4.39e-05,0.109,0.681,97.009,3.3,4
1iatbSLJGSR9wYz3knoCF2,Martinwhite,V16,Chile,0.795,0.858,11,-4.302,0,0.0687,0.0151,0.0213,0.0706,0.798,103.939,1.99,4
6TsVhM8qIkWN5cJVDIVbbz,"Wisin & Yandel, ROSALÍA",Besos Moja2,Chile,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,3.82,4
40w8JmvwYUP2HUiXPxjy99,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,Chile,0.861,0.786,0,-4.934,1,0.164,0.289,0.0,0.601,0.907,92.031,3.87,4
1797zYiX4cKosMH836X9Gt,"Bad Bunny, Tony Dize",La Corriente,Chile,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,3.31,4
1O2pcBJGej0pmH2Y9XZMs6,Cris Mj,Una Noche en Medellín,Chile,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,2.56,4
7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,Chile,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,3.5,4
41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhay Cortez",Tarot,Chile,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,3.96,4
5jt25aFjW2kNoBqaEVaz5W,"Mora, Feid",LA INOCENTE,Chile,0.757,0.789,5,-3.46,0,0.0583,0.307,0.0,0.0717,0.464,91.911,3.37,4
0km3c8Qiwi9kicTSTt9Ld1,"Cris Mj, El BAI",Pensandote,Chile,0.849,0.61,9,-7.86,0,0.201,0.457,0.0564,0.125,0.867,92.014,3.22,4
0kRJ3rwE3rTDJGnGO4HmoD,"El Jordan 23, Standly",Bailando,Chile,0.821,0.587,10,-7.036,0,0.251,0.531,0.0,0.0937,0.565,95.041,3.75,4
4gWqIR7bGRk9oLoYRgSUKN,Pailita,Parcera,Chile,0.731,0.848,1,-5.014,0,0.0547,0.026,0.00435,0.0779,0.659,96.996,3.47,4
0T2pB7P1VdXPhLdQZ488uH,Feid,Normal,Chile,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,2.86,4
3PpWCS95gDUDRPko3u1MZ9,Feid,Prohibidox,Chile,0.647,0.801,1,-2.946,0,0.249,0.0451,0.0,0.0628,0.517,180.108,2.77,4
3E8xyYdIPpiH2wNEozE68I,Standly,Pégate,Chile,0.83,0.818,7,-5.028,1,0.0552,0.306,0.0,0.0906,0.828,98.008,3.1,4
6DoL1yYIwEW7VZMRaJhoJI,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),Chile,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,4.25,4
5N2lj5JJwYP5ggwYcESoHp,"Cris Mj, Jory Boy",Suburban,Chile,0.839,0.491,4,-11.353,0,0.102,0.129,0.00243,0.158,0.79,95.037,3.27,4
4tYFy8ALRjIZvnvSLw5lxN,"Bad Bunny, Rauw Alejandro",Party,Chile,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,3.79,4
6QxjQa0Kdf7a1oRrGCQqEX,"Brytiago, Polimá Westcoast",S.O.S.,Chile,0.891,0.775,6,-4.354,0,0.0899,0.248,0.0,0.348,0.809,99.994,4.06,4
4lLl2TEcaKFcP6m9Xzx3rI,"Pailita, Cris Mj, Big Cvyu",Dime Tú,Chile,0.818,0.73,9,-7.248,1,0.109,0.344,6.06e-06,0.103,0.887,97.992,3.76,4
0HsI8dYRVnVGpzppNThv1e,"Sayian Jimmy, Standly, Yishark, Nysix Music, Tobal Mj, Benji La Maldita Escritura De Oro",Flotao,Chile,0.801,0.674,6,-8.1,1,0.0966,0.198,0.0,0.24,0.891,94.0,5.62,4
6bK2pgaYV5XAilxpDLRfnA,El Jordan 23,Pato Feo Soy Yo,Chile,0.889,0.811,10,-6.683,0,0.122,0.114,0.00171,0.124,0.571,123.934,3.3,4
4nwwtB3VG12feSnOGv9Ogc,"Standly, Yilberking",Tequila y Limón,Chile,0.745,0.691,1,-5.555,0,0.0383,0.107,3.67e-06,0.334,0.704,130.18,3.58,4
01EzG8Qg7oQqYMTNV5YkOW,"Julianno Sosa, King Savagge",Cochinae,Chile,0.855,0.72,6,-7.953,1,0.0516,0.0626,0.0187,0.268,0.948,97.984,3.35,4
0OTNHGKcqQbk51bOYe462Y,"Polimá Westcoast, Pailita",ULTRA SOLO,Chile,0.802,0.846,1,-4.495,1,0.207,0.233,1.92e-05,0.114,0.26,109.982,3.79,4
48AJSd42lXpicsGqcgopof,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,Chile,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,3.21,4
2KxfFzjyd5mpJu66s66w2S,Standly,Baila para Mi,Chile,0.833,0.503,0,-10.672,1,0.0851,0.225,0.000583,0.116,0.818,98.037,2.74,4
2kEuOngY5Td8iGxnzl8vPr,"Polimá Westcoast, Young Cister, Cris Mj",SEXTIME,Chile,0.696,0.799,2,-4.887,1,0.171,0.162,0.000133,0.0697,0.587,196.063,3.3,4
46YrvybgPpjBL13f0uc8Oc,"King Savagge, Noriel",Tra Tra,Chile,0.861,0.779,8,-6.081,0,0.1,0.264,0.0,0.118,0.758,97.008,2.93,4
2qrEyFnx2XaKmMFtLZ00xg,"Pailita, Big Cvyu",Na Na Na,Chile,0.87,0.726,11,-6.782,1,0.0689,0.0138,0.00447,0.0641,0.861,98.016,3.23,4
02wijRhOIJdJ8VKM8N9voP,"Cris Mj, Fran C",Bellakera,Chile,0.885,0.628,7,-5.23,1,0.05,0.0456,0.000388,0.3,0.707,101.0,2.93,4
