track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Cyprus,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
2wuJWqcn6bJWIJCmb83Yeu,SIDARTA,ERIMO,Cyprus,0.661,0.734,8,-4.356,0,0.157,0.423,0.00165,0.15,0.68,127.897,3.57,5
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Cyprus,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
3xo0AJj0gWlp51SqoGaGDv,RICTA,Emmonh,Cyprus,0.799,0.582,9,-8.3,0,0.225,0.793,0.000133,0.093,0.23,100.028,3.94,4
5flH7FY4ledAQboO5a0XQ5,"UZI, Mavi",SENIN UGRUNA,Cyprus,0.785,0.638,1,-7.081,1,0.109,0.357,0.0118,0.0982,0.348,127.058,2.03,4
5ATwkalJ9FnLp7Zcvxo1rl,"Dedublüman, Mavzer Tabancas",Belki,Cyprus,0.388,0.496,1,-8.707,1,0.03,0.317,0.000182,0.153,0.34,183.965,2.72,4
5dKi5wRWzTPWHmUxpq96Hf,"SIDARTA, Beyond",AKOMI,Cyprus,0.661,0.61,2,-7.939,1,0.0677,0.429,0.0,0.156,0.217,95.02,2.95,4
0OyiXp4CdjqOYDSpzgfEx7,"Rack, Oge, MENJU",FAVELA,Cyprus,0.722,0.649,6,-9.893,1,0.0877,0.0333,0.189,0.108,0.389,106.048,2.83,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Cyprus,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Cyprus,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
1O4LjNjQxnzqECfTKGkko6,SNIK,Erotas,Cyprus,0.911,0.717,9,-6.111,0,0.337,0.501,0.00109,0.057,0.42,122.978,2.41,4
1OGTkqFF8EmYZvDLuHAXsw,"Rack, Beyond",AMOR,Cyprus,0.772,0.749,1,-8.113,1,0.0856,0.233,0.142,0.111,0.343,121.976,3.25,4
29kTgA9pGo9RYwhED65ZrS,"Light, Fy, Trannos",Obsessed,Cyprus,0.797,0.68,10,-8.628,0,0.103,0.0479,0.0,0.0712,0.593,145.092,3.62,4
29GUBTed1wOd9TGkNYgz1n,"SIDARTA, Saske, Beyond",MEDITERRANEAN,Cyprus,0.717,0.73,4,-6.738,0,0.0508,0.205,0.0,0.084,0.493,97.079,3.05,4
7toL7Re9rApzIuIFDaLQSe,KÖFN,Bi' Tek Ben Anlarım,Cyprus,0.66,0.529,7,-10.502,1,0.0762,0.0828,0.00144,0.099,0.318,96.009,3.27,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Cyprus,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
2SwQShWjZsxoGviEyaEMOX,Ezhel,Nerdesin,Cyprus,0.816,0.696,8,-6.75,0,0.153,0.201,0.000643,0.13,0.81,100.004,2.94,4
6XK6R1ir3k0iPkwGbmVIEV,"FLY LO, Mike G",Crystal,Cyprus,0.706,0.716,0,-5.263,1,0.13,0.221,0.0,0.157,0.0798,100.025,2.65,4
0v4BTk3Vlhmfduww4WFOwA,"SIDARTA, Beyond",ADRENALINA,Cyprus,0.643,0.826,7,-6.215,1,0.0929,0.031,0.000503,0.199,0.346,117.871,3.66,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Cyprus,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
5nH1QRipfAJ8Pd9rFu3xHh,Dedublüman,Belki - Akustik,Cyprus,0.449,0.711,8,-5.851,0,0.0282,0.111,0.000148,0.0917,0.443,91.91,3.0,4
3N2iBFazoTUIvgcqu2PdDZ,"Trannos, Eleni Foureira",Egw & Esy,Cyprus,0.981,0.775,3,-5.162,0,0.0383,0.17,0.0,0.198,0.967,122.035,3.11,4
5btENPtD4TAjRGkC4IXafe,"Light, Melisses, Skive",Epiloges,Cyprus,0.552,0.433,1,-9.586,1,0.385,0.32,0.0,0.0706,0.312,150.608,3.72,5
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Cyprus,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Cyprus,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
7E3YAVF3A7Shm7w2p3Np1Z,"Şanışer, Ayda",Aşk Şarkısı - Live,Cyprus,0.534,0.551,5,-7.275,1,0.053,0.185,1.36e-05,0.106,0.146,91.046,3.89,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Cyprus,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
3CbxLHTkPClIGBzRDf3JGK,UZI,XXL,Cyprus,0.704,0.697,10,-7.276,0,0.286,0.0676,0.00119,0.467,0.278,136.036,2.12,4
2QDibAx72jveQXPBXOKjx2,"Light, Trannos",24hrs,Cyprus,0.746,0.662,6,-6.706,1,0.0875,0.0694,0.0,0.296,0.68,102.024,2.92,4
65tIJClJx8fHo6YW4wVDhi,Güneş,Suçlarımdan Biri,Cyprus,0.763,0.733,5,-6.534,0,0.113,0.138,0.0,0.0827,0.587,94.977,2.86,4
7dFVvPxqk4O32ra3VjfUwU,UZI,UNUTTUM,Cyprus,0.699,0.701,0,-6.966,1,0.245,0.0302,3.02e-05,0.502,0.762,141.043,2.61,4
0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Cyprus,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,3.99,4
18Ies0Fsw2IwDuLoOhDlyy,Zeynep Bastık,Ara,Cyprus,0.621,0.674,0,-5.777,0,0.0472,0.241,0.00182,0.116,0.304,163.917,3.0,4
