track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Czech Republic,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4ToxkJ4VvWs026R3QfHDI3,Calin,Santé,Czech Republic,0.604,0.649,2,-8.458,0,0.0524,0.4,0.273,0.186,0.273,120.111,1.9,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Czech Republic,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
2sXnat46y10FtAbW2A0ira,Calin,Hannah Montana,Czech Republic,0.583,0.784,6,-6.708,0,0.0882,0.0621,4.49e-05,0.171,0.744,135.08,2.64,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Czech Republic,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
3DnT4qyb7YSW4y1ValyUo4,"Viktor Sheen, Manene",Stíny (MANENE Remix),Czech Republic,0.541,0.913,0,-7.174,0,0.167,0.0499,4.62e-06,0.278,0.697,173.974,3.26,4
0fThlG4YBkCsRVSJkGpWAX,"Koky, Viktor Sheen, Robin Zoot",SOS,Czech Republic,0.657,0.769,6,-6.849,0,0.0388,0.101,0.0,0.139,0.45,109.982,3.75,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Czech Republic,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
3h3CiDX7NyqRLxLUg5pFbu,Robin Zoot,Česká Floriiida,Czech Republic,0.626,0.383,6,-12.136,0,0.218,0.201,3.85e-06,0.0788,0.197,148.055,4.51,4
5mC6tVYVscr1YR4zD6p94h,Ektor,To neni hra,Czech Republic,0.706,0.554,2,-9.705,1,0.301,0.329,0.0,0.231,0.593,142.948,3.44,4
163UXyyrFlAIQapVN3DqIp,Calin,Praha/Vídeň,Czech Republic,0.778,0.449,6,-7.464,0,0.0339,0.41,0.00126,0.105,0.325,130.007,2.71,4
0J3SIAOndpL1MS2Vq2RMQ9,Viktor Sheen,Stíny,Czech Republic,0.533,0.784,8,-6.578,1,0.164,0.0756,0.0,0.126,0.564,92.42,2.88,4
5TKjAQyTkezAQGz6eRMOL6,Earth,Diamanty,Czech Republic,0.753,0.651,11,-7.269,0,0.105,0.603,1.73e-05,0.199,0.386,98.972,3.3,4
5TB7FL9eaJ4fIN3oqJK8rp,Robin Zoot,Everyday,Czech Republic,0.809,0.499,11,-12.186,0,0.256,0.116,0.000153,0.106,0.591,145.955,3.38,4
54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Czech Republic,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,2.75,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Czech Republic,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
2wPph50bF6qHnXgruVKHm8,"P T K, Yzomandias",Baby a Benzo,Czech Republic,0.894,0.677,4,-8.054,1,0.0648,0.207,1.9e-06,0.13,0.462,110.024,4.13,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Czech Republic,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
3rxHQ7HeJCpiei1d6ANDPW,"Viktor Sheen, Calin, Hasan, Nik Tendo",Až na měsíc,Czech Republic,0.741,0.572,3,-10.405,0,0.0645,0.265,0.0,0.13,0.525,115.093,3.48,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Czech Republic,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
705U2GkmMiEPrqRWMPmabr,"Calin, Viktor Sheen",Sangria,Czech Republic,0.643,0.597,3,-7.181,0,0.0671,0.346,0.0,0.11,0.593,164.056,3.17,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Czech Republic,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Czech Republic,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98,4
27FjG8BCMk1UjOcBfffHk4,"Ben Cristovao, Calin","PRŠÍ, PRŠÍ",Czech Republic,0.675,0.6,4,-9.57,0,0.0667,0.257,3.31e-05,0.359,0.476,89.982,3.13,4
16Gcy3xa5XTuxvjgbstCWi,Meizyy,Jinej druh,Czech Republic,0.779,0.796,5,-7.168,0,0.12,0.113,0.0,0.304,0.661,164.989,3.44,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Czech Republic,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
7wdwIaXUuzlu1grzWMFRJm,Ghost,Mary On A Cross,Czech Republic,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4.08,4
1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,Czech Republic,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4.01,4
