track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Denmark,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
5iqWgicPaUYWjxORp5iagj,Tobias Rahim,Flyvende Faduma,Denmark,0.682,0.751,7,-6.03,1,0.0337,0.0916,3.04e-05,0.329,0.558,74.993,3.3,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Denmark,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
63Dymm6U4WHLRy87e8GBbo,Lamin,"Gode Dage, Gode Drinks",Denmark,0.789,0.703,0,-7.401,1,0.367,0.0448,0.0,0.14,0.482,112.025,2.33,4
7bgknc0sSmkIWc2am7QDEv,Tobias Rahim,Feberdrømmer Xx Dubai,Denmark,0.71,0.628,11,-6.661,0,0.0483,0.197,7.63e-06,0.108,0.462,135.99,3.69,4
60GwMZeymeZYj7GiEzHQ7d,"Lamin, ICEKIID",Hvad Skal Der Ske (feat. ICEKIID),Denmark,0.855,0.716,3,-7.246,0,0.088,0.152,0.0,0.101,0.697,109.972,2.97,4
5O6qenUvH31dan0pojwLj1,Gobs,Tro På Kærlighed,Denmark,0.708,0.77,5,-5.102,0,0.105,0.129,0.0,0.135,0.545,144.04,2.65,4
5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,How Do I Say Goodbye,Denmark,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,2.73,4
56Ua2ypj5HWnotoIF3lEHc,"Tobias Rahim, andreas odbjerg",STOR MAND (feat. Andreas Odbjerg),Denmark,0.66,0.666,5,-6.15,1,0.0507,0.178,0.0,0.275,0.503,145.916,3.06,4
5fS3B6lae85C2rA8jPfoE2,D1MA,DRØM MIG VÆK,Denmark,0.796,0.602,4,-8.635,0,0.135,0.134,2.83e-06,0.0829,0.409,133.018,2.73,4
7Ku8cFTqbFMKSWGuf1evPQ,Blæst,Juice,Denmark,0.76,0.658,0,-5.966,1,0.0773,0.099,3.89e-06,0.0928,0.88,116.017,2.67,4
31dynF6Vm6s6cLsHEBL8kp,Tobias Rahim,Mucki Bar,Denmark,0.78,0.718,8,-6.622,0,0.0339,0.14,0.0,0.2,0.795,136.952,3.0,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Denmark,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Denmark,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
5KkDRxYg3a6s8P5fSAkSnW,Hans Philip,Hjertebrand,Denmark,0.664,0.678,7,-7.595,0,0.0352,0.478,0.0353,0.0935,0.778,94.005,4.04,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Denmark,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
06bMZsOQ6qQGHCTeM9r9bU,Danser Med Piger,Danser Med Piger,Denmark,0.75,0.726,9,-6.244,1,0.0348,0.000177,2.48e-05,0.22,0.673,126.013,2.81,4
09N9LGyKqWlLViq2bQjFxR,"Artigeardit, Lamin",Vågen (Artigeardit X Lamin),Denmark,0.891,0.663,1,-5.816,1,0.117,0.00311,5.47e-05,0.113,0.523,118.961,2.63,4
5Mx9Hf6G4nZoTp5Ll9AH73,andreas odbjerg,hjem fra fabrikken,Denmark,0.754,0.753,8,-6.564,1,0.0289,0.254,2.18e-06,0.0977,0.823,120.011,3.48,4
6Ig8oKFBOseEULJGC6nl07,Benny Jamz,VI VARME,Denmark,0.803,0.513,8,-6.539,0,0.105,0.149,0.0,0.117,0.51,115.091,3.12,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Denmark,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
0HaRLPnr887lcQM2YQzkff,"Burna Boy, Ed Sheeran",For My Hand (feat. Ed Sheeran),Denmark,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,2.65,4
3lt2vb4iuIJrvIccs2IlBU,andreas odbjerg,hvad skal verden med sådan en som mig?,Denmark,0.571,0.5,2,-10.296,0,0.0277,0.462,2.02e-05,0.281,0.316,97.628,2.77,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Denmark,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Denmark,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
11AizyYnfVVvK1i7f2QmSz,Malte Ebert,Kalde Dem for Du,Denmark,0.527,0.263,6,-10.753,1,0.0304,0.863,0.0,0.103,0.385,144.692,3.28,4
5uSFGgIfHMT3osrAd9n9ym,Lewis Capaldi,Forget Me,Denmark,0.669,0.742,1,-3.518,0,0.0441,0.296,0.0,0.355,0.716,101.982,3.39,4
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Denmark,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3.76,4
7AwNzjpMLHvlkbgOc5MVKI,"Mike Lowrey, Gobs, Thomas Helmig",Stupid Man (feat. Gobs & Thomas Helmig),Denmark,0.676,0.603,5,-5.641,1,0.0813,0.0253,0.0,0.131,0.459,139.914,2.62,4
3LlqJkcXMBIAE5X1uUiZUN,The Minds Of 99,Under Din Sne,Denmark,0.514,0.879,0,-4.416,1,0.033,0.0286,0.000433,0.0657,0.275,143.957,4.43,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Denmark,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
40SBS57su9xLiE1WqkXOVr,LF SYSTEM,Afraid To Feel,Denmark,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,2.96,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Denmark,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
1bIxLnZasVLJbol55wDU5r,Tobias Rahim,Når Mænd Græder,Denmark,0.675,0.369,2,-8.962,1,0.0368,0.79,0.0,0.0777,0.525,119.946,3.52,4
4RbUT7mO2RlHtaXFxxI3OZ,Blæst,Sover Du Nu,Denmark,0.72,0.705,6,-4.46,0,0.065,0.421,1.78e-06,0.0741,0.84,107.915,3.15,4
7xTDT7gyIrv0xWpwwXExxU,Ed Sheeran,Celestial,Denmark,0.574,0.852,2,-1.248,1,0.0397,0.0529,0.0,0.161,0.501,123.038,3.48,4
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Denmark,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Denmark,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,2.72,4
7up4SX2l8FAnisrUXoGupd,"Lukas Graham, Khalid",Wish You Were Here (feat. Khalid),Denmark,0.646,0.64,8,-5.554,1,0.0304,0.00119,0.0,0.138,0.127,105.957,2.93,4
3ZgG8vSIEbgHxKawwMUHNB,"Lamin, KESI, Benny Jamz",Balance (feat. KESI & Benny Jamz),Denmark,0.898,0.704,4,-4.931,0,0.275,0.134,1.07e-06,0.0907,0.603,105.929,2.58,4
6e7KGsngU13kguy5hTvSxe,Gilli,Kender Ik' I Morgen,Denmark,0.845,0.604,1,-6.873,1,0.136,0.109,0.0,0.206,0.916,142.007,2.47,4
1o9F4qWXHHY2ExISuqGeev,"Baloosh, Shooter Gang",Autobahn (feat. Shooter Gang),Denmark,0.863,0.569,11,-6.027,0,0.0954,0.217,9.07e-06,0.0687,0.563,122.019,2.96,4
22ureEREoYmAIwxm8ZBSIK,Malte Ebert,Kun Med Dig,Denmark,0.599,0.653,11,-6.985,1,0.0307,0.22,0.0,0.326,0.472,126.03,3.12,4
1ugQtcwmKOXvKAYzhjncmv,Dean Lewis,Half A Man,Denmark,0.507,0.204,0,-11.575,1,0.0504,0.855,0.0,0.143,0.343,77.765,2.99,4
7fZBQnc0zXwVybgCIrQQil,"Imanbek, BYOR",Belly Dancer,Denmark,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,2.52,4
0YWa7stUSTPrqjoB6NhoxU,Rasmus Seebach,Livstegn,Denmark,0.769,0.7,0,-3.465,0,0.0285,0.0047,0.0,0.14,0.675,139.008,3.55,4
6BxGGPBdNexcy53euZsrga,"Artigeardit, KESI","Er Her (Artigeardit, KESI)",Denmark,0.589,0.706,5,-5.033,0,0.312,0.151,0.0,0.0692,0.711,125.546,2.62,5
3a6GwXyS27Phmpr9XMv1h7,Gilli,Miami Vicer,Denmark,0.765,0.788,11,-5.499,0,0.0699,0.0995,0.0,0.393,0.797,140.947,2.53,4
