track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
13E54FVYV7fzEfZhtrKn0K,"Cairokee, Marwan Pablo",Tarantino,Egypt,0.71,0.559,3,-7.478,0,0.0781,0.175,0.0,0.046,0.573,141.922,3.03,4
2BHxg3zP8IdRvvWPVavzqB,"Wegz, Ash",Amira,Egypt,0.755,0.594,6,-7.316,0,0.0422,0.12,1.74e-06,0.0666,0.629,117.948,4.49,4
1GKqff6G0zabRInKN9Vz1S,Cairokee,James Dean,Egypt,0.795,0.669,11,-7.434,0,0.0315,0.124,0.000458,0.188,0.54,113.982,4.08,4
5kdlxZ5skOYY3VK8RlfEIZ,Wegz,البخت,Egypt,0.78,0.59,3,-7.77,0,0.132,0.487,1.07e-05,0.115,0.66,104.977,3.44,4
4vIbws1xp082bv0zl8vLaJ,Cairokee,Basrah w Atooh,Egypt,0.74,0.507,3,-8.764,0,0.118,0.373,0.000201,0.239,0.551,103.993,3.96,4
1hpjMinSryyJGslYdF0cyy,Marwan Moussa,حدوته المانى,Egypt,0.717,0.598,0,-10.042,1,0.17,0.413,0.0,0.148,0.699,107.0,2.62,4
6cpTq72SH9QSocMTnGEKg5,"Afroto, Marwan Moussa",Brazil,Egypt,0.947,0.732,9,-5.764,1,0.355,0.15,0.0,0.134,0.673,120.083,3.53,4
641KAqGlHS7CH0wCrhh0Ir,"Husayn, FL EX",Stop - Magnolia,Egypt,0.747,0.465,1,-14.081,1,0.355,0.612,0.0,0.113,0.616,143.068,2.69,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Egypt,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
13CV3gU68sljNILYjjaIBR,"Wingii, FL EX",Khamsa,Egypt,0.805,0.666,7,-10.741,1,0.36,0.3,5.29e-06,0.613,0.502,142.974,2.31,4
