track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Estonia,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Estonia,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
4tRhRLBxIZ34Iw0eCuiC03,southstar,Miss You,Estonia,0.663,0.559,6,-12.876,0,0.0391,0.136,0.0894,0.108,0.296,145.007,3.44,4
41XLcwECxYj7tokaF2a7sA,nublu,kastehein,Estonia,0.554,0.8,11,-6.798,0,0.0585,0.0347,0.0986,0.121,0.27,121.932,2.7,4
39JofJHEtg8I4fSyo7Imft,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All) - Edit,Estonia,0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,3.78,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Estonia,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Estonia,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,2.42,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Estonia,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
1LIvdWNdKmHvU0FJvw2diN,"Luude, Mattafix",Big City Life,Estonia,0.615,0.902,3,-4.316,1,0.0859,0.0176,3.91e-05,0.103,0.298,87.03,2.45,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Estonia,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Estonia,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
6yWAlfKGH5AMHlxT4ZtCVg,"Púr Múdd, Grete Paia",Ainult Unustamiseks,Estonia,0.596,0.795,2,-5.483,0,0.048,0.111,0.0,0.147,0.37,125.046,3.02,4
7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",Estonia,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,3.28,4
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,Estonia,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,3.87,4
2XNRbWeHolZn9SqAUnxeO4,5MIINUST,vamos,Estonia,0.692,0.893,7,-4.803,1,0.0331,0.0211,0.0,0.0921,0.773,119.929,3.31,4
73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Estonia,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,3.43,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Estonia,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
7JCfnNY27xkr49svFwY5Pn,"kaw, nublu",MINNA KOOS (feat. Nublu),Estonia,0.765,0.739,6,-5.054,0,0.0627,0.0331,1.01e-06,0.277,0.534,124.056,2.36,4
3rb0tMq42WfggucPm0HHkA,"MEDUZA, James Carter, Elley Duhé, FAST BOY",Bad Memories (feat. Elley Duhé & FAST BOY),Estonia,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,2.48,3
1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Estonia,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,2.21,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Estonia,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
0uo7p6JtXF7U8x0ktN0Vty,Funk Tribu,Phonky Tribu,Estonia,0.731,0.873,11,-7.746,0,0.0518,0.000268,0.851,0.1,0.671,159.984,4.77,4
7wdwIaXUuzlu1grzWMFRJm,Ghost,Mary On A Cross,Estonia,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4.08,4
1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,Estonia,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4.01,4
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Estonia,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3.89,3
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Estonia,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
2uNrriUaePhbbmsXT8HQJU,INSTASAMKA,POPSTAR,Estonia,0.808,0.688,7,-8.964,0,0.0493,0.115,0.0251,0.114,0.377,120.039,2.3,4
3Oww84xrmgjyr5J1ilOmAf,"Luude, Colin Hay",Down Under (feat. Colin Hay),Estonia,0.308,0.86,11,-4.111,0,0.168,0.0116,0.000828,0.277,0.0387,171.835,2.65,4
4yU0tY2zj2RgpxPuBKinMR,"Andrei Zevakin, An-Marlen",Valikud (feat. An-Marlen),Estonia,0.739,0.85,3,-5.974,1,0.0567,0.0293,0.000954,0.189,0.928,146.0,2.74,4
54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Estonia,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,2.75,4
