track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
6qverLcFcryBhJBgomIZjw,"Turisti, Elastinen",Tippa-T,Finland,0.771,0.658,2,-5.205,1,0.0912,0.0261,0.0,0.273,0.49,99.993,2.28,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Finland,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
2G1gCuldjtW9xcN1n1yenB,"Isac Elliot, Sexmane",Makso Mitä Makso,Finland,0.704,0.818,1,-4.71,0,0.0318,0.0324,0.0205,0.356,0.909,129.962,2.76,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Finland,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
2h9FYDFYIScQ4dHtsL70gn,"Joe L, Costi",DEEP DOWN (feat. Costi),Finland,0.845,0.735,2,-6.618,1,0.0335,0.0841,0.0082,0.108,0.584,120.02,3.08,4
22KSKT3mCbSiG4RT20ogxB,"Gettomasa, Van Hegen",Shamppanjadieetillä,Finland,0.862,0.532,7,-5.765,0,0.086,0.21,0.00154,0.193,0.453,102.017,2.58,4
2N780yabixU5WBrkTtfwLs,"DAVI, Ardian Bujupi",Rakastunu Gangstaa - Lotto Remix,Finland,0.776,0.631,5,-8.071,0,0.101,0.124,3.12e-05,0.0675,0.873,103.026,2.86,4
1RCQAeceDgtbD7WVLWr05S,Haloo Helsinki!,Reiviluola,Finland,0.642,0.633,1,-6.746,1,0.0418,0.000815,4.64e-05,0.12,0.553,135.008,4.12,4
0lPrY8sXUen0bqga0BIeWa,KUUMAA,Tulipalo,Finland,0.739,0.678,10,-7.47,1,0.029,0.248,1.21e-05,0.128,0.581,122.032,3.06,4
76WsnMaiOG5ky6ENnJjI0r,"Fabe, JVG",Koko Yö (feat. JVG),Finland,0.751,0.798,0,-6.967,1,0.113,0.0166,2.38e-05,0.111,0.536,145.014,3.46,4
