track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3D29kjUyWxsT3jUUTtARVQ,Gazo,DIE,France,0.695,0.63,8,-7.16,0,0.035,0.229,0.0,0.118,0.55,130.968,4.01,4
6PrB4KpvuoYWtwjPC5a44S,"Soolking, Niska",Balader,France,0.603,0.802,4,-5.089,0,0.111,0.306,5.06e-05,0.124,0.787,130.121,2.94,4
4ZpIuzx91EAPK3VimONbfB,"ZEG P, Hamza, SCH",FADE UP,France,0.758,0.599,4,-5.99,0,0.0877,0.57,1.13e-06,0.129,0.557,129.96,3.65,4
6OZwia8loN0aPS0vTvsBjR,"Alonzo, Ninho, Naps",TOUT VA BIEN (feat. Ninho & Naps),France,0.66,0.72,3,-5.874,0,0.0753,0.301,0.0,0.226,0.628,99.937,3.22,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),France,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
0z3bi63SNZ5ylyHOzb81Uq,Gambi,PETETE,France,0.752,0.669,10,-9.817,0,0.251,0.167,0.0,0.0795,0.627,155.997,2.06,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,France,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
0H5JKQ7qQ5MBeRSZSieZsM,Lomepal,Mauvais ordre,France,0.764,0.43,4,-9.956,0,0.0594,0.767,0.0585,0.0843,0.426,143.992,3.66,4
7IXQrRgmHxWYWitSlyFY7z,"Kerchak, Ziak",Peur (feat. Ziak),France,0.715,0.836,11,-4.972,1,0.366,0.203,0.0,0.0288,0.777,160.015,3.17,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),France,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,France,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
48BdA5qBxXVoe59xvu0bwc,Gazo,RAPPEL,France,0.486,0.786,4,-6.468,0,0.209,0.441,4.46e-06,0.077,0.534,94.644,3.63,3
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,France,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,France,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
3TVUW7bJJWDOonkVCZxfLV,Beendo Z,Pas bête,France,0.734,0.532,7,-9.038,0,0.102,0.361,0.0,0.105,0.491,138.043,2.39,4
4VpmtsVKIRfNlmrtaEnrQi,Lomepal,À peu près,France,0.739,0.682,10,-6.811,1,0.0561,0.089,0.000259,0.526,0.638,129.983,3.41,4
3BsYL1gVsiFpo0bM8oTbi0,"Mig, Tiakola",Quand j'y repense,France,0.609,0.692,4,-5.887,0,0.24,0.614,0.0,0.147,0.718,139.873,3.23,4
5QQKWOwPjG9vcDBTQ5Hv5Q,"PEDRO SAMPAIO, Anitta, Dadju, Mc Pedrinho, Nicky Jam","DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix",France,0.763,0.669,9,-4.402,0,0.0651,0.156,0.0,0.0867,0.609,135.028,3.53,4
5EWPzyWm0b9McPS5Qyaijp,Pierre de Maere,Un jour je marierai un ange,France,0.544,0.578,7,-9.49,0,0.18,0.216,1.92e-06,0.0949,0.219,169.973,2.76,4
