track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
7sJNeWTXkZCEC7OnFMpGWL,"Luciano, Aitch, BIA",Bamba (feat. Aitch & BIA),Germany,0.797,0.791,10,-6.281,1,0.33,0.119,0.0,0.113,0.828,138.026,3.39,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Germany,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
1Fb8gCHRkmNAaN8vytd5vg,"Luciano, Central Cee",West Connect (feat. Central Cee),Germany,0.92,0.571,10,-7.133,0,0.494,0.0681,0.0,0.0969,0.465,139.99,3.54,4
70Xfh3baxA4xusCiV5B5jg,"Jamule, FOURTY",KISSENSCHLACHT,Germany,0.91,0.447,1,-5.58,1,0.0688,0.101,0.000377,0.138,0.315,125.021,2.85,4
6yeZM8gyykjaf8w0GqRfK4,Nina Chuba,Wildberry Lillet,Germany,0.89,0.521,6,-7.048,0,0.169,0.078,0.0,0.0958,0.646,139.981,2.2,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Germany,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
6Pk9SrYcNROzVANFESonWh,Pashanim,Doppel G,Germany,0.716,0.661,5,-8.171,0,0.0655,0.467,0.000402,0.135,0.887,154.827,2.05,4
0g2leZuI3jD5pRsrRIDvYe,"Miksu / Macloud, makko",Nachts wach,Germany,0.719,0.683,6,-7.083,0,0.255,0.58,0.0,0.304,0.634,136.151,2.98,4
5xX2LYdXyx0Boa61rZOjq5,Luciano,Beautiful Girl,Germany,0.846,0.42,11,-8.659,0,0.104,0.296,0.00134,0.09,0.621,139.883,2.97,4
4tRhRLBxIZ34Iw0eCuiC03,southstar,Miss You,Germany,0.663,0.559,6,-12.876,0,0.0391,0.136,0.0894,0.108,0.296,145.007,3.44,4
6ZjuBJah2xFEl4z3X20di3,"Miksu / Macloud, makko",Nachts wach (Lila Wolken Bootleg),Germany,0.667,0.849,10,-4.4,0,0.124,0.165,4.8e-05,0.107,0.752,155.002,2.63,4
1IhwTymQA1QFgQJu4ZjYtW,Pashanim,2019 (justbars rmx),Germany,0.731,0.466,1,-9.402,1,0.362,0.389,0.0,0.337,0.3,129.63,1.73,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Germany,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
