track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
2wuJWqcn6bJWIJCmb83Yeu,SIDARTA,ERIMO,Greece,0.661,0.734,8,-4.356,0,0.157,0.423,0.00165,0.15,0.68,127.897,3.57,5
3xo0AJj0gWlp51SqoGaGDv,RICTA,Emmonh,Greece,0.799,0.582,9,-8.3,0,0.225,0.793,0.000133,0.093,0.23,100.028,3.94,4
6XK6R1ir3k0iPkwGbmVIEV,"FLY LO, Mike G",Crystal,Greece,0.706,0.716,0,-5.263,1,0.13,0.221,0.0,0.157,0.0798,100.025,2.65,4
5dKi5wRWzTPWHmUxpq96Hf,"SIDARTA, Beyond",AKOMI,Greece,0.661,0.61,2,-7.939,1,0.0677,0.429,0.0,0.156,0.217,95.02,2.95,4
1OGTkqFF8EmYZvDLuHAXsw,"Rack, Beyond",AMOR,Greece,0.772,0.749,1,-8.113,1,0.0856,0.233,0.142,0.111,0.343,121.976,3.25,4
0v4BTk3Vlhmfduww4WFOwA,"SIDARTA, Beyond",ADRENALINA,Greece,0.643,0.826,7,-6.215,1,0.0929,0.031,0.000503,0.199,0.346,117.871,3.66,4
0OyiXp4CdjqOYDSpzgfEx7,"Rack, Oge, MENJU",FAVELA,Greece,0.722,0.649,6,-9.893,1,0.0877,0.0333,0.189,0.108,0.389,106.048,2.83,4
29kTgA9pGo9RYwhED65ZrS,"Light, Fy, Trannos",Obsessed,Greece,0.797,0.68,10,-8.628,0,0.103,0.0479,0.0,0.0712,0.593,145.092,3.62,4
1O4LjNjQxnzqECfTKGkko6,SNIK,Erotas,Greece,0.911,0.717,9,-6.111,0,0.337,0.501,0.00109,0.057,0.42,122.978,2.41,4
29GUBTed1wOd9TGkNYgz1n,"SIDARTA, Saske, Beyond",MEDITERRANEAN,Greece,0.717,0.73,4,-6.738,0,0.0508,0.205,0.0,0.084,0.493,97.079,3.05,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Greece,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
0VfJj7Z3IQjF6lh5DhQYTs,"Strat, Ivan Greko, Saxpas",Den Exw Sima,Greece,0.753,0.625,1,-4.197,0,0.105,0.312,0.0,0.0684,0.344,99.981,2.44,4
3N2iBFazoTUIvgcqu2PdDZ,"Trannos, Eleni Foureira",Egw & Esy,Greece,0.981,0.775,3,-5.162,0,0.0383,0.17,0.0,0.198,0.967,122.035,3.11,4
5btENPtD4TAjRGkC4IXafe,"Light, Melisses, Skive",Epiloges,Greece,0.552,0.433,1,-9.586,1,0.385,0.32,0.0,0.0706,0.312,150.608,3.72,5
2QDibAx72jveQXPBXOKjx2,"Light, Trannos",24hrs,Greece,0.746,0.662,6,-6.706,1,0.0875,0.0694,0.0,0.296,0.68,102.024,2.92,4
718XWLo3fyDFH5RWp5Q5nN,"RICTA, Night Grind",Salonikios,Greece,0.598,0.603,2,-7.783,1,0.504,0.369,2.62e-06,0.0793,0.624,93.328,2.81,4
38doLxZXMnFU2rwImjshPY,"Sadam, Solid",Gia Sena,Greece,0.71,0.934,5,-6.098,1,0.0825,0.235,0.00196,0.172,0.65,104.018,3.69,4
61BaxNqs8df4B4Vtndb9DE,"Mad Clip, Light, Skive",Nani,Greece,0.839,0.74,10,-4.909,0,0.224,0.249,0.0,0.176,0.32,96.98,3.84,4
2oAoWaGzQeq8JMywmukQ8J,"Hawk, Baghdad",CELINE,Greece,0.934,0.411,9,-6.988,0,0.172,0.143,6.12e-06,0.0769,0.381,100.023,2.45,4
7I6fZpYaW9BjlXJEKFL1Su,"Rack, BretBeats, Beyond",DEN EIMAI DIKOS SOU,Greece,0.431,0.65,10,-9.809,0,0.181,0.402,0.00124,0.149,0.53,90.046,3.6,4
0PUzUn6NlCsVeomsUg9SKx,"TOQUEL, SIDARTA, Beyond",Palmous,Greece,0.782,0.626,0,-8.35,1,0.197,0.573,1.31e-06,0.36,0.3,97.994,3.18,4
2WmQtBy5wG8rdeqYhwljNK,"Roi 6/12, TOQUEL",Forema,Greece,0.669,0.568,8,-9.986,1,0.482,0.632,0.0022,0.125,0.535,198.076,2.85,4
5tbMaO9qbA9dMQnoOtRAUR,"Bossikan, Roi 6/12, WhiteShadow",Bossidonas,Greece,0.792,0.653,0,-6.835,1,0.0927,0.0355,0.16,0.135,0.635,101.014,2.91,4
1zB8iM97STLlKaweWhtasO,"Eleni Foureira, Bobito, Ayman",El Telephone,Greece,0.875,0.618,11,-6.002,0,0.0508,0.0347,4.18e-05,0.0305,0.779,99.983,2.84,4
