track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Guatemala,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,2.71,4
5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Guatemala,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,3.55,4
6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Guatemala,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98,4
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Guatemala,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Guatemala,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Guatemala,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4.3,4
31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Guatemala,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,2.89,4
6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Guatemala,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,4.1,4
7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,Guatemala,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,3.5,4
5JhUm1v5AbI5Yu6jLKCPRO,Grupo Frontera,No Se Va - En Vivo,Guatemala,0.594,0.527,0,-9.335,1,0.0335,0.121,0.0,0.234,0.692,172.712,3.23,4
74WROFXsox6wkeUrEK2DS6,Eden Muñoz,Chale,Guatemala,0.551,0.436,8,-8.029,1,0.0428,0.395,0.0,0.0719,0.862,188.651,2.85,3
2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,Guatemala,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,2.6,4
0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Guatemala,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,4.04,4
5PfFHceiEv61KldMOuVrv8,"Peso Pluma, Luis R Conriquez",Siempre Pendientes,Guatemala,0.774,0.748,0,-7.086,1,0.0352,0.331,0.0057,0.126,0.714,135.929,3.11,3
41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhay Cortez",Tarot,Guatemala,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,3.96,4
4tYFy8ALRjIZvnvSLw5lxN,"Bad Bunny, Rauw Alejandro",Party,Guatemala,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,3.79,4
1797zYiX4cKosMH836X9Gt,"Bad Bunny, Tony Dize",La Corriente,Guatemala,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,3.31,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Guatemala,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
1ga4PztXOIw1yBbdUt2X8v,"KAROL G, Maldy",GATÚBELA,Guatemala,0.627,0.858,11,-2.824,0,0.386,0.263,0.0,0.21,0.342,92.523,3.49,4
0UXlu64mDLvfzR8IXMz06J,Christian Nodal,Ya No Somos Ni Seremos,Guatemala,0.588,0.452,7,-4.75,1,0.0268,0.437,0.0,0.344,0.734,139.953,3.1,4
5kpxVMDvYGRmNqawPqDTYR,"La Adictiva, Luis R Conriquez",JGL,Guatemala,0.702,0.586,8,-5.317,1,0.118,0.55,0.0,0.27,0.965,112.852,2.63,4
4w273WCBXwM4P3jTX5HkB2,"Grupo Marca Registrada, Junior H",El Rescate,Guatemala,0.794,0.594,7,-8.698,0,0.139,0.283,0.000381,0.109,0.637,99.238,2.68,3
0uBcoM4zxRXk7kmsmxoiFS,"Grupo Firme, Luis Mexia",Calidad,Guatemala,0.731,0.491,0,-3.116,1,0.029,0.609,0.0,0.262,0.781,132.891,2.83,3
79HZAZNnOE97rb2hnI0XQr,"Rauw Alejandro, Lyanno, Brray",LOKERA,Guatemala,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,3.25,4
4gzsuuZypVbxs0Af1LSZyB,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Guatemala,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,3.46,4
6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Coco,Guatemala,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-06,0.176,0.744,151.991,3.27,4
5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,Guatemala,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,2.95,4
1UdzJEpgJxtuXAlCOvD4S0,Danny Ocean,Fuera del mercado,Guatemala,0.453,0.673,8,-5.649,1,0.144,0.32,0.0,0.131,0.266,92.06,2.66,4
1dm6z1fWB0cErMszU25dy2,Bad Bunny,Después de la Playa,Guatemala,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293,3.84,4
7gwT3HGL84vF7bgtwL1N88,Lasso,Ojos Marrones,Guatemala,0.809,0.649,8,-4.433,0,0.0416,0.0407,0.0,0.145,0.72,120.014,3.31,4
6mmPpaltUZK7xjNlBPQQ0p,"Rauw Alejandro, Chencho Corleone",Desesperados,Guatemala,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,3.75,4
2rurDawMfoKP4uHyb2kJBt,"Shakira, Rauw Alejandro",Te Felicito,Guatemala,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,2.87,4
2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Guatemala,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,3.45,4
48AJSd42lXpicsGqcgopof,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,Guatemala,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,3.21,4
0T2pB7P1VdXPhLdQZ488uH,Feid,Normal,Guatemala,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,2.86,4
4d4ZXH4dr5bYfgErHiZCX2,Bad Bunny,Dos Mil 16,Guatemala,0.817,0.67,1,-6.534,1,0.0506,0.123,1.92e-06,0.128,0.495,130.058,3.48,3
3p6eieHX6oEOzJStPtEsLu,Calibre 50,Si Te Pudiera Mentir,Guatemala,0.764,0.585,2,-7.796,1,0.0305,0.348,0.00294,0.369,0.89,90.013,4.26,4
7Jph6HJbfURt4Fea19IED3,Grupo Marca Registrada,Si Fuera Fácil,Guatemala,0.794,0.677,10,-9.969,1,0.0713,0.446,0.0313,0.076,0.611,101.467,2.84,3
7FlQk2gJ6TBrHHiidvdR2O,"Becky G, KAROL G",MAMIII,Guatemala,0.836,0.703,4,-3.554,0,0.0657,0.0845,0.0,0.138,0.902,94.048,3.77,4
3ZGkdrigbWXLgHungXfZkt,"Junior H, Luis R Conriquez",Los Botones Azules,Guatemala,0.784,0.737,5,-2.174,1,0.0758,0.0877,0.0,0.1,0.623,97.5,2.26,3
