track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
172oAbLGpgeCsukno7oBRe,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),Hong Kong,0.319,0.198,0,-11.611,1,0.0402,0.942,8.65e-06,0.0817,0.287,62.925,5.13,4
11IqNbLOD4s4nVYSuEttFR,Keung To,"Dear My Friend,",Hong Kong,0.646,0.452,0,-8.152,1,0.0307,0.723,0.0,0.117,0.266,94.566,3.87,4
1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Hong Kong,0.635,0.389,5,-13.106,0,0.0638,0.443,0.0,0.114,0.667,79.991,4.21,4
2lMVTk3I232dE7jnkufOSt,MC 張天賦,老派約會之必要,Hong Kong,0.679,0.563,10,-7.009,1,0.0334,0.503,0.0,0.102,0.631,107.014,3.73,4
1UJYWfzyPjRwmlCawgJroV,Anson Lo 盧瀚霆,King Kong,Hong Kong,0.683,0.885,2,-2.827,1,0.0883,0.14,0.0,0.137,0.285,114.017,3.78,4
4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Hong Kong,0.624,0.667,10,-6.938,0,0.111,0.0399,3.42e-05,0.104,0.223,147.037,4.21,4
4pnqbvjkdoIKUzmfr1bUho,Anson Lo 盧瀚霆,Mr. Stranger,Hong Kong,0.418,0.718,10,-5.282,0,0.142,0.0461,0.0,0.249,0.526,81.905,3.46,4
33bb4ipPqbeTdZLOAix27Z,Anson Lo 盧瀚霆,Megahit,Hong Kong,0.611,0.702,11,-3.554,0,0.0568,0.106,0.0,0.127,0.487,122.802,3.42,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Hong Kong,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
6flgMTTqhbJSNryAPCYcvA,陳卓賢 Ian,留一天與你喘息,Hong Kong,0.411,0.482,9,-8.081,1,0.0475,0.574,0.0,0.227,0.261,172.079,4.32,4
1ZrnCyms7CBYsCvkkVIkt8,MC 張天賦,記憶棉,Hong Kong,0.491,0.533,9,-7.594,1,0.0473,0.393,0.0,0.0944,0.214,149.856,4.56,4
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Hong Kong,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
2rbbJ2xZFJa2DriR5h0TBS,陳卓賢 Ian,Distance,Hong Kong,0.368,0.754,1,-4.893,1,0.317,0.166,0.0,0.112,0.522,170.029,3.08,4
7zYZYyaMmfsc7Jp4ZHd6UX,Anson Lo 盧瀚霆,不可愛教主,Hong Kong,0.656,0.445,1,-11.652,0,0.0291,0.445,6.09e-06,0.14,0.389,92.018,3.83,4
7xE3HkKaZFhtzrt2FiwNOd,Keung To,Master Class,Hong Kong,0.73,0.494,0,-9.266,1,0.094,0.331,2.4e-06,0.0906,0.381,92.014,3.55,4
2pFkBa11TZLwI4t4uzIWdi,陳卓賢 Ian,Got U,Hong Kong,0.655,0.579,2,-7.545,1,0.0347,0.491,0.0,0.225,0.434,92.965,2.87,4
3U1sSlezn9BdzqsEx4VfHT,MC 張天賦,小心地滑,Hong Kong,0.653,0.811,2,-5.68,0,0.0363,0.262,0.0,0.1,0.404,115.515,3.99,3
1rTnGbIahUmq6fK8RWAXfd,陳卓賢 Ian,鯨落,Hong Kong,0.598,0.48,5,-8.073,1,0.0324,0.713,0.0,0.134,0.382,122.875,4.04,4
2P5Eeh29qJrYa1T27cdL3B,MC 張天賦,反對無效,Hong Kong,0.703,0.607,0,-7.823,1,0.0409,0.716,0.0,0.112,0.819,118.973,3.81,4
433FK3gktWwmjkAPMSqVNO,MC 張天賦,時候不早,Hong Kong,0.737,0.483,9,-6.416,1,0.0311,0.318,0.0,0.293,0.514,83.966,3.68,4
2i40AXmoYGkzzW3C3OUoG6,Terence Lam,記得,Hong Kong,0.405,0.128,5,-17.609,1,0.0332,0.942,0.000303,0.109,0.365,137.936,3.89,4
40NvsEFexANIROSnKIMYXB,"Leo Ku, MC 張天賦",自我安慰,Hong Kong,0.546,0.409,10,-7.318,1,0.031,0.756,0.0,0.0764,0.412,84.116,5.14,4
5AnD1Tmu5hKPeHGyxGq6LJ,"Leo Ku, Edan 呂爵安",飄流教室,Hong Kong,0.527,0.418,7,-8.169,1,0.0296,0.882,0.0,0.0889,0.631,109.675,4.58,4
1WzMnzTmdWbJZ3OhizMtbX,"MC 張天賦, Kaho Hung",Frenemy,Hong Kong,0.59,0.513,11,-7.962,1,0.0283,0.578,0.0,0.093,0.52,129.909,3.92,4
2xmXF3hihKntUgTo1g4Lko,MC 張天賦,乾,Hong Kong,0.531,0.342,6,-11.622,1,0.0319,0.667,0.0,0.0893,0.222,110.332,3.65,3
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,Hong Kong,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,2.95,4
7ajpbW6tBpqUI9foCtwlLw,YOASOBI,祝福,Hong Kong,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08e-05,0.297,0.541,170.045,3.27,4
7wDHnKKyw7GSw9ihEHTXm3,Hins Cheung,賽勒斯的愛,Hong Kong,0.497,0.426,3,-8.605,1,0.0318,0.552,0.0,0.254,0.335,139.577,4.16,4
5DHjpB2vk29BySgvGKq6IW,"Leo Ku, Keung To",愛回家,Hong Kong,0.739,0.45,10,-10.189,1,0.0347,0.763,2.26e-06,0.102,0.368,120.017,4.16,4
7mykoq6R3BArsSpNDjFQTm,"Rosa Walton, Hallie Coggins",I Really Want to Stay at Your House,Hong Kong,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,4.11,4
4c9hHw1PUYXHfKFASXo8H0,Terence Lam,某種老朋友,Hong Kong,0.363,0.393,8,-12.848,0,0.0507,0.918,0.00641,0.113,0.407,143.865,4.5,4
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,Hong Kong,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
2W9MxlcyMWmeHgZNnCSosb,Kaho Hung,污糟兒,Hong Kong,0.642,0.452,11,-9.99,0,0.0336,0.837,0.0,0.134,0.521,124.002,3.75,4
