track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
18DVypBkvcJtVFzQr5Ly7J,"Beton.Hofi, Hundred Sins",BAGIRA,Hungary,0.678,0.825,11,-5.422,0,0.299,0.194,0.0,0.694,0.51,86.11,2.07,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Hungary,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
1o0TkBcMTkkOg1KUeB4riK,Azahriah,four moods,Hungary,0.538,0.669,2,-8.325,0,0.217,0.37,1.06e-06,0.13,0.198,101.993,3.39,4
0nQuoTxzDIVoWzaTgF5xtW,"Dzsúdló, Azahriah",Várnék,Hungary,0.682,0.691,6,-4.227,1,0.0627,0.405,0.0,0.125,0.69,75.96,3.12,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Hungary,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
6Rc6C6S4lgT5j1OekgI155,"Azahriah, DESH",Pullup,Hungary,0.726,0.632,11,-8.655,1,0.112,0.106,0.0,0.0923,0.289,86.905,2.28,4
33zWUivvsRkfnOYx4FUmPt,Kiss Kevin,Csinibaba,Hungary,0.629,0.855,3,-7.04,0,0.0735,0.172,0.0,0.126,0.677,134.028,2.5,4
5hAuDDOTUaspvHJSm2AltF,"Manuel, VALMAR",Palvin,Hungary,0.683,0.417,5,-20.133,0,0.047,0.173,0.0,0.08,0.921,99.046,3.14,4
4Os68ICIOhJVOPfl53TjBP,"Beton.Hofi, ajsa luna, Hundred Sins",TISZALÖK,Hungary,0.731,0.578,11,-5.059,1,0.167,0.138,2.29e-06,0.109,0.608,79.997,2.6,4
7cU3vDXfkH4bAemYBxuoJT,"Azahriah, DESH",Miafasz,Hungary,0.696,0.707,8,-6.704,0,0.217,0.368,0.0,0.111,0.506,87.478,3.23,4
2CilsBtWk8gwrTAYUmO7Xt,"Manuel, VALMAR",Hajnalokig,Hungary,0.791,0.783,8,-3.541,1,0.0396,0.405,0.0,0.0502,0.879,110.069,2.58,4
3q8b8Rn1UB0bG9QG2yBgIQ,Ekhoe,Costa Rica,Hungary,0.915,0.484,6,-7.738,0,0.41,0.16,0.0,0.0892,0.383,122.013,2.35,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Hungary,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
1tAyEL10PQDcIvEL2o75wt,Azahriah,figyelj,Hungary,0.683,0.683,9,-7.846,1,0.036,0.124,3.14e-06,0.159,0.234,110.933,2.74,4
2YmkWevzHTiEyvgjdTKB3r,Bruno X Spacc,Aha-Aha,Hungary,0.859,0.672,0,-5.355,1,0.047,0.43,0.0449,0.0726,0.524,95.973,2.21,4
7A9EcBrwTG6bwswUy7beWW,"Beton.Hofi, Hundred Sins",PLAYBÁNIA,Hungary,0.278,0.508,9,-7.072,0,0.0968,0.74,0.0,0.103,0.0409,174.912,3.08,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Hungary,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
5RIVjLrjv7mw8LUihkuoLC,ibbigang,Pak Pak,Hungary,0.906,0.523,1,-7.393,1,0.279,0.0587,0.0,0.0954,0.515,95.985,2.67,4
54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Hungary,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,2.75,4
