track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
5fDCy4Hse30ZsjaTUGKVh5,"Lyodra, Andi Rianto",Sang Dewi,Indonesia,0.339,0.58,6,-5.426,1,0.0319,0.554,2.15e-05,0.421,0.319,81.857,4.13,4
3TFdXrYIubXABQh0CxIiSs,Soegi Bornean,Asmalibrasi,Indonesia,0.721,0.565,4,-6.208,1,0.0292,0.855,5.48e-06,0.0973,0.794,139.941,4.25,4
1b0aDgrG775i4sPQgJGmkU,Keisya Levronka,Tak Ingin Usai,Indonesia,0.49,0.398,0,-7.712,1,0.0266,0.815,0.000187,0.114,0.136,129.772,4.64,3
6gB7kLGZNkf5tkvWkzSGKR,Mahalini,Kisah Sempurna,Indonesia,0.537,0.486,11,-8.521,1,0.0336,0.51,1.65e-05,0.0817,0.0861,122.099,4.6,4
2hHeGD57S0BcopfVcmehdl,Tulus,Hati-Hati di Jalan,Indonesia,0.643,0.436,6,-11.322,1,0.0357,0.702,0.0889,0.115,0.755,71.969,4.03,4
2dIBMHByUGcNPzmYBJ6OAj,Hindia,Evaluasi,Indonesia,0.609,0.966,7,-4.469,1,0.0571,0.00194,2.83e-06,0.304,0.505,102.014,3.24,4
6pmo9ha8iOPZc5lxPU9o8w,Mahalini,Sisa Rasa,Indonesia,0.488,0.405,8,-6.324,0,0.0302,0.503,6.86e-06,0.108,0.152,122.049,4.25,4
6Hii26x3qDErVitnGW8QtO,"Feby Putri, Fiersa Besari",Runtuh,Indonesia,0.593,0.287,3,-13.164,1,0.0289,0.876,0.000136,0.119,0.191,127.783,3.73,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Indonesia,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
7BhRGeqNpBw1QilknM0svo,Ziva Magnolya,Pilihan Yang Terbaik,Indonesia,0.49,0.287,3,-9.003,1,0.0394,0.923,0.000391,0.131,0.197,120.702,3.9,4
3w75Uvn1cojNlBhQoxpVP3,Fabio Asher,Rumah Singgah,Indonesia,0.466,0.228,8,-10.666,1,0.0305,0.717,0.0,0.107,0.366,77.982,4.11,4
0mMqopQJOWADJSPRMYkvTF,Yura Yunita,Dunia Tipu-Tipu,Indonesia,0.48,0.325,1,-8.513,1,0.0354,0.907,1.52e-05,0.112,0.619,111.774,3.65,5
6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Indonesia,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,2.94,3
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Indonesia,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3.89,3
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Indonesia,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
7mZxM64cMYQdx2vopaGrDf,Andmesh,"Andaikan Kau Datang - From ""Miracle in Cell No. 7""",Indonesia,0.323,0.126,9,-12.562,1,0.034,0.937,1.01e-06,0.11,0.322,84.881,4.12,3
1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,THE SHADE,Indonesia,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,3.03,4
1zxfRSZcaonV1VXcY0PgY5,NIKI,High School in Jakarta,Indonesia,0.873,0.488,7,-8.285,0,0.0413,0.531,0.000132,0.153,0.462,119.983,3.65,4
1ZPVEo8RfmrEz8YAD5n6rW,Juicy Luicy,Lantas,Indonesia,0.588,0.311,8,-8.143,1,0.025,0.791,0.0,0.352,0.545,86.022,3.9,4
2UgCs0i0rNHUH2jKE5NZHE,Andra & The Backbone,Sempurna,Indonesia,0.358,0.32,4,-9.946,1,0.0308,0.726,0.0,0.105,0.384,115.499,4.47,3
