track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Israel,0.832,0.647,9,-7.954,0,0.0755,0.0588,0.0014,0.411,0.488,102.036,2.89,4
7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,Israel,0.33,0.768,3,-6.433,0,0.129,0.75,0.0,0.963,0.361,156.52,4.55,4
3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,Israel,0.714,0.487,7,-7.396,1,0.0257,0.562,0.0,0.0895,0.528,100.009,3.79,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Israel,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,Israel,0.671,0.724,8,-8.799,1,0.0879,0.588,3.07e-05,0.47,0.941,167.998,3.61,4
1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,Israel,0.648,0.776,2,-7.552,1,0.0401,0.00956,0.0,0.145,0.625,92.033,3.13,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Israel,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Israel,0.552,0.433,6,-9.792,1,0.068,0.777,0.0,0.139,0.334,89.329,2.63,4
2XNXcmwubbt8MJYlQRb4V2,Odeya,אינטלקטוערס (Prod. By Triangle),Israel,0.782,0.659,8,-7.011,0,0.173,0.449,0.0158,0.36,0.781,118.021,2.54,4
3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,Israel,0.587,0.531,3,-7.844,0,0.0741,0.39,0.0,0.171,0.565,160.092,4.08,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Israel,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
7DS5SpsWS7rtKeAfe9rbfn,"Nunu, Sagi Kariv, Forever Tel Aviv",Cute Boy,Israel,0.768,0.8,1,-4.387,0,0.0913,0.113,0.000343,0.549,0.608,127.979,3.09,4
0UXXAYRUrknaz6FuaPKtFW,אליאב זוהר,מיכל,Israel,0.472,0.48,4,-7.615,0,0.0277,0.736,0.0,0.123,0.262,88.089,3.65,4
3iJQ54fGO6CyP374UzvDJu,Anna Zak,מי זאת,Israel,0.88,0.454,10,-8.404,0,0.0865,0.192,4.36e-06,0.0786,0.636,93.985,2.45,4
3hpaRxH73ciJCuH6QcNWXO,Eden Hason,מטפסים על הקירות,Israel,0.776,0.817,3,-6.216,0,0.0841,0.228,4.27e-05,0.0616,0.965,99.993,2.78,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Israel,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
5tNrVA1ySsk7HkV5yg2iXN,"Marina Maximilian, Itay Galo",עולה על שולחנות,Israel,0.825,0.783,4,-6.674,0,0.0452,0.123,0.00117,0.117,0.652,125.014,3.27,4
67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Israel,0.77,0.894,7,-4.653,1,0.218,0.318,0.00238,0.3,0.671,104.993,2.53,4
2O1af1DbXF7paOr7O5CRst,Avi Aburomi,ספרי להם הכל,Israel,0.483,0.776,10,-6.646,0,0.0667,0.0947,0.0,0.288,0.757,191.981,3.01,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Israel,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
