track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
50DsGEqRiQr6KdEYi0NuSP,"thasup, Lazza, Sfera Ebbasta",s!r! (feat. Lazza & Sfera Ebbasta),Italy,0.669,0.737,6,-4.603,0,0.0527,0.404,0.0,0.182,0.347,149.926,3.96,4
6Tj82tvIsDmfMTskuomuEq,Pinguini Tattici Nucleari,Ricordi,Italy,0.678,0.656,9,-5.97,1,0.0349,0.101,0.0,0.227,0.597,135.012,3.38,4
0GUPqrlZYs3ANVhAifVlgJ,"thasup, Tiziano Ferro",r()t()nda (feat. Tiziano Ferro),Italy,0.513,0.781,7,-5.564,1,0.204,0.483,0.0,0.347,0.682,78.748,2.66,4
78xAYXMtvQkDvlqJA3fKu6,"thasup, Rondodasosa",c!ao (feat. Rondodasosa),Italy,0.559,0.894,2,-3.622,1,0.215,0.119,0.0,0.108,0.473,93.994,3.55,4
2BkoXEOE6vvkOKVNjPax2B,"thasup, Shiva",ye@h (feat. Shiva),Italy,0.587,0.779,0,-3.804,1,0.162,0.154,2.06e-05,0.0493,0.641,145.1,2.61,4
1E1nbIsPDO1PdtQwsAKKF3,"thasup, Coez",!ly (feat. Coez),Italy,0.765,0.726,7,-5.26,1,0.0505,0.24,0.0,0.126,0.69,126.556,3.44,4
4HnloO8GMqz0IVJPANYXzo,"thasup, Mara Sattei",l%p (feat. Mara Sattei),Italy,0.893,0.521,1,-5.952,0,0.0616,0.153,0.0,0.0695,0.862,126.951,2.94,4
3W2tsZcoDxmNQaw61Kz1rb,thasup,mi @mi o è f@ke,Italy,0.669,0.802,5,-3.991,0,0.0564,0.139,0.0,0.0979,0.877,160.222,2.14,4
75vXpgRif6ZFOBemaQUTfu,thasup,okk@pp@,Italy,0.749,0.675,10,-4.878,1,0.0407,0.0993,0.000326,0.345,0.677,106.962,2.37,4
3XucsgiwXb8KPn9Csf9Zmu,"James Hype, Miggy Dela Rosa, Lazza",Ferrari - Remix,Italy,0.818,0.728,1,-5.705,0,0.0724,0.0985,0.0,0.0917,0.597,124.974,2.87,4
3g7ds9lLoBRTQag67wtUK3,"thasup, Rkomi",rock & rolla (feat. Rkomi),Italy,0.677,0.924,1,-4.63,1,0.121,0.0917,0.0,0.0896,0.923,136.122,2.95,4
1XpmMe95dk9jh3zuOMpeU2,Capo Plaza,Capri Sun,Italy,0.683,0.852,0,-2.755,1,0.0636,0.0454,0.0,0.246,0.448,93.068,3.33,4
1bQHZHNELY2uBOrOSRMXSr,thasup,mar+e,Italy,0.767,0.562,4,-6.483,0,0.212,0.449,0.0,0.361,0.444,124.174,2.73,4
7nLd1J81Y2o5UhUEFUeCsb,thasup,come t! vorre!,Italy,0.482,0.566,3,-7.7,1,0.0647,0.528,2.23e-05,0.103,0.348,121.717,3.3,4
18lJsd5w1ckiC8sebawPJA,"thasup, Salmo",cas!no nella m!a testa (feat. Salmo),Italy,0.72,0.828,6,-4.424,0,0.309,0.209,0.0,0.0804,0.744,90.076,2.45,4
53qZFgUIQKnFmdgsSDIYB1,"thasup, Tananai",sci@ll@ (feat. Tananai),Italy,0.829,0.792,8,-3.778,0,0.0796,0.0719,0.000444,0.0617,0.901,110.012,3.08,4
7Dh5zvgpoz2kW1sbj20QWI,thasup,_bilico_,Italy,0.68,0.767,11,-4.061,1,0.223,0.243,0.0,0.166,0.845,130.132,2.4,4
3vCa88ij0fqwttqJ7E7pQL,"thasup, Pinguini Tattici Nucleari",r!va (feat. Pinguini Tattici Nucleari),Italy,0.661,0.537,7,-8.288,0,0.0991,0.422,1.93e-05,0.173,0.731,60.035,2.84,4
7vsofh7bdDeL0n0lodFiCi,thasup,molecole (interlude),Italy,0.55,0.345,4,-12.153,1,0.0579,0.76,0.0,0.348,0.602,111.836,2.08,4
7iLuBTHJSXM2HalKHFqEEy,Pinguini Tattici Nucleari,Giovani Wannabe,Italy,0.739,0.81,11,-5.317,0,0.0311,0.0409,0.0,0.122,0.948,127.972,3.55,4
1hjmd711q5mJQmp6T0mdol,thasup,w()ah,Italy,0.754,0.806,8,-4.982,1,0.184,0.303,0.0,0.125,0.767,108.439,2.73,4
01DXwNf1GzEJkYTbXgL0eb,Lazza,USCITO DI GALERA,Italy,0.594,0.746,7,-5.853,0,0.137,0.188,0.0,0.0991,0.0802,164.231,2.88,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Italy,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
6K8MYTkn5mZzF6p14hV5cj,Icy Subzero,MUJER,Italy,0.651,0.819,4,-4.695,0,0.175,0.32,0.0,0.345,0.513,92.003,2.7,4
298vG7EUMAUWmvapd4PHL8,"Neima Ezza, Rondodasosa",LEI (feat. Rondodasosa),Italy,0.492,0.516,11,-4.083,0,0.0976,0.129,4.97e-06,0.0888,0.174,100.042,3.38,4
0SsUOrXUM2gZxVLYizZfQZ,"Lazza, Takagi & Ketra",PANICO (feat. Takagi & Ketra),Italy,0.788,0.731,4,-6.082,0,0.047,0.0615,0.0,0.0997,0.258,127.03,3.14,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Italy,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
3h043RAJ7tKaG1HDFeet6w,"Kaleb Di Masi, Sfera Ebbasta, Rvfv, Omar Varela",Hace Calor - Remix,Italy,0.889,0.618,5,-5.124,0,0.0627,0.367,0.00438,0.105,0.444,130.021,4.12,4
14XAuSrVFla2uyMiYVwQtq,"AVA, Medy, VillaBanks",TÊTE (feat. Medy & VillaBanks),Italy,0.588,0.744,1,-3.927,0,0.324,0.0153,0.0,0.0743,0.55,130.066,3.02,4
6ojrj2NSj3EkMm05yiuaMG,Fred De Palma,Extasi,Italy,0.859,0.776,0,-4.028,1,0.0749,0.0508,1.07e-06,0.0263,0.222,130.008,2.63,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Italy,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
73Pv4y14ADVQRmVL6FKpZt,thasup,b@by nel bed,Italy,0.626,0.818,7,-4.45,1,0.0685,0.271,0.0,0.0555,0.552,140.003,2.01,4
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Italy,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
6BUueuMQR4k7CuoMEsnGou,"Lazza, Sfera Ebbasta",PIOVE (feat. Sfera Ebbasta),Italy,0.381,0.627,4,-5.446,0,0.114,0.232,0.0,0.0803,0.458,187.835,2.6,5
22gH5Qg5j5ZzF7LaR7Nrkj,BLANCO,Nostalgia,Italy,0.644,0.904,0,-3.749,1,0.0605,0.0372,0.0,0.0767,0.562,130.061,3.04,4
1kbngfAC4VUm2Ybrohrmb6,thasup,m%n,Italy,0.744,0.667,10,-4.668,0,0.0543,0.522,0.0,0.0837,0.517,128.637,2.91,4
0wYLKVYLjJ06NS9GlMecrG,thasup,+ bla se c'è bling,Italy,0.564,0.665,7,-4.377,0,0.267,0.244,0.0,0.107,0.759,130.121,1.91,5
2dTjaUZFpnlohX8oZ5A2sy,Paky,Auto tedesca,Italy,0.742,0.754,1,-3.026,0,0.266,0.0702,0.0,0.0752,0.614,159.929,2.66,4
3z0GeNGWyVduziP1cQ0mFN,"Irama, Rkomi",5 Gocce (feat. Rkomi),Italy,0.742,0.808,4,-5.206,1,0.059,0.279,9.85e-06,0.325,0.846,74.992,2.67,4
1CGMJZj8kKIuK9kkO2TT7c,"Rose Villain, Tony Effe",Michelle Pfeiffer (feat. Tony Effe),Italy,0.778,0.679,5,-7.824,0,0.126,0.382,8.36e-06,0.178,0.57,130.074,3.01,4
0OHD6Ask31KqVqxge0OwlG,Ultimo,Vieni nel mio cuore,Italy,0.677,0.66,1,-7.104,1,0.0462,0.248,0.0,0.177,0.253,127.087,2.88,4
3fIB4IEcvjlzItwnFUvIBk,"Takagi & Ketra, thasup, Salmo",BUBBLE (feat. thasup & Salmo),Italy,0.803,0.709,9,-6.54,0,0.0432,0.0769,0.0,0.286,0.706,121.947,2.74,4
6QjpEvmiZIM9qgTQhg5dzi,"Night Skinny, Paky, Noyz Narcos, Geolier, Shiva","Giorni Contati (con Paky, Noyz Narcos, Geolier & Shiva)",Italy,0.643,0.688,10,-7.254,0,0.35,0.403,0.0,0.1,0.483,172.091,2.88,4
6SQmh0L5icrThwGDTeLkg1,Lazza,MOLOTOV,Italy,0.613,0.96,5,-4.343,0,0.0542,0.265,0.0,0.24,0.669,159.98,2.67,4
4EC028SvtlC25iHQSG2OIa,Rhove,Shakerando,Italy,0.855,0.805,7,-5.651,0,0.191,0.764,0.00708,0.302,0.469,135.009,3.26,4
3YjriLRvztHSDJOZRTTiQz,"Boomdabash, Annalisa",Tropicana (feat. Annalisa),Italy,0.927,0.591,11,-5.69,1,0.119,0.0165,2.87e-06,0.208,0.752,120.036,2.87,4
6B71WVOLfVTc038J4ZAHK0,"Fedez, Tananai, Mara Sattei",LA DOLCE VITA,Italy,0.737,0.858,8,-3.589,1,0.0527,0.0124,0.0,0.382,0.919,144.991,3.13,4
