track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
28MATCYDctW5EiBa2repxb,Ado,New Genesis,Japan,0.49,0.987,7,-2.279,1,0.253,0.049,3.24e-06,0.406,0.451,175.064,3.78,4
2Dzzhb1oV5ckgOjWZLraIB,なとり,Overdose,Japan,0.733,0.598,4,-9.453,0,0.0377,0.0307,1.7e-05,0.218,0.831,118.012,3.28,4
4NaaF28BeO9WzjDrSS71Nz,Mrs. GREEN APPLE,ダンスホール,Japan,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,3.39,4
4IfrM44LofE9bSs6TDZS49,Tani Yuuki,W / X / Y,Japan,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,4.64,3
5YQNjKZofFhlBCIzTVY6rW,Ado,I’m invincible,Japan,0.577,0.864,4,-2.92,1,0.0447,0.208,0.0,0.355,0.698,96.04,4.28,4
78MS9OT9Flm2V78fhTw4rk,Ado,Backlight,Japan,0.564,0.896,10,-3.875,0,0.108,0.000387,8.17e-06,0.374,0.713,145.023,3.96,4
1Vqs0lXeJafYZz2sxnfB3V,Saucy Dog,Cinderella Boy,Japan,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,3.91,4
0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,Japan,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,3.09,4
3IhHrBYZaxySuRu1zI7Vuk,Ado,Fleeting Lullaby,Japan,0.524,0.914,6,-2.104,1,0.12,0.179,0.0,0.17,0.63,89.015,2.89,4
4JK1kDUdH9RTBQrrSO1QfR,Yuuri,ベテルギウス,Japan,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,3.84,4
60ReNXcPcsVFd7nUuQw5HZ,Official HIGE DANdism,Mixed Nuts,Japan,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,3.56,4
1VHL1PIkhDwWbFc65xHwOr,Novelbright,愛とか恋とか,Japan,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,3.87,4
5W7Y92LB4jWvu9NeEQ0GZl,Macaroni Empitsu,なんでもないよ、,Japan,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,3.65,4
2uMNMcjjUz8oNIxjIu20qE,SEKAI NO OWARI,Habit,Japan,0.749,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,4.22,4
0ir7DGXo3hxaPa82h1vrOj,wacci,恋だろ,Japan,0.599,0.546,4,-6.795,1,0.0333,0.17,0.0,0.113,0.336,143.91,4.71,4
1RChlirFdgtS1ZPH45dJX0,Tani Yuuki,Mouichido,Japan,0.571,0.724,11,-5.381,1,0.0381,0.00408,0.0,0.361,0.315,131.975,4.18,4
