track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
2uNrriUaePhbbmsXT8HQJU,INSTASAMKA,POPSTAR,Kazakhstan,0.808,0.688,7,-8.964,0,0.0493,0.115,0.0251,0.114,0.377,120.039,2.3,4
0dY8qhMk6KOxw51j36GtlM,"Ulukmanapo, Bakr",Расстояние,Kazakhstan,0.608,0.591,5,-5.312,0,0.0854,0.489,9.01e-06,0.0919,0.562,84.866,3.01,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Kazakhstan,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
2DHX9faMGUQQTwD1Ot4ch2,INSTASAMKA,MONEYKEN LOVE,Kazakhstan,0.801,0.644,1,-7.37,1,0.118,0.0152,0.0644,0.123,0.261,100.025,2.28,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Kazakhstan,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
33r51tO7fefxJw4dKsY1qa,V $ X V PRiNCE,Мурашки,Kazakhstan,0.921,0.39,11,-13.349,0,0.196,0.264,0.000114,0.109,0.788,95.005,2.91,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Kazakhstan,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
6z3RBRZVdV34ZjFKgjmDXA,Bakr,Вредина,Kazakhstan,0.774,0.638,8,-6.298,0,0.161,0.742,9.61e-06,0.0793,0.641,144.986,2.65,4
6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kazakhstan,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,2.42,4
4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Kazakhstan,0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,5.84,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Kazakhstan,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Kazakhstan,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
5i3H6himHZaKZT3Dk8lr8Z,Bakr,Сирень,Kazakhstan,0.777,0.498,0,-7.709,0,0.0477,0.734,4.7e-06,0.0861,0.222,130.008,3.2,4
1iBDgZDBkV8LTjFbNDcvOO,Xcho,Про любовь,Kazakhstan,0.767,0.743,4,-6.819,1,0.203,0.357,0.0,0.86,0.516,140.018,2.35,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Kazakhstan,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,Kazakhstan,0.931,0.696,7,-6.656,1,0.187,0.336,2.49e-05,0.339,0.357,134.005,2.21,4
5oDzu4mpi13XnbBteabhYF,V $ X V PRiNCE,Суета,Kazakhstan,0.755,0.647,6,-7.339,0,0.127,0.297,0.0136,0.112,0.341,100.051,3.05,4
1P2goYva6Y2MYM9mPMcYKh,Bakr,Статус души,Kazakhstan,0.795,0.463,7,-12.1,0,0.144,0.45,0.0,0.118,0.342,139.968,2.97,4
5ra09IpXEagKCe9n1Zcb7x,"Qanay, ALI",Lolly,Kazakhstan,0.763,0.507,8,-8.268,0,0.0422,0.653,0.0756,0.117,0.758,106.028,2.7,4
0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,Kazakhstan,0.721,0.692,7,-2.927,1,0.0414,0.000166,0.275,0.104,0.531,120.005,2.7,4
2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,Kazakhstan,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,2.38,4
3qPi9H4HOdYIl9Lr4WPLJU,Bakr,Очи,Kazakhstan,0.894,0.548,5,-6.839,0,0.0469,0.815,1.06e-06,0.104,0.629,114.031,2.85,4
4TQfMvGF7yMIspZ0CNLaCu,Hiro,Особа крутая,Kazakhstan,0.824,0.416,2,-9.471,1,0.132,0.0694,0.00374,0.095,0.445,105.034,3.44,4
0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,Kazakhstan,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,3.09,4
3b1csq4T7y11X9WSAweCB4,Bakr,Эталон красоты,Kazakhstan,0.63,0.551,1,-7.425,1,0.271,0.463,0.0,0.127,0.479,119.075,3.11,5
2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,Kazakhstan,0.633,0.433,1,-8.833,1,0.229,0.0053,0.28,0.145,0.373,122.088,2.03,4
5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Kazakhstan,0.706,0.91,1,-3.527,1,0.146,0.175,2e-06,0.11,0.667,126.007,1.78,4
47vnQjxyQYM30wkZTgTIpO,Duman,Жіберем қалай?,Kazakhstan,0.685,0.495,6,-7.846,0,0.0413,0.473,0.0,0.104,0.354,132.167,2.67,4
1vievxaPscSfHvaduvcSE2,"V $ X V PRiNCE, Кисло-Сладкий & Bonah",Дом 50,Kazakhstan,0.623,0.452,7,-5.732,0,0.388,0.0619,0.0,0.0549,0.509,83.492,2.65,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Kazakhstan,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
75C98tVaHUtjYZTIcy9U7U,Xcho,Ты и Я,Kazakhstan,0.863,0.673,9,-3.87,0,0.227,0.431,0.0,0.0901,0.385,135.001,2.47,4
3ACYaC2pM4wA1KFIj0Fyk9,"ELMAN, MONA",Черная любовь,Kazakhstan,0.629,0.438,1,-9.465,0,0.0469,0.387,0.0,0.114,0.3,76.97,2.97,4
1tVJ6OAOSN5D7e0kwrhdqc,"Irina Kairatovna, Shiza",Kõk tu,Kazakhstan,0.925,0.65,6,-6.667,1,0.155,0.0569,0.00631,0.0917,0.923,137.052,3.68,4
7a8GawTVgHZvBLQOh46he7,Arctic Monkeys,I Wanna Be Yours,Kazakhstan,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,3.07,4
1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Kazakhstan,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4.02,4
01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Kazakhstan,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918,2.82,4
6w55jwLKo6JuQqBN672X2K,Qarakesek,Қураған гүл,Kazakhstan,0.924,0.351,4,-9.5,0,0.203,0.511,0.00437,0.0797,0.118,120.96,2.96,4
41gRAnGJ3hyF0GLMe4Rx4h,Bonapart,Алмата-Семей,Kazakhstan,0.862,0.523,8,-4.814,0,0.0694,0.137,0.00455,0.292,0.721,160.134,2.68,4
0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Kazakhstan,0.579,0.601,8,-10.492,1,0.0322,0.0673,0.414,0.0778,0.0392,140.019,4.29,4
1hnMLPOqTMV2gurNxOnsjK,"Jakone, A.V.G, Итачи",Курить,Kazakhstan,0.919,0.43,6,-9.582,1,0.18,0.0358,3.79e-06,0.109,0.467,115.047,2.12,4
68TlFj0yGyrBRzmgCawiKT,Kenan & Suleyman,Не похожа,Kazakhstan,0.741,0.442,1,-9.513,1,0.0423,0.354,0.0,0.131,0.423,119.963,3.68,4
0LdDBjHLVBRzc9BY5wA030,Ulukmanapo,Летали,Kazakhstan,0.779,0.552,6,-5.764,0,0.0489,0.51,0.698,0.0896,0.0665,99.997,3.12,4
