track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Lithuania,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4SA3hKVvIbnDWjwH1Hnp1C,dj nevykele,aerobika,Lithuania,0.774,0.444,6,-11.299,0,0.0591,0.532,0.0999,0.109,0.709,142.532,2.5,4
39JofJHEtg8I4fSyo7Imft,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All) - Edit,Lithuania,0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,3.78,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Lithuania,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Lithuania,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
6RmV54gl0nByycqhTajiiZ,"Jessica Shy, Nombeko Auguste",Tyliai Pakuždėk,Lithuania,0.891,0.765,8,-5.843,0,0.0391,0.206,0.000491,0.0936,0.736,119.991,2.87,4
4tRhRLBxIZ34Iw0eCuiC03,southstar,Miss You,Lithuania,0.663,0.559,6,-12.876,0,0.0391,0.136,0.0894,0.108,0.296,145.007,3.44,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Lithuania,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Lithuania,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,2.42,4
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,Lithuania,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,3.87,4
7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",Lithuania,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,3.28,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Lithuania,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Lithuania,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,2.21,4
0uo7p6JtXF7U8x0ktN0Vty,Funk Tribu,Phonky Tribu,Lithuania,0.731,0.873,11,-7.746,0,0.0518,0.000268,0.851,0.1,0.671,159.984,4.77,4
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Lithuania,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3.76,4
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Lithuania,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3.89,3
3rb0tMq42WfggucPm0HHkA,"MEDUZA, James Carter, Elley Duhé, FAST BOY",Bad Memories (feat. Elley Duhé & FAST BOY),Lithuania,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,2.48,3
0JzG1wJuB4v9UPkSE7LMXi,Montell Fish,Hotel,Lithuania,0.228,0.427,0,-8.739,0,0.0363,0.752,0.0167,0.592,0.192,180.345,3.29,4
2uA8NSZkGpKlBdEBN8JuYd,dj nevykele,"aš tavo lovoj, o tu lolą kapoji",Lithuania,0.411,0.73,7,-7.213,1,0.0588,0.000226,0.0,0.264,0.561,151.259,2.03,4
6KOhOLjSsbv3bggefGCLLm,ba.,PAŽADAI,Lithuania,0.489,0.732,8,-5.29,0,0.0288,8.97e-05,0.000219,0.277,0.478,100.089,2.98,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Lithuania,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,Lithuania,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,2.38,4
4QHRKu6scoEilEvLnHYOnz,Gabrielius Vagelis,Man Moji,Lithuania,0.65,0.798,8,-7.364,0,0.0427,0.0414,0.0,0.181,0.573,114.932,2.44,4
7a8GawTVgHZvBLQOh46he7,Arctic Monkeys,I Wanna Be Yours,Lithuania,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,3.07,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Lithuania,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,Lithuania,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4.84,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Lithuania,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Lithuania,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98,4
43M7mBUccCPGFD39ivJJPR,Vaidas Baumila,Apžavai,Lithuania,0.614,0.855,1,-7.066,0,0.0547,0.0017,0.0,0.0708,0.807,156.088,3.31,4
58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Lithuania,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4.23,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Lithuania,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,Lithuania,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,3.38,4
0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Lithuania,0.579,0.601,8,-10.492,1,0.0322,0.0673,0.414,0.0778,0.0392,140.019,4.29,4
54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Lithuania,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,2.75,4
2psbE7Ds01Xz2MaMIk7APk,"Justinas Jarutis, Jessica Shy",Rugpjūtis,Lithuania,0.792,0.942,1,-5.03,1,0.0404,0.0415,0.000178,0.0983,0.862,140.024,2.7,4
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Lithuania,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
149qQkZez6yujONJspKw7U,Jessica Shy,Šokam Lėtai,Lithuania,0.755,0.616,9,-8.481,0,0.0257,0.256,6.4e-05,0.251,0.509,100.014,2.6,4
7wdwIaXUuzlu1grzWMFRJm,Ghost,Mary On A Cross,Lithuania,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4.08,4
01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Lithuania,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918,2.82,4
1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Lithuania,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4.02,4
2TktkzfozZifbQhXjT6I33,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),Lithuania,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,3.61,3
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,Lithuania,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4.98,4
73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Lithuania,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,3.43,4
2wGSgTmgSF3xjRrHkTc25R,"The Game, 50 Cent",Hate It Or Love It,Lithuania,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,3.44,4
3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Lithuania,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,2.47,4
5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Lithuania,0.706,0.91,1,-3.527,1,0.146,0.175,2e-06,0.11,0.667,126.007,1.78,4
1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Lithuania,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,2.97,4
37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Lithuania,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,2.89,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Lithuania,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
5TJEBoTCDbJXiKMdCN9pd3,"Elton John, Britney Spears",Hold Me Closer,Lithuania,0.659,0.772,0,-4.595,1,0.11,0.0748,0.000346,0.187,0.484,126.018,3.37,4
1HB2GllXBNIOtSPZNLAkpu,ba.,PRARADAU MINTIS,Lithuania,0.499,0.646,4,-6.447,0,0.0417,0.00142,0.0247,0.0912,0.442,160.014,4.77,4
7AGc8wXghy0gpkrsaB1qJ8,ba.,FONAS,Lithuania,0.526,0.815,5,-6.375,1,0.0509,0.000409,0.0171,0.102,0.146,105.095,3.35,4
6LYFTApLeccK8mQDyF1yi5,ba.,IŠ NAUJO,Lithuania,0.271,0.552,7,-7.733,0,0.0354,9.14e-05,0.146,0.0698,0.458,80.667,3.08,4
3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,Lithuania,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,2.74,4
2QXiusEY3BfMwzwELWj1Ee,ba.,NUOGAS NERVAS,Lithuania,0.36,0.62,8,-6.814,1,0.0307,0.000237,0.616,0.338,0.153,150.076,4.69,4
60aA4A8wLV5lxgWMjJQjBH,ba.,TRŪNO KIAURAI,Lithuania,0.452,0.818,6,-6.204,0,0.0296,7.25e-06,0.585,0.144,0.501,136.016,2.93,4
1BYZxKSf0aTxp8ZFoeyM3d,girl in red,we fell in love in october,Lithuania,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,3.07,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Lithuania,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,Lithuania,0.633,0.433,1,-8.833,1,0.229,0.0053,0.28,0.145,0.373,122.088,2.03,4
10xV5l9nhLvFpR8mqzs0bL,"Marshmello, Khalid",Numb,Lithuania,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,2.59,4
