track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
7sJNeWTXkZCEC7OnFMpGWL,"Luciano, Aitch, BIA",Bamba (feat. Aitch & BIA),Luxembourg,0.797,0.791,10,-6.281,1,0.33,0.119,0.0,0.113,0.828,138.026,3.39,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Luxembourg,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Luxembourg,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
3D29kjUyWxsT3jUUTtARVQ,Gazo,DIE,Luxembourg,0.695,0.63,8,-7.16,0,0.035,0.229,0.0,0.118,0.55,130.968,4.01,4
1Fb8gCHRkmNAaN8vytd5vg,"Luciano, Central Cee",West Connect (feat. Central Cee),Luxembourg,0.92,0.571,10,-7.133,0,0.494,0.0681,0.0,0.0969,0.465,139.99,3.54,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Luxembourg,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Luxembourg,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Luxembourg,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Luxembourg,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
3BnDvpeuGOj21Ir2aVEtQo,Rema,Calm Down,Luxembourg,0.814,0.789,11,-6.29,1,0.0405,0.365,0.000502,0.137,0.842,107.003,3.66,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Luxembourg,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Luxembourg,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
