track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Malaysia,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
0e5UZadoZ5me957hKsxRYh,JVKE,golden hour,Malaysia,0.511,0.594,1,-4.799,0,0.0316,0.651,0.177,0.249,0.143,94.473,3.49,3
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Malaysia,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Malaysia,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3.89,3
1b0aDgrG775i4sPQgJGmkU,Keisya Levronka,Tak Ingin Usai,Malaysia,0.49,0.398,0,-7.712,1,0.0266,0.815,0.000187,0.114,0.136,129.772,4.64,3
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Malaysia,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
3w75Uvn1cojNlBhQoxpVP3,Fabio Asher,Rumah Singgah,Malaysia,0.466,0.228,8,-10.666,1,0.0305,0.717,0.0,0.107,0.366,77.982,4.11,4
6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Malaysia,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,2.94,3
0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,Malaysia,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,3.09,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Malaysia,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Malaysia,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,2.57,4
3W4U7TEgILGpq0EmquurtH,"yuji, putri dahlia",Old Love,Malaysia,0.478,0.367,11,-10.513,1,0.0283,0.716,0.0,0.124,0.359,141.95,4.16,3
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Malaysia,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Malaysia,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Malaysia,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,4.34,4
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,Malaysia,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
2m6Ko3CY1qXNNja8AlugNc,Troye Sivan,Angel Baby,Malaysia,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,3.68,4
1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,THE SHADE,Malaysia,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,3.03,4
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,Malaysia,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,2.95,4
6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,Malaysia,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2.55,4
1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Malaysia,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,2.21,4
