track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Mexico,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
5JhUm1v5AbI5Yu6jLKCPRO,Grupo Frontera,No Se Va - En Vivo,Mexico,0.594,0.527,0,-9.335,1,0.0335,0.121,0.0,0.234,0.692,172.712,3.23,4
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Mexico,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,2.71,4
6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Mexico,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98,4
5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Mexico,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,3.55,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Mexico,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Mexico,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,2.89,4
5PfFHceiEv61KldMOuVrv8,"Peso Pluma, Luis R Conriquez",Siempre Pendientes,Mexico,0.774,0.748,0,-7.086,1,0.0352,0.331,0.0057,0.126,0.714,135.929,3.11,3
3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Mexico,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4.3,4
4w273WCBXwM4P3jTX5HkB2,"Grupo Marca Registrada, Junior H",El Rescate,Mexico,0.794,0.594,7,-8.698,0,0.139,0.283,0.000381,0.109,0.637,99.238,2.68,3
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Mexico,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
