track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Netherlands,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Netherlands,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
0jm8p2ErwB4u3uvxc7vxGy,Jinho 9,Blind Op Zoek (Trapagas),Netherlands,0.831,0.476,11,-7.88,0,0.0983,0.136,0.0,0.18,0.529,104.965,2.38,4
3oFKhY9iW9S0iA9OHO9tN6,KATNUF,Van Mij Zijn,Netherlands,0.835,0.645,6,-4.46,0,0.0827,0.145,0.0,0.11,0.338,105.068,2.78,4
2LcmbuYX7tyR4DWy3b273L,Goldband,Noodgeval,Netherlands,0.856,0.89,2,-6.463,0,0.0627,0.131,0.0143,0.0614,0.77,139.003,3.57,4
0DDcpc9ImOsGUWupRj2xu5,"Kris Kross Amsterdam, Ronnie Flex, Zoë Tauran",Adrenaline,Netherlands,0.741,0.727,7,-4.835,0,0.155,0.0231,0.0,0.121,0.716,150.061,2.48,4
3BnDvpeuGOj21Ir2aVEtQo,Rema,Calm Down,Netherlands,0.814,0.789,11,-6.29,1,0.0405,0.365,0.000502,0.137,0.842,107.003,3.66,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Netherlands,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Netherlands,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
1bgKMxPQU7JIZEhNsM1vFs,"Alesso, Zara Larsson",Words (feat. Zara Larsson),Netherlands,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,2.38,4
1dbNg2ougivyUv6f9hQQzU,Suzan & Freek,Kwijt,Netherlands,0.757,0.495,1,-9.402,1,0.0361,0.131,4.6e-06,0.101,0.441,104.032,3.26,4
2WigMwGJysIh9fRnSJvpjn,Oxlade,KU LO SA - A COLORS SHOW,Netherlands,0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,2.46,4
3rb0tMq42WfggucPm0HHkA,"MEDUZA, James Carter, Elley Duhé, FAST BOY",Bad Memories (feat. Elley Duhé & FAST BOY),Netherlands,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,2.48,3
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Netherlands,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
40SBS57su9xLiE1WqkXOVr,LF SYSTEM,Afraid To Feel,Netherlands,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,2.96,4
7mtvlvxKkwbHaINqnD3nLn,"Yade Lauren, CHO, Kevin, Jordan Wayne",Swim Deep,Netherlands,0.574,0.522,2,-8.4,0,0.36,0.225,0.0,0.103,0.832,76.558,3.06,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Netherlands,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
6mMVJJkpzL5r9OyqX7VzBk,FLEMMING,Automatisch,Netherlands,0.804,0.634,11,-5.636,0,0.0588,0.032,1.56e-06,0.192,0.852,122.096,2.76,4
39JofJHEtg8I4fSyo7Imft,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All) - Edit,Netherlands,0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,3.78,4
1ei3hzQmrgealgRKFxIcWn,Benson Boone,In The Stars,Netherlands,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,3.61,3
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Netherlands,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
2WUM8tSJ9gTyi3ZljDscFg,"Djaga Djaga, JoeyAK",ABC,Netherlands,0.601,0.775,5,-6.596,1,0.332,0.0406,0.0,0.301,0.476,117.335,3.5,5
4k6yZRw7M04gZE2uW12Cw6,Makar,Mood,Netherlands,0.673,0.408,5,-15.094,0,0.0554,0.48,0.305,0.13,0.407,125.003,2.53,4
5ECWJFKkqePRH2SSlv8Ltq,La Fuente,I Want You,Netherlands,0.776,0.832,8,-7.591,1,0.0489,0.0591,0.888,0.121,0.293,124.996,3.66,4
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Netherlands,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3.76,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Netherlands,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,How Do I Say Goodbye,Netherlands,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,2.73,4
0HaRLPnr887lcQM2YQzkff,"Burna Boy, Ed Sheeran",For My Hand (feat. Ed Sheeran),Netherlands,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,2.65,4
64hayhfzodjwBrQcZ69SVp,"Jaap Reesema, Beste Zangers",Grijs,Netherlands,0.555,0.328,0,-10.356,1,0.0289,0.515,0.0,0.153,0.303,139.763,3.01,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Netherlands,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
5uSFGgIfHMT3osrAd9n9ym,Lewis Capaldi,Forget Me,Netherlands,0.669,0.742,1,-3.518,0,0.0441,0.296,0.0,0.355,0.716,101.982,3.39,4
6Ovwn2ABu4QVYFZhIc3Eo8,"FLEMMING, Ronnie Flex",Terug Bij Af ft. Ronnie Flex,Netherlands,0.811,0.496,6,-7.179,0,0.0608,0.0151,0.0,0.28,0.74,114.983,3.11,4
7vdmxftpUdeBzOf6NXjm83,"Zoë Tauran, Frenna",Gebruik Me,Netherlands,0.853,0.431,6,-8.3,1,0.0683,0.0267,3.16e-06,0.0566,0.236,95.014,3.41,4
0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Netherlands,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,3.99,4
7MIhUdNJtaOnDmC5nBC1fb,"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),Netherlands,0.687,0.818,0,-4.221,1,0.0778,0.0112,0.0,0.248,0.886,125.952,2.76,4
2ExdbieQffMXpY7ygN2YN9,Son Mieux,Multicolor,Netherlands,0.682,0.799,10,-5.227,1,0.0275,0.0445,2.7e-06,0.15,0.661,114.998,3.48,4
3ElGRG3DqSzzkh1b2wnbzf,"Gabry Ponte, LUM!X, Daddy DJ",We Could Be Together (feat. Daddy DJ),Netherlands,0.706,0.778,10,-4.491,1,0.0606,0.198,1.06e-05,0.0778,0.376,125.893,2.49,4
3kcKlOkQQEPVwxwljbGJ5p,"Topic, A7S",Kernkraft 400 (A Better Day),Netherlands,0.623,0.727,11,-5.57,0,0.0562,0.184,2.02e-05,0.309,0.4,125.975,2.76,4
5TJEBoTCDbJXiKMdCN9pd3,"Elton John, Britney Spears",Hold Me Closer,Netherlands,0.659,0.772,0,-4.595,1,0.11,0.0748,0.000346,0.187,0.484,126.018,3.37,4
5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Netherlands,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,2.87,4
3Z7CaxQkqbIs1rewKi6v4W,"Tiësto, Charli XCX",Hot In It,Netherlands,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,2.16,4
14dDvp4EA4E3QLruknbMin,Antoon,Olivia,Netherlands,0.656,0.697,4,-6.131,0,0.0335,0.0739,1.57e-06,0.327,0.25,160.034,2.46,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Netherlands,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,Netherlands,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4.01,4
5DhLsu431rudt8PENvUDao,Fmg,Boot,Netherlands,0.827,0.638,11,-3.163,1,0.383,0.481,0.0,0.093,0.474,98.881,3.29,4
0gq4UgDPGFdqpsWshU7dmv,"Kris Kross Amsterdam, Donnie, Tino Martin",Vanavond (Uit M'n Bol),Netherlands,0.799,0.705,0,-7.582,1,0.0698,0.0554,0.0,0.426,0.88,106.979,2.78,4
1RF02Cf80mTaeNXG2P2boR,"Nathan Dawe, Ella Henderson",21 Reasons (feat. Ella Henderson),Netherlands,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,2.59,4
1tf1A7fBIk05bEXotkbZJs,"Kleine John, JMANI, Jhorrmountain",BALANCE,Netherlands,0.788,0.567,10,-7.808,0,0.222,0.146,0.0,0.136,0.566,107.056,3.33,4
4ckhmqXl4Zpbhl7T6NgVPI,"Boef, Numidia, Cristian D, Diquenza",Flexxen,Netherlands,0.833,0.618,3,-6.489,0,0.0513,0.0357,0.0,0.104,0.751,126.009,2.29,4
5qHgkualSydbFiJHwKnD1Z,Kinderen voor Kinderen,Gi-ga-groen,Netherlands,0.703,0.907,8,-5.214,1,0.0792,0.0313,9.7e-05,0.316,0.889,113.982,2.85,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Netherlands,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
1kzbetwn68lwGzlV9Iifbe,"Idaly, Adje",Destiny,Netherlands,0.697,0.598,2,-8.651,1,0.548,0.117,4.32e-06,0.123,0.4,124.668,3.09,5
