track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
1rrqJ9QkOBYJlsZgqqwxgB,Ayra Starr,Rush,Nigeria,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,3.08,4
5ycsqezujKrwviU3VFhci1,Asake,Terminator,Nigeria,0.804,0.688,0,-6.794,1,0.0531,0.171,0.00448,0.0958,0.852,117.032,2.32,4
5UwxpuGHkwiojKDaPC5ZNu,Asake,Joha,Nigeria,0.819,0.817,1,-8.221,0,0.0698,0.0593,0.201,0.275,0.77,120.039,2.47,4
2wgvxtggKVzPkl0smF2UzI,Asake,Organise,Nigeria,0.779,0.79,9,-6.246,0,0.0612,0.0691,2.24e-05,0.506,0.484,113.064,2.06,4
2qWwuCVeMjF9mUT0S5Iqvl,"Fireboy DML, Asake",Bandana,Nigeria,0.818,0.605,1,-7.121,1,0.038,0.293,0.0116,0.0696,0.366,104.931,2.97,4
6ewsOjbC1jWAZcjAhVxDs0,Asake,Peace Be Unto You (PBUY),Nigeria,0.808,0.769,7,-7.207,0,0.0833,0.101,4.12e-05,0.119,0.685,116.001,2.55,4
2WigMwGJysIh9fRnSJvpjn,Oxlade,KU LO SA - A COLORS SHOW,Nigeria,0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,2.46,4
6RbOyNeajWax51NtpO6WT8,"Victony, Tempoe",Soweto,Nigeria,0.749,0.663,5,-7.093,0,0.0364,0.0379,0.000168,0.103,0.593,104.967,2.47,4
46gfN72BxmLvACx6Pve4XU,Asake,Dull,Nigeria,0.645,0.324,7,-11.224,1,0.0302,0.733,0.0014,0.547,0.414,115.002,1.67,4
0VjzaXw81JQJM61pzWwP8b,Asake,Nzaza,Nigeria,0.72,0.602,0,-6.797,1,0.07,0.23,0.00472,0.509,0.709,93.966,3.06,4
6McBvfxgkVfREmQPwTKBUn,"Pheelz, Davido",Electricity,Nigeria,0.823,0.717,9,-3.879,1,0.0704,0.0356,0.0,0.102,0.489,110.998,2.22,4
0CUJV0Hh512Ns7U2yGflqt,Asake,Ototo,Nigeria,0.805,0.58,0,-7.924,0,0.078,0.382,0.000361,0.403,0.886,130.672,2.61,5
2pUlBBWq8R10ylbBvZJV9j,Wizkid,Bad To Me,Nigeria,0.859,0.822,10,-5.005,0,0.0467,0.07,0.0144,0.101,0.908,110.045,2.95,4
5hVjoL3sHepZROri63wBxP,Burna Boy,It's Plenty,Nigeria,0.776,0.565,7,-10.609,1,0.105,0.36,8.81e-05,0.308,0.53,107.035,3.62,4
5OTKO93FLT25URfam2hZgP,"Bella Shmurda, Omah Lay",Philo,Nigeria,0.956,0.322,0,-13.333,0,0.206,0.032,0.00281,0.0927,0.925,111.119,2.81,4
5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Nigeria,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,2.87,4
4iCUs97QSPyYaFmzDa25Tb,Asake,Dupe,Nigeria,0.75,0.757,0,-7.157,1,0.048,0.00522,0.0439,0.152,0.44,118.019,2.71,4
0HaRLPnr887lcQM2YQzkff,"Burna Boy, Ed Sheeran",For My Hand (feat. Ed Sheeran),Nigeria,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,2.65,4
4lVEVXrlQlXPdYWMGTwrFe,"Mavins, Crayon, Ayra Starr, LADIPOE, Magixx, Boy Spyce",Overloading (OVERDOSE),Nigeria,0.546,0.611,0,-9.459,0,0.172,0.484,0.00149,0.101,0.749,104.059,3.42,4
4MzOppXoeKvDsVaNMeOK3C,Ruger,Girlfriend,Nigeria,0.788,0.913,5,-4.495,0,0.0671,0.243,0.0689,0.272,0.672,99.994,3.28,4
4k4pdUWX8632g7yByxC3rS,"Asake, Burna Boy",Sungba (feat. Burna Boy) - Remix,Nigeria,0.831,0.611,7,-8.457,1,0.223,0.0921,3.57e-06,0.0321,0.712,111.984,3.5,4
5F4OfeowSReF93KcH2eUcG,Young Jonn,Xtra Cool,Nigeria,0.843,0.725,6,-7.282,0,0.0539,0.165,0.00357,0.0948,0.556,120.0,2.5,4
3Nx9nMHMFgkeF8xpVk1Ev0,Asake,Muse,Nigeria,0.541,0.504,0,-7.068,0,0.111,0.0249,0.0484,0.221,0.742,130.178,1.96,5
6WavyUNdnJk9SRW7ko9ack,"Asake, Russ",Reason (feat. Russ),Nigeria,0.608,0.58,0,-8.242,0,0.248,0.482,5.1e-06,0.353,0.391,102.116,2.2,4
0rkpKiWmsAs2VApWKJQRuY,Black Sherif,Soja,Nigeria,0.789,0.508,0,-7.498,0,0.151,0.617,0.0,0.0932,0.466,94.991,3.03,4
65v99AWZyNz3aRmfrT2I7N,Omah Lay,i'm a mess,Nigeria,0.682,0.633,4,-6.213,1,0.239,0.307,0.0328,0.112,0.601,123.259,2.57,5
4A7sSA10D35HQUNrSOl5Zo,"JAE5, Dave, BNXN fka Buju",Propeller (feat. Dave & BNXN),Nigeria,0.846,0.508,8,-7.873,1,0.308,0.475,0.000126,0.0961,0.567,126.447,3.41,5
6NKuW3yaNXtloGw1RB8WUi,Mayorkun,Certified Loner (No Competition),Nigeria,0.931,0.676,6,-7.492,0,0.0498,0.0152,0.0,0.103,0.739,111.948,2.75,4
7tZMF9Hn5uGsfC7zGXbSKM,Crayon,Ijo (Laba Laba),Nigeria,0.818,0.513,8,-11.382,0,0.0574,0.106,0.00105,0.0408,0.583,115.01,3.1,4
2wfWK2cmM5DZ4VnT7rDnFO,Zinoleesky,Call of Duty,Nigeria,0.893,0.84,11,-4.608,0,0.171,0.161,1.57e-06,0.119,0.812,116.05,2.41,4
5TqtBDyIdZiTpfJZL2o10M,Asake,Sunmomi,Nigeria,0.855,0.787,9,-7.307,1,0.049,0.149,0.00677,0.0857,0.238,114.028,2.81,4
0s5nhb6ts6uCKAVnGg46y6,"Burna Boy, Victony",Different Size (feat. Victony),Nigeria,0.731,0.755,6,-9.096,1,0.0359,0.6,0.0134,0.191,0.838,107.973,3.5,4
4Gasn91fsCefnN8zM5GjA8,"Pheelz, BNXN fka Buju",Finesse,Nigeria,0.859,0.551,1,-7.916,0,0.149,0.559,0.0,0.194,0.777,102.049,2.59,4
