track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Norway,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
47aGU91Mqqjt1ZJ9NgQXqY,Beathoven,PRIMADONNA,Norway,0.767,0.787,11,-6.946,1,0.0575,0.0367,8.82e-05,0.048,0.675,154.996,2.27,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Norway,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4v8yhLDEcRQ6BynXcCrGMo,Marstein,Frida Kahlo,Norway,0.87,0.872,11,-8.269,0,0.337,0.112,0.000804,0.123,0.788,125.021,2.78,4
2wltzM6xElc7E6Ryn6Tqbo,Ramón,menn som meg,Norway,0.609,0.337,7,-10.658,0,0.0866,0.602,0.0,0.164,0.292,119.101,3.07,4
5PzratDTUf07VyMKrGGxz3,El Papi,Hjerteløs,Norway,0.597,0.772,5,-8.032,0,0.0777,0.0562,0.00397,0.395,0.532,164.036,2.3,4
5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,How Do I Say Goodbye,Norway,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,2.73,4
56kyGGwLIVAR30ZFiASn8Q,"Ballinciaga, David Mokel",Dans På Bordet,Norway,0.867,0.699,8,-3.436,0,0.0554,0.15,0.0103,0.165,0.81,125.023,2.39,4
6R20ReFHCSjtK3vMUZI3Yv,"Brødrene Bausa, Thomskalle, Ginger Joe",Mawbys,Norway,0.795,0.519,1,-9.626,1,0.0406,0.337,0.02,0.0928,0.502,128.932,3.08,4
39sXT0fOvfoXh5x9v5SjE7,"Beathoven, Capow x 2G",SØR-AFRIKA,Norway,0.736,0.827,6,-7.124,0,0.266,0.288,0.0,0.243,0.726,115.158,2.09,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Norway,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
6XIOwPaFCpwBApJmQqt7t0,Jon Ranes,Blod,Norway,0.661,0.506,3,-7.521,0,0.037,0.3,8.03e-05,0.0998,0.232,119.892,2.92,4
6G1Mz5yMgn0ydOlIvTrZ65,TALK,Run Away to Mars,Norway,0.554,0.38,9,-10.666,1,0.0314,0.526,0.0,0.213,0.284,118.925,3.56,4
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Norway,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
0lJCvh6IJQ7vedN2zgW9ws,"Ballinciaga, Kamelen",Fakk Min X,Norway,0.842,0.74,1,-5.421,1,0.203,0.287,0.000483,0.319,0.579,142.976,1.86,4
3h2IRgTZrU4hSNCePszT23,UNDERGRUNN,Italia,Norway,0.748,0.703,11,-6.349,1,0.0464,0.0336,5.36e-05,0.137,0.634,110.011,2.84,4
2coLAzVouJE4BC8lrKbDLk,"Karpe, Omar Sheriff",PAF.no,Norway,0.827,0.421,8,-8.996,1,0.0609,0.824,1.17e-05,0.164,0.703,98.041,3.78,4
77F3wu9VD3TgxXjHCq8A7W,Kaizers Orchestra,Hjerteknuser,Norway,0.244,0.653,7,-2.268,0,0.0332,0.0724,0.0,0.0715,0.58,181.447,3.33,3
1IPIgDNQNF9dFHkyOEkojp,Astrid S,Come First,Norway,0.758,0.799,8,-6.547,1,0.0306,0.0133,0.00175,0.0935,0.603,134.036,2.21,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Norway,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
668RcB1nFGf6Sn4XNzCLp6,Ramón,"jeg elsker deg, men",Norway,0.473,0.291,6,-11.907,1,0.0416,0.782,0.0,0.136,0.354,111.319,3.9,4
34r5BGAd9Fc297M3MoIhmX,"Broiler, Papito MIERDA",åtte shots,Norway,0.811,0.611,1,-10.437,1,0.29,0.161,0.0,0.0964,0.615,120.076,2.47,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Norway,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
